project,sprites,scripts,blocks,mouse,keyboard,text
Archery,2,3,21,0,1,0
Balloons,2,4,26,1,0,0
Beat The Goalie,3,6,30,0,1,0
Boat Race,3,3,27,1,0,0
Brain Game,4,19,76,1,0,1
Catch The Dots,5,11,82,0,1,0
Chat Bot,2,2,26,1,0,1
Clone Wars,7,17,76,0,1,0
Create Your Own World,13,26,165,0,1,0
Dodgeball,5,10,78,0,1,0
Ghostbusters,5,11,58,1,0,0
Green Your City,7,8,52,0,1,0
Lost In Space,6,4,24,0,0,0
Memory,6,11,58,1,0,1
Moonhack Scratch 2017,3,4,27,0,1,0
Poetry Generator,4,2,18,1,0,1
Rock Band,5,6,18,1,0,0
Snowball Fight,4,7,37,0,1,0
Space Junk,8,13,68,0,1,0
Sprint,5,9,78,0,1,0
Synchronised Swimming,2,7,23,0,1,0
Tech Toys,9,5,25,1,1,0
Username Generator,3,2,5,1,0,0
Paint Box,9,14,42,1,0,0
