time,running,percent,total,covered
1000,0,0.33,18,6
2000,0,0.33,18,6
3000,0,0.33,18,6
4000,0,0.33,18,6
5000,0,0.33,18,6
6000,0,0.33,18,6
7000,0,0.33,18,6
8000,0,0.33,18,6
9000,0,0.33,18,6
10000,0,0.33,18,6
11000,0,0.33,18,6
12000,0,0.33,18,6
13000,0,0.33,18,6
14000,0,0.33,18,6
15000,0,0.33,18,6
16000,0,0.33,18,6
17000,0,0.33,18,6
18000,0,0.33,18,6
19000,0,0.33,18,6
20000,0,0.33,18,6
21000,0,0.33,18,6
22000,0,0.33,18,6
23000,0,0.33,18,6
24000,0,0.33,18,6
25000,0,0.33,18,6
26000,0,0.33,18,6
27000,0,0.33,18,6
28000,0,0.33,18,6
29000,0,0.33,18,6
30000,0,0.33,18,6
31000,0,0.33,18,6
32000,0,0.33,18,6
33000,0,0.33,18,6
34000,0,0.33,18,6
35000,0,0.33,18,6
36000,0,0.33,18,6
37000,0,0.33,18,6
38000,0,0.33,18,6
39000,0,0.33,18,6
40000,0,0.33,18,6
41000,0,0.33,18,6
42000,0,0.33,18,6
43000,0,0.33,18,6
44000,0,0.33,18,6
45000,0,0.33,18,6
46000,0,0.33,18,6
47000,0,0.33,18,6
48000,0,0.33,18,6
49000,0,0.33,18,6
50000,0,0.33,18,6
51000,0,0.33,18,6
52000,0,0.33,18,6
53000,0,0.33,18,6
54000,0,0.33,18,6
55000,0,0.33,18,6
56000,0,0.33,18,6
57000,0,0.33,18,6
58000,0,0.33,18,6
59000,0,0.33,18,6
60000,0,0.33,18,6
61000,0,0.33,18,6
62000,0,0.33,18,6
63000,0,0.33,18,6
64000,0,0.33,18,6
65000,0,0.33,18,6
66000,0,0.33,18,6
67000,0,0.33,18,6
68000,0,0.33,18,6
69000,0,0.33,18,6
70000,0,0.33,18,6
71000,0,0.33,18,6
72000,0,0.33,18,6
73000,0,0.33,18,6
74000,0,0.33,18,6
75000,0,0.33,18,6
76000,0,0.33,18,6
77000,0,0.33,18,6
78000,0,0.33,18,6
79000,0,0.33,18,6
80000,0,0.33,18,6
81000,0,0.33,18,6
82000,0,0.33,18,6
83000,0,0.33,18,6
