time,running,percent,total,covered
1000,1,0.49,76,37
2000,1,0.49,76,37
3000,1,0.59,76,45
4000,1,0.59,76,45
5000,1,0.59,76,45
6000,1,0.59,76,45
7000,1,0.59,76,45
8000,1,0.67,76,51
9000,1,0.67,76,51
10000,1,0.78,76,59
11000,1,0.78,76,59
12000,1,0.78,76,59
13000,1,0.78,76,59
14000,1,0.78,76,59
15000,1,0.78,76,59
16000,1,0.78,76,59
17000,1,0.78,76,59
18000,1,0.78,76,59
19000,1,0.79,76,60
20000,1,0.79,76,60
21000,1,0.79,76,60
22000,1,0.79,76,60
23000,1,0.79,76,60
24000,1,0.79,76,60
25000,1,0.79,76,60
26000,1,0.79,76,60
27000,1,0.79,76,60
28000,1,0.79,76,60
29000,1,0.79,76,60
30000,1,0.79,76,60
31000,1,0.79,76,60
32000,1,0.79,76,60
33000,1,0.79,76,60
34000,1,0.79,76,60
35000,1,0.79,76,60
36000,1,0.79,76,60
37000,0,0.84,76,64
38000,0,0.84,76,64
39000,0,0.84,76,64
40000,0,0.84,76,64
41000,0,0.84,76,64
42000,0,0.84,76,64
43000,0,0.84,76,64
44000,0,0.84,76,64
45000,0,0.84,76,64
46000,0,0.84,76,64
47000,0,0.84,76,64
48000,0,0.84,76,64
49000,0,0.84,76,64
50000,0,0.84,76,64
51000,0,0.84,76,64
52000,0,0.84,76,64
53000,0,0.84,76,64
54000,0,0.84,76,64
55000,0,0.84,76,64
56000,0,0.84,76,64
57000,0,0.84,76,64
58000,0,0.84,76,64
59000,0,0.84,76,64
60000,0,0.84,76,64
61000,0,0.84,76,64
62000,0,0.84,76,64
63000,0,0.84,76,64
64000,0,0.84,76,64
65000,0,0.84,76,64
66000,0,0.84,76,64
67000,0,0.84,76,64
68000,0,0.84,76,64
69000,0,0.84,76,64
70000,0,0.84,76,64
71000,0,0.84,76,64
72000,0,0.84,76,64
73000,0,0.84,76,64
74000,0,0.84,76,64
75000,0,0.84,76,64
76000,0,0.84,76,64
77000,0,0.84,76,64
78000,0,0.84,76,64
79000,0,0.84,76,64
80000,0,0.84,76,64
81000,0,0.84,76,64
82000,0,0.84,76,64
83000,0,0.84,76,64
84000,0,0.84,76,64
85000,0,0.84,76,64
86000,0,0.84,76,64
87000,0,0.84,76,64
88000,0,0.84,76,64
89000,0,0.84,76,64
90000,0,0.84,76,64
91000,0,0.84,76,64
92000,0,0.84,76,64
93000,0,0.84,76,64
94000,0,0.84,76,64
95000,0,0.84,76,64
96000,0,0.84,76,64
97000,0,0.84,76,64
98000,0,0.84,76,64
99000,0,0.84,76,64
100000,0,0.84,76,64
101000,0,0.84,76,64
102000,0,0.84,76,64
103000,0,0.84,76,64
104000,0,0.84,76,64
105000,0,0.84,76,64
