time,running,percent,total,covered
1000,1,0.07,58,4
2000,1,0.07,58,4
3000,1,0.07,58,4
4000,1,0.07,58,4
5000,1,0.07,58,4
6000,1,0.07,58,4
7000,1,0.19,58,11
8000,1,0.19,58,11
9000,1,0.19,58,11
10000,1,0.19,58,11
11000,1,0.22,58,13
12000,1,0.22,58,13
13000,1,0.22,58,13
14000,1,0.22,58,13
15000,1,0.22,58,13
16000,1,0.22,58,13
17000,1,0.22,58,13
18000,1,0.22,58,13
19000,1,0.22,58,13
20000,1,0.22,58,13
21000,1,0.22,58,13
22000,1,0.22,58,13
23000,1,0.22,58,13
24000,1,0.22,58,13
25000,1,0.22,58,13
26000,1,0.22,58,13
27000,1,0.22,58,13
28000,1,0.22,58,13
29000,1,0.22,58,13
30000,1,0.22,58,13
31000,1,0.22,58,13
32000,1,0.22,58,13
33000,1,0.22,58,13
34000,1,0.22,58,13
35000,1,0.22,58,13
36000,1,0.22,58,13
37000,1,0.22,58,13
38000,1,0.22,58,13
39000,1,0.22,58,13
40000,1,0.22,58,13
41000,1,0.22,58,13
42000,1,0.22,58,13
43000,1,0.22,58,13
44000,1,0.22,58,13
45000,1,0.22,58,13
46000,1,0.22,58,13
47000,1,0.22,58,13
48000,1,0.22,58,13
49000,1,0.22,58,13
50000,1,0.22,58,13
51000,1,0.22,58,13
52000,1,0.22,58,13
53000,1,0.22,58,13
54000,1,0.22,58,13
55000,1,0.22,58,13
56000,1,0.22,58,13
57000,1,0.22,58,13
58000,1,0.22,58,13
59000,1,0.22,58,13
60000,1,0.22,58,13
61000,1,0.22,58,13
62000,1,0.22,58,13
63000,1,0.22,58,13
64000,1,0.22,58,13
65000,1,0.22,58,13
66000,1,0.22,58,13
67000,1,0.22,58,13
68000,1,0.22,58,13
69000,1,0.22,58,13
70000,1,0.22,58,13
71000,1,0.22,58,13
72000,1,0.22,58,13
73000,1,0.22,58,13
74000,1,0.22,58,13
75000,1,0.22,58,13
76000,1,0.22,58,13
77000,1,0.22,58,13
78000,1,0.22,58,13
79000,1,0.22,58,13
80000,1,0.22,58,13
81000,1,0.22,58,13
82000,1,0.22,58,13
83000,1,0.22,58,13
84000,1,0.22,58,13
85000,1,0.22,58,13
86000,1,0.22,58,13
87000,1,0.22,58,13
88000,1,0.22,58,13
89000,1,0.22,58,13
90000,1,0.22,58,13
91000,1,0.22,58,13
92000,1,0.22,58,13
93000,1,0.22,58,13
94000,1,0.22,58,13
95000,1,0.22,58,13
96000,1,0.22,58,13
97000,1,0.22,58,13
98000,1,0.22,58,13
99000,1,0.22,58,13
100000,1,0.22,58,13
101000,1,0.22,58,13
102000,1,0.22,58,13
103000,1,0.22,58,13
104000,1,0.22,58,13
105000,1,0.22,58,13
106000,1,0.22,58,13
107000,1,0.22,58,13
108000,1,0.22,58,13
109000,1,0.22,58,13
110000,1,0.22,58,13
111000,1,0.22,58,13
112000,1,0.22,58,13
113000,1,0.22,58,13
114000,1,0.22,58,13
115000,1,0.22,58,13
116000,1,0.22,58,13
117000,1,0.22,58,13
118000,1,0.22,58,13
119000,1,0.22,58,13
120000,1,0.22,58,13
121000,1,0.22,58,13
122000,1,0.22,58,13
123000,1,0.22,58,13
124000,1,0.22,58,13
