time,running,percent,total,covered
1000,1,0.73,26,19
2000,1,0.73,26,19
3000,1,0.73,26,19
4000,1,0.73,26,19
5000,1,0.73,26,19
6000,1,0.73,26,19
7000,1,0.73,26,19
8000,1,0.73,26,19
9000,1,0.73,26,19
10000,1,0.73,26,19
11000,0,0.77,26,20
12000,0,0.77,26,20
13000,0,0.77,26,20
14000,0,0.77,26,20
15000,0,0.77,26,20
16000,0,0.77,26,20
17000,0,0.77,26,20
18000,0,0.77,26,20
19000,0,0.77,26,20
20000,0,0.77,26,20
21000,0,0.77,26,20
22000,0,0.77,26,20
23000,0,0.77,26,20
24000,0,0.77,26,20
25000,0,0.77,26,20
26000,0,0.77,26,20
27000,0,0.77,26,20
28000,0,0.77,26,20
29000,0,0.77,26,20
30000,0,0.77,26,20
31000,0,0.77,26,20
32000,0,0.77,26,20
33000,0,0.77,26,20
34000,0,0.77,26,20
35000,0,0.77,26,20
36000,0,0.77,26,20
37000,0,0.77,26,20
38000,0,0.77,26,20
39000,0,0.77,26,20
40000,0,0.77,26,20
41000,0,0.77,26,20
42000,0,0.77,26,20
43000,0,0.77,26,20
44000,0,0.77,26,20
45000,0,0.77,26,20
46000,0,0.77,26,20
47000,0,0.77,26,20
48000,0,0.77,26,20
49000,0,0.77,26,20
50000,0,0.77,26,20
51000,0,0.77,26,20
52000,0,0.77,26,20
53000,0,0.77,26,20
54000,0,0.77,26,20
55000,0,0.77,26,20
56000,0,0.77,26,20
57000,0,0.77,26,20
58000,0,0.77,26,20
59000,0,0.77,26,20
60000,0,0.77,26,20
61000,0,0.77,26,20
62000,0,0.77,26,20
63000,0,0.77,26,20
64000,0,0.77,26,20
65000,0,0.77,26,20
66000,0,0.77,26,20
67000,0,0.77,26,20
68000,0,0.77,26,20
69000,0,0.77,26,20
70000,0,0.77,26,20
71000,0,0.77,26,20
72000,0,0.77,26,20
73000,0,0.77,26,20
74000,0,0.77,26,20
75000,0,0.77,26,20
76000,0,0.77,26,20
77000,0,0.77,26,20
78000,0,0.77,26,20
79000,0,0.77,26,20
80000,0,0.77,26,20
81000,0,0.77,26,20
82000,0,0.77,26,20
83000,0,0.77,26,20
84000,0,0.77,26,20
85000,0,0.77,26,20
86000,0,0.77,26,20
87000,0,0.77,26,20
88000,0,0.77,26,20
89000,0,0.77,26,20
90000,0,0.77,26,20
91000,0,0.77,26,20
92000,0,0.77,26,20
93000,0,0.77,26,20
94000,0,0.77,26,20
95000,0,0.77,26,20
96000,0,0.77,26,20
97000,0,0.77,26,20
98000,0,0.77,26,20
99000,0,0.77,26,20
100000,0,0.77,26,20
101000,0,0.77,26,20
102000,0,0.77,26,20
103000,0,0.77,26,20
104000,0,0.77,26,20
105000,0,0.77,26,20
106000,0,0.77,26,20
107000,0,0.77,26,20
108000,0,0.77,26,20
109000,0,0.77,26,20
110000,0,0.77,26,20
111000,0,0.77,26,20
112000,0,0.77,26,20
113000,0,0.77,26,20
114000,0,0.77,26,20
115000,0,0.77,26,20
116000,0,0.77,26,20
117000,0,0.77,26,20
118000,0,0.77,26,20
119000,0,0.77,26,20
120000,0,0.77,26,20
121000,0,0.77,26,20
122000,0,0.77,26,20
123000,0,0.77,26,20
124000,0,0.77,26,20
125000,0,0.77,26,20
126000,0,0.77,26,20
127000,0,0.77,26,20
128000,0,0.77,26,20
129000,0,0.77,26,20
130000,0,0.77,26,20
131000,0,0.77,26,20
132000,0,0.77,26,20
133000,0,0.77,26,20
134000,0,0.77,26,20
135000,0,0.77,26,20
136000,0,0.77,26,20
137000,0,0.77,26,20
138000,0,0.77,26,20
139000,0,0.77,26,20
140000,0,0.77,26,20
141000,0,0.77,26,20
142000,0,0.77,26,20
143000,0,0.77,26,20
144000,0,0.77,26,20
145000,0,0.77,26,20
146000,0,0.77,26,20
147000,0,0.77,26,20
148000,0,0.77,26,20
149000,0,0.77,26,20
150000,0,0.77,26,20
151000,0,0.77,26,20
152000,0,0.77,26,20
153000,0,0.77,26,20
154000,0,0.77,26,20
155000,0,0.77,26,20
156000,0,0.77,26,20
157000,0,0.77,26,20
158000,0,0.77,26,20
159000,0,0.77,26,20
160000,0,0.77,26,20
161000,0,0.77,26,20
162000,0,0.77,26,20
163000,0,0.77,26,20
164000,0,0.77,26,20
165000,0,0.77,26,20
166000,0,0.77,26,20
167000,0,0.77,26,20
168000,0,0.77,26,20
169000,0,0.77,26,20
170000,0,0.77,26,20
171000,0,0.77,26,20
172000,0,0.77,26,20
173000,0,0.77,26,20
174000,0,0.77,26,20
175000,0,0.77,26,20
