time,running,percent,total,covered
1000,1,0.22,78,17
2000,1,0.22,78,17
3000,1,0.22,78,17
4000,1,0.22,78,17
5000,1,0.22,78,17
6000,1,0.22,78,17
7000,1,0.22,78,17
8000,1,0.22,78,17
9000,1,0.22,78,17
10000,1,0.24,78,19
11000,1,0.24,78,19
12000,1,0.24,78,19
13000,1,0.24,78,19
14000,1,0.24,78,19
15000,1,0.24,78,19
16000,1,0.24,78,19
17000,1,0.24,78,19
18000,1,0.24,78,19
19000,1,0.24,78,19
20000,1,0.27,78,21
21000,1,0.27,78,21
22000,1,0.27,78,21
23000,1,0.27,78,21
24000,1,0.27,78,21
25000,1,0.27,78,21
26000,1,0.27,78,21
27000,1,0.27,78,21
28000,1,0.27,78,21
29000,1,0.27,78,21
30000,1,0.50,78,39
31000,1,0.50,78,39
32000,1,0.50,78,39
33000,1,0.50,78,39
34000,1,0.50,78,39
35000,1,0.50,78,39
36000,1,0.50,78,39
37000,1,0.50,78,39
38000,1,0.50,78,39
39000,1,0.50,78,39
40000,1,0.50,78,39
41000,1,0.50,78,39
42000,1,0.50,78,39
43000,1,0.50,78,39
44000,1,0.50,78,39
45000,1,0.50,78,39
46000,1,0.50,78,39
47000,1,0.50,78,39
48000,1,0.50,78,39
49000,1,0.50,78,39
50000,1,0.50,78,39
51000,1,0.50,78,39
52000,1,0.50,78,39
53000,1,0.50,78,39
54000,1,0.50,78,39
55000,1,0.50,78,39
56000,1,0.50,78,39
57000,1,0.50,78,39
58000,1,0.50,78,39
59000,1,0.50,78,39
60000,1,0.50,78,39
61000,1,0.50,78,39
62000,1,0.50,78,39
63000,1,0.50,78,39
64000,1,0.50,78,39
65000,1,0.50,78,39
66000,1,0.50,78,39
67000,1,0.50,78,39
68000,1,0.50,78,39
69000,1,0.50,78,39
70000,1,0.50,78,39
71000,1,0.50,78,39
72000,1,0.50,78,39
73000,1,0.50,78,39
74000,1,0.50,78,39
75000,1,0.50,78,39
76000,1,0.50,78,39
77000,1,0.50,78,39
78000,1,0.50,78,39
79000,1,0.50,78,39
80000,1,0.50,78,39
81000,1,0.50,78,39
82000,1,0.50,78,39
83000,1,0.50,78,39
84000,1,0.50,78,39
85000,1,0.50,78,39
86000,1,0.50,78,39
87000,1,0.50,78,39
88000,1,0.50,78,39
89000,1,0.50,78,39
90000,1,0.50,78,39
91000,1,0.50,78,39
92000,1,0.50,78,39
93000,1,0.50,78,39
94000,1,0.50,78,39
95000,1,0.50,78,39
96000,1,0.50,78,39
97000,1,0.50,78,39
98000,1,0.50,78,39
99000,1,0.50,78,39
100000,1,0.50,78,39
101000,1,0.50,78,39
102000,1,0.50,78,39
103000,1,0.50,78,39
104000,1,0.50,78,39
105000,1,0.50,78,39
106000,1,0.50,78,39
107000,1,0.50,78,39
108000,1,0.50,78,39
109000,1,0.50,78,39
110000,1,0.50,78,39
111000,1,0.50,78,39
112000,1,0.50,78,39
113000,1,0.50,78,39
114000,1,0.50,78,39
115000,1,0.50,78,39
116000,1,0.50,78,39
117000,1,0.50,78,39
118000,1,0.50,78,39
119000,1,0.50,78,39
120000,1,0.50,78,39
121000,1,0.50,78,39
122000,1,0.50,78,39
123000,1,0.50,78,39
124000,1,0.50,78,39
125000,1,0.50,78,39
126000,1,0.50,78,39
127000,1,0.50,78,39
128000,1,0.50,78,39
129000,1,0.50,78,39
130000,1,0.50,78,39
131000,1,0.50,78,39
132000,1,0.50,78,39
133000,1,0.50,78,39
134000,1,0.50,78,39
135000,1,0.50,78,39
136000,1,0.50,78,39
137000,1,0.50,78,39
138000,1,0.50,78,39
139000,1,0.50,78,39
140000,1,0.50,78,39
141000,1,0.50,78,39
142000,1,0.50,78,39
143000,1,0.50,78,39
144000,1,0.50,78,39
145000,1,0.50,78,39
146000,1,0.50,78,39
147000,1,0.50,78,39
148000,1,0.50,78,39
149000,1,0.50,78,39
150000,1,0.50,78,39
151000,1,0.50,78,39
152000,1,0.50,78,39
153000,1,0.50,78,39
154000,1,0.50,78,39
155000,1,0.50,78,39
156000,1,0.50,78,39
157000,1,0.50,78,39
158000,1,0.50,78,39
159000,1,0.50,78,39
160000,1,0.50,78,39
161000,1,0.50,78,39
162000,1,0.50,78,39
163000,1,0.50,78,39
164000,1,0.50,78,39
165000,1,0.50,78,39
166000,1,0.50,78,39
167000,1,0.50,78,39
168000,1,0.50,78,39
169000,1,0.50,78,39
170000,1,0.50,78,39
171000,1,0.50,78,39
172000,1,0.50,78,39
173000,1,0.50,78,39
174000,1,0.50,78,39
175000,1,0.50,78,39
176000,1,0.50,78,39
177000,1,0.50,78,39
178000,1,0.50,78,39
179000,1,0.50,78,39
180000,1,0.50,78,39
181000,1,0.50,78,39
182000,1,0.50,78,39
183000,1,0.50,78,39
184000,1,0.50,78,39
185000,1,0.50,78,39
186000,1,0.50,78,39
187000,1,0.50,78,39
188000,1,0.50,78,39
189000,1,0.50,78,39
190000,1,0.50,78,39
191000,1,0.50,78,39
192000,1,0.50,78,39
193000,1,0.50,78,39
194000,1,0.50,78,39
195000,1,0.50,78,39
196000,1,0.50,78,39
197000,1,0.50,78,39
198000,1,0.50,78,39
199000,1,0.50,78,39
200000,1,0.50,78,39
201000,1,0.50,78,39
202000,1,0.50,78,39
203000,1,0.50,78,39
204000,1,0.50,78,39
205000,1,0.50,78,39
206000,1,0.50,78,39
207000,1,0.50,78,39
208000,1,0.50,78,39
209000,1,0.50,78,39
210000,1,0.50,78,39
211000,1,0.50,78,39
212000,1,0.50,78,39
213000,1,0.50,78,39
214000,1,0.50,78,39
215000,1,0.50,78,39
216000,1,0.50,78,39
217000,1,0.50,78,39
218000,1,0.50,78,39
219000,1,0.50,78,39
220000,1,0.50,78,39
221000,1,0.50,78,39
222000,1,0.50,78,39
223000,1,0.50,78,39
224000,1,0.50,78,39
225000,1,0.50,78,39
226000,1,0.50,78,39
227000,1,0.50,78,39
228000,1,0.50,78,39
229000,1,0.50,78,39
230000,1,0.50,78,39
231000,1,0.50,78,39
232000,1,0.50,78,39
233000,1,0.50,78,39
234000,1,0.50,78,39
235000,1,0.50,78,39
236000,1,0.50,78,39
237000,1,0.50,78,39
238000,1,0.50,78,39
239000,1,0.50,78,39
240000,1,0.50,78,39
241000,1,0.50,78,39
242000,1,0.50,78,39
243000,1,0.50,78,39
244000,1,0.50,78,39
245000,1,0.50,78,39
246000,1,0.50,78,39
247000,1,0.50,78,39
248000,1,0.50,78,39
249000,1,0.50,78,39
250000,1,0.50,78,39
251000,1,0.50,78,39
252000,1,0.50,78,39
253000,1,0.50,78,39
254000,1,0.50,78,39
255000,1,0.50,78,39
256000,1,0.50,78,39
257000,1,0.50,78,39
258000,1,0.50,78,39
259000,1,0.50,78,39
260000,1,0.50,78,39
261000,1,0.50,78,39
262000,1,0.50,78,39
263000,1,0.50,78,39
264000,1,0.50,78,39
265000,1,0.50,78,39
