time,running,percent,total,covered
1000,1,0.58,52,30
2000,1,0.58,52,30
3000,1,0.58,52,30
4000,1,0.58,52,30
5000,1,0.58,52,30
6000,1,0.58,52,30
7000,1,0.58,52,30
8000,1,0.58,52,30
9000,1,0.58,52,30
10000,1,0.58,52,30
11000,1,0.58,52,30
12000,1,0.58,52,30
13000,1,0.58,52,30
14000,1,0.58,52,30
15000,1,0.58,52,30
16000,1,0.58,52,30
17000,1,0.58,52,30
18000,1,0.58,52,30
19000,1,0.58,52,30
20000,1,0.58,52,30
21000,1,0.58,52,30
22000,1,0.58,52,30
23000,1,0.58,52,30
24000,1,0.58,52,30
25000,1,0.58,52,30
26000,1,0.58,52,30
27000,1,0.58,52,30
28000,1,0.58,52,30
29000,1,0.58,52,30
30000,1,0.58,52,30
31000,1,0.58,52,30
32000,1,0.58,52,30
33000,1,0.58,52,30
34000,1,0.58,52,30
35000,1,0.58,52,30
36000,1,0.58,52,30
37000,1,0.58,52,30
38000,1,0.58,52,30
39000,1,0.58,52,30
40000,1,0.58,52,30
41000,1,0.58,52,30
42000,1,0.58,52,30
43000,1,0.58,52,30
44000,1,0.58,52,30
45000,1,0.58,52,30
46000,1,0.58,52,30
47000,1,0.58,52,30
48000,1,0.58,52,30
49000,1,0.58,52,30
50000,1,0.58,52,30
51000,1,0.58,52,30
52000,1,0.58,52,30
53000,1,0.58,52,30
54000,1,0.60,52,31
55000,1,0.60,52,31
56000,1,0.60,52,31
57000,1,0.60,52,31
58000,1,0.60,52,31
59000,1,0.60,52,31
60000,1,0.60,52,31
61000,1,0.60,52,31
62000,1,0.60,52,31
63000,1,0.60,52,31
64000,1,0.60,52,31
65000,1,0.60,52,31
66000,1,0.60,52,31
67000,1,0.60,52,31
68000,1,0.60,52,31
69000,1,0.60,52,31
70000,1,0.60,52,31
71000,1,0.60,52,31
72000,1,0.60,52,31
73000,1,0.60,52,31
74000,1,0.60,52,31
75000,1,0.60,52,31
76000,1,0.60,52,31
77000,1,0.60,52,31
78000,1,0.60,52,31
79000,1,0.60,52,31
80000,1,0.60,52,31
81000,1,0.60,52,31
82000,1,0.60,52,31
83000,1,0.60,52,31
84000,1,0.60,52,31
85000,1,0.60,52,31
86000,1,0.60,52,31
87000,1,0.60,52,31
88000,1,0.60,52,31
89000,1,0.60,52,31
90000,1,0.60,52,31
91000,1,0.60,52,31
92000,1,0.60,52,31
93000,1,0.60,52,31
94000,1,0.60,52,31
95000,1,0.60,52,31
96000,1,0.60,52,31
97000,1,0.60,52,31
98000,1,0.60,52,31
99000,1,0.60,52,31
100000,1,0.60,52,31
101000,1,0.60,52,31
102000,1,0.60,52,31
103000,1,0.60,52,31
104000,1,0.60,52,31
105000,1,0.60,52,31
106000,1,0.60,52,31
107000,1,0.60,52,31
108000,1,0.60,52,31
109000,1,0.60,52,31
110000,1,0.60,52,31
111000,1,0.60,52,31
112000,1,0.60,52,31
113000,1,0.60,52,31
114000,1,0.60,52,31
115000,1,0.60,52,31
116000,1,0.60,52,31
117000,1,0.60,52,31
118000,1,0.60,52,31
119000,1,0.60,52,31
120000,1,0.60,52,31
121000,1,0.60,52,31
122000,1,0.60,52,31
123000,1,0.60,52,31
124000,1,0.60,52,31
125000,1,0.60,52,31
