time,running,percent,total,covered
1000,0,0.00,5,0
2000,0,0.00,5,0
3000,0,0.00,5,0
4000,0,0.00,5,0
5000,0,0.00,5,0
6000,0,0.00,5,0
7000,0,0.00,5,0
8000,0,0.00,5,0
9000,0,0.00,5,0
10000,0,0.00,5,0
11000,0,0.00,5,0
12000,0,0.00,5,0
13000,0,0.00,5,0
14000,0,0.00,5,0
15000,0,0.00,5,0
16000,0,0.00,5,0
17000,0,0.00,5,0
18000,0,0.00,5,0
19000,0,0.00,5,0
20000,0,0.00,5,0
21000,0,0.00,5,0
22000,0,0.00,5,0
23000,0,0.00,5,0
24000,0,0.00,5,0
25000,0,0.00,5,0
26000,0,0.00,5,0
27000,0,0.00,5,0
28000,0,0.00,5,0
29000,0,0.00,5,0
30000,0,0.00,5,0
31000,0,0.00,5,0
32000,0,0.00,5,0
33000,0,0.00,5,0
34000,0,0.00,5,0
35000,0,0.00,5,0
36000,0,0.00,5,0
37000,0,0.00,5,0
38000,0,0.00,5,0
39000,0,0.00,5,0
40000,0,0.00,5,0
41000,0,0.00,5,0
42000,0,0.00,5,0
43000,0,0.00,5,0
44000,0,0.00,5,0
45000,0,0.00,5,0
46000,0,0.00,5,0
47000,0,0.00,5,0
48000,0,0.00,5,0
49000,0,0.00,5,0
50000,0,0.00,5,0
51000,0,0.00,5,0
52000,0,0.00,5,0
53000,0,0.00,5,0
54000,0,0.00,5,0
55000,0,0.00,5,0
56000,0,0.00,5,0
57000,0,0.00,5,0
58000,0,0.00,5,0
59000,0,0.00,5,0
60000,0,0.00,5,0
61000,0,0.00,5,0
62000,0,0.00,5,0
63000,0,0.00,5,0
64000,0,0.00,5,0
65000,0,0.00,5,0
66000,0,0.00,5,0
67000,0,0.00,5,0
68000,0,0.00,5,0
69000,0,0.00,5,0
70000,0,0.00,5,0
71000,0,0.00,5,0
72000,0,0.00,5,0
73000,0,0.00,5,0
74000,0,0.00,5,0
75000,0,0.00,5,0
76000,0,0.00,5,0
77000,0,0.00,5,0
78000,0,0.00,5,0
79000,0,0.00,5,0
80000,0,0.00,5,0
81000,0,0.00,5,0
82000,0,0.00,5,0
83000,0,0.00,5,0
84000,0,0.00,5,0
85000,0,0.00,5,0
86000,0,0.00,5,0
87000,0,0.00,5,0
88000,0,0.00,5,0
89000,0,0.00,5,0
90000,0,0.00,5,0
91000,0,0.00,5,0
92000,0,0.00,5,0
93000,0,0.00,5,0
94000,0,0.00,5,0
95000,0,0.00,5,0
96000,0,0.00,5,0
97000,0,0.00,5,0
98000,0,0.00,5,0
99000,0,0.00,5,0
100000,0,0.00,5,0
101000,0,0.00,5,0
102000,0,0.00,5,0
103000,0,0.00,5,0
104000,0,0.00,5,0
105000,0,0.00,5,0
106000,0,0.00,5,0
107000,0,0.00,5,0
108000,0,0.00,5,0
109000,0,0.00,5,0
110000,0,0.00,5,0
111000,0,0.00,5,0
112000,0,0.00,5,0
113000,0,0.00,5,0
114000,0,0.00,5,0
115000,0,0.00,5,0
116000,0,0.00,5,0
117000,0,0.00,5,0
118000,0,0.00,5,0
119000,0,0.00,5,0
120000,0,0.00,5,0
121000,0,0.00,5,0
122000,0,0.00,5,0
123000,0,0.00,5,0
124000,0,0.00,5,0
125000,0,0.00,5,0
126000,0,0.00,5,0
127000,0,0.00,5,0
128000,0,0.00,5,0
129000,0,0.00,5,0
130000,0,0.00,5,0
131000,0,0.00,5,0
132000,0,0.00,5,0
133000,0,0.00,5,0
134000,0,0.00,5,0
135000,0,0.00,5,0
136000,0,0.00,5,0
137000,0,0.00,5,0
138000,0,0.00,5,0
139000,0,0.00,5,0
140000,0,0.00,5,0
141000,0,0.00,5,0
142000,0,0.00,5,0
143000,0,0.00,5,0
144000,0,0.00,5,0
145000,0,0.00,5,0
146000,0,0.00,5,0
147000,0,0.00,5,0
148000,0,0.00,5,0
149000,0,0.00,5,0
150000,0,0.00,5,0
151000,0,0.00,5,0
152000,0,0.00,5,0
153000,0,0.00,5,0
154000,0,0.00,5,0
155000,0,0.00,5,0
156000,0,0.00,5,0
157000,0,0.00,5,0
158000,0,0.00,5,0
159000,0,0.00,5,0
160000,0,0.00,5,0
161000,0,0.00,5,0
162000,0,0.00,5,0
163000,0,0.00,5,0
164000,0,0.00,5,0
165000,0,0.00,5,0
166000,0,0.00,5,0
167000,0,0.00,5,0
168000,0,0.00,5,0
169000,0,0.00,5,0
170000,0,0.00,5,0
171000,0,0.00,5,0
172000,0,0.00,5,0
173000,0,0.00,5,0
174000,0,0.00,5,0
175000,0,0.00,5,0
176000,0,0.00,5,0
177000,0,0.00,5,0
178000,0,0.00,5,0
179000,0,0.00,5,0
180000,0,0.00,5,0
181000,0,0.00,5,0
182000,0,0.00,5,0
183000,0,0.00,5,0
184000,0,0.00,5,0
185000,0,0.00,5,0
186000,0,0.00,5,0
187000,0,0.00,5,0
188000,0,0.00,5,0
189000,0,0.00,5,0
190000,0,0.00,5,0
191000,0,0.00,5,0
192000,0,0.00,5,0
193000,0,0.00,5,0
194000,0,0.00,5,0
195000,0,0.00,5,0
196000,0,0.00,5,0
197000,0,0.00,5,0
198000,0,0.00,5,0
199000,0,0.00,5,0
200000,0,0.00,5,0
201000,0,0.00,5,0
202000,0,0.00,5,0
203000,0,0.00,5,0
204000,0,0.00,5,0
205000,0,0.00,5,0
206000,0,0.00,5,0
207000,0,0.00,5,0
208000,0,0.00,5,0
209000,0,0.00,5,0
210000,0,0.00,5,0
211000,0,0.00,5,0
212000,0,0.00,5,0
213000,0,0.00,5,0
214000,0,0.00,5,0
215000,0,0.00,5,0
216000,0,0.00,5,0
217000,0,0.00,5,0
218000,0,0.00,5,0
219000,0,0.00,5,0
220000,0,0.00,5,0
221000,0,0.00,5,0
222000,0,0.00,5,0
223000,0,0.00,5,0
224000,0,0.00,5,0
225000,0,0.00,5,0
226000,0,0.00,5,0
227000,0,0.00,5,0
228000,0,0.00,5,0
229000,0,0.00,5,0
230000,0,0.00,5,0
231000,0,0.00,5,0
232000,0,0.00,5,0
233000,0,0.00,5,0
234000,0,0.00,5,0
235000,0,0.00,5,0
236000,0,0.00,5,0
237000,0,0.00,5,0
238000,0,0.00,5,0
239000,0,0.00,5,0
240000,0,0.00,5,0
241000,0,0.00,5,0
242000,0,0.00,5,0
243000,0,0.00,5,0
244000,0,0.00,5,0
245000,0,0.00,5,0
246000,0,0.00,5,0
247000,0,0.00,5,0
248000,0,0.00,5,0
249000,0,0.00,5,0
250000,0,0.00,5,0
251000,0,0.00,5,0
252000,0,0.00,5,0
253000,0,0.00,5,0
254000,0,0.00,5,0
255000,0,0.00,5,0
256000,0,0.00,5,0
257000,0,0.00,5,0
258000,0,0.00,5,0
259000,0,0.00,5,0
260000,0,0.00,5,0
261000,0,0.00,5,0
262000,0,0.00,5,0
263000,0,0.00,5,0
264000,0,0.00,5,0
265000,0,0.00,5,0
266000,0,0.00,5,0
267000,0,0.00,5,0
268000,0,0.00,5,0
269000,0,0.00,5,0
270000,0,0.00,5,0
271000,0,0.00,5,0
272000,0,0.00,5,0
273000,0,0.00,5,0
274000,0,0.00,5,0
275000,0,0.00,5,0
276000,0,0.00,5,0
277000,0,0.00,5,0
278000,0,0.00,5,0
279000,0,0.00,5,0
280000,0,0.00,5,0
281000,0,0.00,5,0
282000,0,0.00,5,0
283000,0,0.00,5,0
284000,0,0.00,5,0
285000,0,0.00,5,0
286000,0,0.00,5,0
287000,0,0.00,5,0
288000,0,0.00,5,0
289000,0,0.00,5,0
290000,0,0.00,5,0
291000,0,0.00,5,0
292000,0,0.00,5,0
293000,0,0.00,5,0
294000,0,0.00,5,0
295000,0,0.00,5,0
296000,0,0.00,5,0
297000,0,0.00,5,0
298000,0,0.00,5,0
299000,0,0.00,5,0
300000,0,0.00,5,0
301000,0,0.00,5,0
302000,0,0.00,5,0
303000,0,0.00,5,0
304000,0,0.00,5,0
305000,0,0.00,5,0
306000,0,0.00,5,0
307000,0,0.00,5,0
308000,0,0.00,5,0
309000,0,0.00,5,0
310000,0,0.00,5,0
311000,0,0.00,5,0
312000,0,0.00,5,0
313000,0,0.00,5,0
314000,0,0.00,5,0
315000,0,0.00,5,0
316000,0,0.00,5,0
317000,0,0.00,5,0
318000,0,0.00,5,0
319000,0,0.00,5,0
320000,0,0.00,5,0
321000,0,0.00,5,0
322000,0,0.00,5,0
323000,0,0.00,5,0
324000,0,0.00,5,0
325000,0,0.00,5,0
326000,0,0.00,5,0
327000,0,0.00,5,0
328000,0,0.00,5,0
329000,0,0.00,5,0
330000,0,0.00,5,0
331000,0,0.00,5,0
332000,0,0.00,5,0
333000,0,0.00,5,0
334000,0,0.00,5,0
335000,0,0.00,5,0
336000,0,0.00,5,0
337000,0,0.00,5,0
338000,0,0.00,5,0
339000,0,0.00,5,0
340000,0,0.00,5,0
341000,0,0.00,5,0
342000,0,0.00,5,0
343000,0,0.00,5,0
344000,0,0.00,5,0
345000,0,0.00,5,0
346000,0,0.00,5,0
347000,0,0.00,5,0
348000,0,0.00,5,0
349000,0,0.00,5,0
350000,0,0.00,5,0
351000,0,0.00,5,0
352000,0,0.00,5,0
353000,0,0.00,5,0
354000,0,0.00,5,0
355000,0,0.00,5,0
356000,0,0.00,5,0
357000,0,0.00,5,0
358000,0,0.00,5,0
359000,0,0.00,5,0
360000,0,0.00,5,0
361000,0,0.00,5,0
362000,0,0.00,5,0
363000,0,0.00,5,0
364000,0,0.00,5,0
365000,0,0.00,5,0
366000,0,0.00,5,0
367000,0,0.00,5,0
368000,0,0.00,5,0
369000,0,0.00,5,0
370000,0,0.00,5,0
371000,0,0.00,5,0
372000,0,0.00,5,0
373000,0,0.00,5,0
374000,0,0.00,5,0
375000,0,0.00,5,0
376000,0,0.00,5,0
377000,0,0.00,5,0
378000,0,0.00,5,0
379000,0,0.00,5,0
380000,0,0.00,5,0
381000,0,0.00,5,0
382000,0,0.00,5,0
383000,0,0.00,5,0
384000,0,0.00,5,0
385000,0,0.00,5,0
386000,0,0.00,5,0
387000,0,0.00,5,0
388000,0,0.00,5,0
389000,0,0.00,5,0
390000,0,0.00,5,0
391000,0,0.00,5,0
392000,0,0.00,5,0
393000,0,0.00,5,0
394000,0,0.00,5,0
395000,0,0.00,5,0
396000,0,0.00,5,0
397000,0,0.00,5,0
398000,0,0.00,5,0
399000,0,0.00,5,0
400000,0,0.00,5,0
401000,0,0.00,5,0
402000,0,0.00,5,0
403000,0,0.00,5,0
404000,0,0.00,5,0
405000,0,0.00,5,0
406000,0,0.00,5,0
407000,0,0.00,5,0
408000,0,0.00,5,0
409000,0,0.00,5,0
410000,0,0.00,5,0
411000,0,0.00,5,0
412000,0,0.00,5,0
413000,0,0.00,5,0
414000,0,0.00,5,0
415000,0,0.00,5,0
416000,0,0.00,5,0
417000,0,0.00,5,0
418000,0,0.00,5,0
419000,0,0.00,5,0
420000,0,0.00,5,0
421000,0,0.00,5,0
422000,0,0.00,5,0
423000,0,0.00,5,0
424000,0,0.00,5,0
425000,0,0.00,5,0
426000,0,0.00,5,0
427000,0,0.00,5,0
428000,0,0.00,5,0
429000,0,0.00,5,0
430000,0,0.00,5,0
431000,0,0.00,5,0
432000,0,0.00,5,0
433000,0,0.00,5,0
434000,0,0.00,5,0
435000,0,0.00,5,0
436000,0,0.00,5,0
437000,0,0.00,5,0
438000,0,0.00,5,0
439000,0,0.00,5,0
440000,0,0.00,5,0
441000,0,0.00,5,0
442000,0,0.00,5,0
443000,0,0.00,5,0
444000,0,0.00,5,0
445000,0,0.00,5,0
446000,0,0.00,5,0
447000,0,0.00,5,0
448000,0,0.00,5,0
449000,0,0.00,5,0
450000,0,0.00,5,0
451000,0,0.00,5,0
452000,0,0.00,5,0
453000,0,0.00,5,0
454000,0,0.00,5,0
455000,0,0.00,5,0
456000,0,0.00,5,0
457000,0,0.00,5,0
458000,0,0.00,5,0
459000,0,0.00,5,0
460000,0,0.00,5,0
461000,0,0.00,5,0
462000,0,0.00,5,0
463000,0,0.00,5,0
464000,0,0.00,5,0
465000,0,0.00,5,0
466000,0,0.00,5,0
467000,0,0.00,5,0
468000,0,0.00,5,0
469000,0,0.00,5,0
470000,0,0.00,5,0
471000,0,0.00,5,0
472000,0,0.00,5,0
473000,0,0.00,5,0
474000,0,0.00,5,0
475000,0,0.00,5,0
476000,0,0.00,5,0
477000,0,0.00,5,0
478000,0,0.00,5,0
479000,0,0.00,5,0
480000,0,0.00,5,0
481000,0,0.00,5,0
482000,0,0.00,5,0
483000,0,0.00,5,0
484000,0,0.00,5,0
485000,0,0.00,5,0
486000,0,0.00,5,0
487000,0,0.00,5,0
488000,0,0.00,5,0
489000,0,0.00,5,0
490000,0,0.00,5,0
491000,0,0.00,5,0
492000,0,0.00,5,0
493000,0,0.00,5,0
494000,0,0.00,5,0
495000,0,0.00,5,0
496000,0,0.00,5,0
497000,0,0.00,5,0
498000,0,0.00,5,0
499000,0,0.00,5,0
500000,0,0.00,5,0
501000,0,0.00,5,0
502000,0,0.00,5,0
503000,0,0.00,5,0
504000,0,0.00,5,0
505000,0,0.00,5,0
506000,0,0.00,5,0
507000,0,0.00,5,0
508000,0,0.00,5,0
509000,0,0.00,5,0
510000,0,0.00,5,0
511000,0,0.00,5,0
512000,0,0.00,5,0
513000,0,0.00,5,0
514000,0,0.00,5,0
515000,0,0.00,5,0
516000,0,0.00,5,0
517000,0,0.00,5,0
518000,0,0.00,5,0
519000,0,0.00,5,0
520000,0,0.00,5,0
521000,0,0.00,5,0
522000,0,0.00,5,0
523000,0,0.00,5,0
524000,0,0.00,5,0
525000,0,0.00,5,0
526000,0,0.00,5,0
527000,0,0.00,5,0
528000,0,0.00,5,0
529000,0,0.00,5,0
530000,0,0.00,5,0
531000,0,0.00,5,0
532000,0,0.00,5,0
533000,0,0.00,5,0
534000,0,0.00,5,0
535000,0,0.00,5,0
536000,0,0.00,5,0
537000,0,0.00,5,0
538000,0,0.00,5,0
539000,0,0.00,5,0
540000,0,0.00,5,0
541000,0,0.00,5,0
542000,0,0.00,5,0
543000,0,0.00,5,0
544000,0,0.00,5,0
545000,0,0.00,5,0
546000,0,0.00,5,0
547000,0,0.00,5,0
548000,0,0.00,5,0
549000,0,0.00,5,0
550000,0,0.00,5,0
551000,0,0.00,5,0
552000,0,0.00,5,0
553000,0,0.00,5,0
554000,0,0.00,5,0
555000,0,0.00,5,0
556000,0,0.00,5,0
557000,0,0.00,5,0
558000,0,0.00,5,0
559000,0,0.00,5,0
560000,0,0.00,5,0
561000,0,0.00,5,0
562000,0,0.00,5,0
563000,0,0.00,5,0
564000,0,0.00,5,0
565000,0,0.00,5,0
566000,0,0.00,5,0
567000,0,0.00,5,0
568000,0,0.00,5,0
569000,0,0.00,5,0
570000,0,0.00,5,0
571000,0,0.00,5,0
572000,0,0.00,5,0
573000,0,0.00,5,0
574000,0,0.00,5,0
575000,0,0.00,5,0
576000,0,0.00,5,0
577000,0,0.00,5,0
578000,0,0.00,5,0
579000,0,0.00,5,0
580000,0,0.00,5,0
581000,0,0.00,5,0
582000,0,0.00,5,0
583000,0,0.00,5,0
584000,0,0.00,5,0
585000,0,0.00,5,0
586000,0,0.00,5,0
587000,0,0.00,5,0
588000,0,0.00,5,0
589000,0,0.00,5,0
590000,0,0.00,5,0
591000,0,0.00,5,0
592000,0,0.00,5,0
593000,0,0.00,5,0
594000,0,0.00,5,0
595000,0,0.00,5,0
596000,0,0.00,5,0
597000,0,0.00,5,0
598000,0,0.00,5,0
599000,0,0.00,5,0
600000,0,0.00,5,0
