time,running,percent,total,covered
1000,1,0.40,30,12
2000,1,0.40,30,12
3000,1,0.40,30,12
4000,1,0.40,30,12
5000,1,0.40,30,12
6000,1,0.40,30,12
7000,1,0.40,30,12
8000,1,0.40,30,12
9000,1,0.40,30,12
10000,1,0.40,30,12
11000,1,0.40,30,12
12000,1,0.40,30,12
13000,1,0.40,30,12
14000,1,0.40,30,12
15000,1,0.40,30,12
16000,1,0.40,30,12
17000,1,0.40,30,12
18000,1,0.40,30,12
19000,1,0.40,30,12
20000,1,0.40,30,12
21000,1,0.40,30,12
22000,1,0.40,30,12
23000,1,0.40,30,12
24000,1,0.40,30,12
25000,1,0.40,30,12
26000,1,0.40,30,12
27000,1,0.40,30,12
28000,1,0.40,30,12
29000,1,0.40,30,12
30000,1,0.40,30,12
31000,1,0.40,30,12
32000,1,0.43,30,13
33000,1,0.43,30,13
34000,0,0.47,30,14
35000,0,0.47,30,14
36000,0,0.47,30,14
37000,0,0.47,30,14
38000,0,0.47,30,14
39000,0,0.47,30,14
40000,0,0.47,30,14
41000,0,0.47,30,14
42000,0,0.47,30,14
43000,0,0.47,30,14
44000,0,0.47,30,14
45000,0,0.47,30,14
46000,0,0.47,30,14
47000,0,0.47,30,14
48000,0,0.47,30,14
49000,0,0.47,30,14
50000,0,0.47,30,14
51000,0,0.47,30,14
52000,0,0.47,30,14
53000,0,0.47,30,14
54000,0,0.47,30,14
55000,0,0.47,30,14
56000,0,0.47,30,14
57000,0,0.47,30,14
58000,0,0.47,30,14
59000,0,0.47,30,14
60000,0,0.47,30,14
61000,0,0.47,30,14
62000,0,0.47,30,14
63000,0,0.47,30,14
64000,0,0.47,30,14
65000,0,0.47,30,14
66000,0,0.47,30,14
67000,0,0.47,30,14
68000,0,0.47,30,14
69000,0,0.47,30,14
70000,0,0.47,30,14
71000,0,0.47,30,14
72000,0,0.47,30,14
73000,0,0.47,30,14
74000,0,0.47,30,14
75000,0,0.47,30,14
76000,0,0.47,30,14
77000,0,0.47,30,14
78000,0,0.47,30,14
79000,0,0.47,30,14
80000,0,0.47,30,14
81000,0,0.47,30,14
82000,0,0.47,30,14
83000,0,0.47,30,14
84000,0,0.47,30,14
85000,0,0.47,30,14
86000,0,0.47,30,14
