time,running,percent,total,covered
1000,0,0.12,26,3
2000,0,0.12,26,3
3000,0,0.12,26,3
4000,0,0.12,26,3
5000,0,0.12,26,3
6000,0,0.12,26,3
7000,0,0.12,26,3
8000,0,0.12,26,3
9000,0,0.12,26,3
10000,0,0.12,26,3
11000,0,0.12,26,3
12000,0,0.12,26,3
13000,0,0.12,26,3
14000,0,0.12,26,3
15000,0,0.12,26,3
16000,0,0.12,26,3
17000,0,0.12,26,3
18000,0,0.12,26,3
19000,0,0.12,26,3
20000,0,0.12,26,3
21000,0,0.12,26,3
22000,0,0.12,26,3
23000,0,0.12,26,3
24000,0,0.12,26,3
25000,0,0.12,26,3
26000,0,0.12,26,3
27000,0,0.12,26,3
28000,0,0.12,26,3
29000,0,0.12,26,3
30000,0,0.12,26,3
31000,0,0.12,26,3
32000,0,0.12,26,3
33000,0,0.12,26,3
34000,0,0.12,26,3
35000,0,0.12,26,3
36000,0,0.12,26,3
37000,0,0.12,26,3
38000,0,0.12,26,3
39000,0,0.12,26,3
40000,0,0.12,26,3
41000,0,0.12,26,3
42000,0,0.12,26,3
43000,0,0.12,26,3
44000,0,0.12,26,3
45000,0,0.12,26,3
46000,0,0.12,26,3
47000,0,0.12,26,3
48000,0,0.12,26,3
49000,0,0.12,26,3
50000,0,0.12,26,3
51000,0,0.12,26,3
52000,0,0.12,26,3
53000,0,0.12,26,3
54000,0,0.12,26,3
55000,0,0.12,26,3
56000,0,0.12,26,3
57000,0,0.12,26,3
58000,0,0.12,26,3
59000,0,0.12,26,3
60000,0,0.12,26,3
61000,0,0.12,26,3
62000,0,0.12,26,3
63000,0,0.12,26,3
64000,0,0.12,26,3
65000,0,0.12,26,3
66000,0,0.12,26,3
67000,0,0.12,26,3
68000,0,0.12,26,3
69000,0,0.12,26,3
70000,0,0.12,26,3
71000,0,0.12,26,3
72000,0,0.12,26,3
73000,0,0.12,26,3
74000,0,0.12,26,3
75000,0,0.12,26,3
76000,0,0.12,26,3
77000,0,0.12,26,3
78000,0,0.12,26,3
79000,0,0.12,26,3
80000,0,0.12,26,3
81000,0,0.12,26,3
82000,0,0.12,26,3
83000,0,0.12,26,3
84000,0,0.12,26,3
85000,0,0.12,26,3
86000,0,0.12,26,3
87000,0,0.12,26,3
88000,0,0.12,26,3
89000,0,0.12,26,3
90000,0,0.12,26,3
91000,0,0.12,26,3
92000,0,0.12,26,3
93000,0,0.12,26,3
94000,0,0.12,26,3
95000,0,0.12,26,3
96000,0,0.12,26,3
97000,0,0.12,26,3
98000,0,0.12,26,3
99000,0,0.12,26,3
100000,0,0.12,26,3
101000,0,0.12,26,3
102000,0,0.12,26,3
103000,0,0.12,26,3
104000,0,0.12,26,3
105000,0,0.12,26,3
106000,0,0.12,26,3
107000,0,0.12,26,3
108000,0,0.12,26,3
109000,0,0.12,26,3
110000,0,0.12,26,3
111000,0,0.12,26,3
112000,0,0.12,26,3
113000,0,0.12,26,3
114000,0,0.12,26,3
115000,0,0.12,26,3
116000,0,0.12,26,3
117000,0,0.12,26,3
118000,0,0.12,26,3
119000,0,0.12,26,3
120000,0,0.12,26,3
121000,0,0.12,26,3
122000,0,0.12,26,3
123000,0,0.12,26,3
124000,0,0.12,26,3
125000,0,0.12,26,3
126000,0,0.12,26,3
127000,0,0.12,26,3
128000,0,0.12,26,3
129000,0,0.12,26,3
130000,0,0.12,26,3
131000,0,0.12,26,3
132000,0,0.12,26,3
133000,0,0.12,26,3
134000,0,0.12,26,3
135000,0,0.12,26,3
136000,0,0.12,26,3
137000,0,0.12,26,3
138000,0,0.12,26,3
139000,0,0.12,26,3
140000,0,0.12,26,3
141000,0,0.12,26,3
142000,0,0.12,26,3
143000,0,0.12,26,3
144000,0,0.12,26,3
145000,0,0.12,26,3
146000,0,0.12,26,3
147000,0,0.12,26,3
148000,0,0.12,26,3
149000,0,0.12,26,3
150000,0,0.12,26,3
151000,0,0.12,26,3
152000,0,0.12,26,3
153000,0,0.12,26,3
154000,0,0.12,26,3
155000,0,0.12,26,3
156000,0,0.12,26,3
157000,0,0.12,26,3
158000,0,0.12,26,3
159000,0,0.12,26,3
160000,0,0.12,26,3
161000,0,0.12,26,3
162000,0,0.12,26,3
163000,0,0.12,26,3
164000,0,0.12,26,3
165000,0,0.12,26,3
166000,0,0.12,26,3
167000,0,0.12,26,3
168000,0,0.12,26,3
169000,0,0.12,26,3
170000,0,0.12,26,3
171000,0,0.12,26,3
172000,0,0.12,26,3
173000,0,0.12,26,3
174000,0,0.12,26,3
175000,0,0.12,26,3
176000,0,0.12,26,3
177000,0,0.12,26,3
178000,0,0.12,26,3
179000,0,0.12,26,3
180000,0,0.12,26,3
181000,0,0.12,26,3
182000,0,0.12,26,3
183000,0,0.12,26,3
184000,0,0.12,26,3
185000,0,0.12,26,3
186000,0,0.12,26,3
187000,0,0.12,26,3
188000,0,0.12,26,3
189000,0,0.12,26,3
190000,0,0.12,26,3
191000,0,0.12,26,3
192000,0,0.12,26,3
193000,0,0.12,26,3
194000,0,0.12,26,3
195000,0,0.12,26,3
196000,0,0.12,26,3
197000,0,0.12,26,3
198000,0,0.12,26,3
199000,0,0.12,26,3
200000,0,0.12,26,3
201000,0,0.12,26,3
202000,0,0.12,26,3
203000,0,0.12,26,3
204000,0,0.12,26,3
205000,0,0.12,26,3
206000,0,0.12,26,3
207000,0,0.12,26,3
208000,0,0.12,26,3
209000,0,0.12,26,3
210000,0,0.12,26,3
211000,0,0.12,26,3
212000,0,0.12,26,3
213000,0,0.12,26,3
214000,0,0.12,26,3
215000,0,0.12,26,3
216000,0,0.12,26,3
217000,0,0.12,26,3
218000,0,0.12,26,3
219000,0,0.12,26,3
220000,0,0.12,26,3
221000,0,0.12,26,3
222000,0,0.12,26,3
223000,0,0.12,26,3
224000,0,0.12,26,3
225000,0,0.12,26,3
226000,0,0.12,26,3
227000,0,0.12,26,3
228000,0,0.12,26,3
229000,0,0.12,26,3
230000,0,0.12,26,3
231000,0,0.12,26,3
232000,0,0.12,26,3
233000,0,0.12,26,3
234000,0,0.12,26,3
235000,0,0.12,26,3
236000,0,0.12,26,3
237000,0,0.12,26,3
238000,0,0.12,26,3
239000,0,0.12,26,3
240000,0,0.12,26,3
241000,0,0.12,26,3
242000,0,0.12,26,3
243000,0,0.12,26,3
244000,0,0.12,26,3
245000,0,0.12,26,3
246000,0,0.12,26,3
247000,0,0.12,26,3
248000,0,0.12,26,3
249000,0,0.12,26,3
250000,0,0.12,26,3
251000,0,0.12,26,3
252000,0,0.12,26,3
253000,0,0.12,26,3
254000,0,0.12,26,3
255000,0,0.12,26,3
256000,0,0.12,26,3
257000,0,0.12,26,3
258000,0,0.12,26,3
259000,0,0.12,26,3
260000,0,0.12,26,3
261000,0,0.12,26,3
262000,0,0.12,26,3
263000,0,0.12,26,3
264000,0,0.12,26,3
265000,0,0.12,26,3
266000,0,0.12,26,3
267000,0,0.12,26,3
268000,0,0.12,26,3
269000,0,0.12,26,3
270000,0,0.12,26,3
271000,0,0.12,26,3
272000,0,0.12,26,3
273000,0,0.12,26,3
274000,0,0.12,26,3
275000,0,0.12,26,3
276000,0,0.12,26,3
277000,0,0.12,26,3
278000,0,0.12,26,3
279000,0,0.12,26,3
280000,0,0.12,26,3
281000,0,0.12,26,3
282000,0,0.12,26,3
283000,0,0.12,26,3
284000,0,0.12,26,3
285000,0,0.12,26,3
286000,0,0.12,26,3
287000,0,0.12,26,3
288000,0,0.12,26,3
289000,0,0.12,26,3
290000,0,0.12,26,3
291000,0,0.12,26,3
292000,0,0.12,26,3
293000,0,0.12,26,3
294000,0,0.12,26,3
295000,0,0.12,26,3
296000,0,0.12,26,3
297000,0,0.12,26,3
298000,0,0.12,26,3
299000,0,0.12,26,3
300000,0,0.12,26,3
301000,0,0.12,26,3
302000,0,0.12,26,3
303000,0,0.12,26,3
304000,0,0.12,26,3
305000,0,0.12,26,3
306000,0,0.12,26,3
307000,0,0.12,26,3
308000,0,0.12,26,3
309000,0,0.12,26,3
310000,0,0.12,26,3
311000,0,0.12,26,3
312000,0,0.12,26,3
313000,0,0.12,26,3
314000,0,0.12,26,3
315000,0,0.12,26,3
316000,0,0.12,26,3
317000,0,0.12,26,3
318000,0,0.12,26,3
319000,0,0.12,26,3
320000,0,0.12,26,3
321000,0,0.12,26,3
322000,0,0.12,26,3
323000,0,0.12,26,3
324000,0,0.12,26,3
325000,0,0.12,26,3
326000,0,0.12,26,3
327000,0,0.12,26,3
328000,0,0.12,26,3
329000,0,0.12,26,3
330000,0,0.12,26,3
331000,0,0.12,26,3
332000,0,0.12,26,3
333000,0,0.12,26,3
334000,0,0.12,26,3
335000,0,0.12,26,3
336000,0,0.12,26,3
337000,0,0.12,26,3
338000,0,0.12,26,3
339000,0,0.12,26,3
340000,0,0.12,26,3
341000,0,0.12,26,3
342000,0,0.12,26,3
343000,0,0.12,26,3
344000,0,0.12,26,3
345000,0,0.12,26,3
346000,0,0.12,26,3
347000,0,0.12,26,3
348000,0,0.12,26,3
349000,0,0.12,26,3
