time,running,percent,total,covered
1000,1,0.36,78,28
2000,1,0.36,78,28
3000,1,0.36,78,28
4000,1,0.36,78,28
5000,1,0.59,78,46
6000,1,0.59,78,46
7000,1,0.59,78,46
8000,1,0.59,78,46
9000,1,0.59,78,46
10000,1,0.59,78,46
11000,1,0.62,78,48
12000,1,0.65,78,51
13000,1,0.65,78,51
14000,1,0.65,78,51
15000,1,0.65,78,51
16000,1,0.65,78,51
17000,1,0.65,78,51
18000,1,0.68,78,53
19000,1,0.72,78,56
20000,1,0.72,78,56
21000,1,0.72,78,56
22000,1,0.72,78,56
23000,1,0.72,78,56
24000,1,0.72,78,56
25000,1,0.73,78,57
26000,1,0.73,78,57
27000,1,0.73,78,57
28000,1,0.73,78,57
29000,1,0.73,78,57
30000,1,0.73,78,57
31000,1,0.73,78,57
32000,1,0.73,78,57
33000,1,0.73,78,57
34000,1,0.73,78,57
35000,1,0.73,78,57
36000,1,0.73,78,57
37000,1,0.73,78,57
38000,1,0.73,78,57
39000,1,0.73,78,57
40000,1,0.73,78,57
41000,1,0.73,78,57
42000,1,0.73,78,57
43000,1,0.73,78,57
44000,1,0.73,78,57
45000,1,0.73,78,57
46000,1,0.73,78,57
47000,1,0.73,78,57
48000,1,0.73,78,57
49000,1,0.73,78,57
50000,1,0.73,78,57
51000,1,0.73,78,57
52000,1,0.73,78,57
53000,1,0.73,78,57
54000,1,0.73,78,57
55000,1,0.73,78,57
56000,1,0.73,78,57
57000,1,0.73,78,57
58000,1,0.73,78,57
59000,1,0.73,78,57
60000,1,0.73,78,57
61000,1,0.73,78,57
62000,1,0.73,78,57
63000,1,0.73,78,57
64000,1,0.73,78,57
65000,1,0.73,78,57
66000,1,0.73,78,57
67000,1,0.73,78,57
68000,1,0.73,78,57
69000,1,0.73,78,57
70000,1,0.73,78,57
71000,1,0.73,78,57
72000,1,0.73,78,57
73000,1,0.73,78,57
74000,1,0.73,78,57
75000,1,0.73,78,57
76000,1,0.73,78,57
77000,1,0.73,78,57
78000,1,0.73,78,57
79000,1,0.73,78,57
80000,1,0.73,78,57
81000,1,0.73,78,57
82000,1,0.73,78,57
83000,1,0.73,78,57
84000,1,0.73,78,57
85000,1,0.73,78,57
86000,1,0.73,78,57
87000,1,0.73,78,57
88000,1,0.73,78,57
89000,1,0.73,78,57
90000,1,0.73,78,57
91000,1,0.73,78,57
92000,1,0.73,78,57
93000,1,0.73,78,57
94000,1,0.73,78,57
95000,1,0.73,78,57
96000,1,0.73,78,57
97000,1,0.73,78,57
98000,1,0.73,78,57
99000,1,0.73,78,57
100000,1,0.73,78,57
101000,1,0.73,78,57
102000,1,0.73,78,57
103000,1,0.73,78,57
104000,1,0.73,78,57
105000,1,0.73,78,57
106000,1,0.73,78,57
107000,1,0.73,78,57
108000,1,0.73,78,57
109000,1,0.73,78,57
110000,1,0.73,78,57
111000,1,0.73,78,57
112000,1,0.73,78,57
113000,1,0.73,78,57
114000,1,0.73,78,57
115000,1,0.73,78,57
116000,1,0.73,78,57
117000,1,0.73,78,57
118000,1,0.73,78,57
119000,1,0.73,78,57
120000,1,0.73,78,57
121000,1,0.73,78,57
122000,1,0.73,78,57
123000,1,0.73,78,57
124000,1,0.73,78,57
125000,1,0.73,78,57
126000,1,0.73,78,57
127000,1,0.73,78,57
128000,1,0.73,78,57
129000,1,0.73,78,57
130000,1,0.73,78,57
131000,1,0.73,78,57
132000,1,0.73,78,57
133000,1,0.73,78,57
134000,1,0.73,78,57
135000,1,0.73,78,57
136000,1,0.73,78,57
137000,1,0.73,78,57
138000,1,0.73,78,57
139000,1,0.73,78,57
140000,1,0.73,78,57
141000,1,0.73,78,57
142000,1,0.73,78,57
143000,1,0.73,78,57
144000,1,0.73,78,57
145000,1,0.73,78,57
146000,1,0.73,78,57
147000,1,0.73,78,57
148000,1,0.73,78,57
149000,1,0.73,78,57
150000,1,0.73,78,57
151000,1,0.73,78,57
152000,1,0.73,78,57
153000,1,0.73,78,57
154000,1,0.73,78,57
155000,1,0.73,78,57
156000,1,0.73,78,57
157000,1,0.73,78,57
158000,1,0.73,78,57
159000,1,0.73,78,57
160000,1,0.73,78,57
161000,1,0.73,78,57
162000,1,0.73,78,57
163000,1,0.73,78,57
164000,1,0.73,78,57
165000,1,0.73,78,57
166000,1,0.73,78,57
167000,1,0.73,78,57
168000,1,0.73,78,57
169000,1,0.73,78,57
170000,1,0.73,78,57
171000,1,0.73,78,57
172000,1,0.73,78,57
173000,1,0.73,78,57
174000,1,0.73,78,57
175000,1,0.73,78,57
176000,1,0.73,78,57
177000,1,0.73,78,57
178000,1,0.73,78,57
179000,1,0.73,78,57
180000,1,0.73,78,57
181000,1,0.73,78,57
182000,1,0.73,78,57
183000,1,0.73,78,57
184000,1,0.73,78,57
185000,1,0.73,78,57
186000,1,0.73,78,57
187000,1,0.73,78,57
188000,1,0.73,78,57
189000,1,0.73,78,57
190000,1,0.73,78,57
191000,1,0.73,78,57
192000,1,0.73,78,57
193000,1,0.73,78,57
194000,1,0.73,78,57
195000,1,0.73,78,57
196000,1,0.73,78,57
197000,1,0.73,78,57
198000,1,0.73,78,57
199000,1,0.73,78,57
200000,1,0.73,78,57
201000,1,0.73,78,57
202000,1,0.73,78,57
203000,1,0.73,78,57
204000,1,0.73,78,57
205000,1,0.73,78,57
206000,1,0.73,78,57
207000,1,0.73,78,57
208000,1,0.73,78,57
209000,1,0.73,78,57
210000,1,0.73,78,57
211000,1,0.73,78,57
212000,1,0.73,78,57
213000,1,0.73,78,57
214000,1,0.73,78,57
215000,1,0.73,78,57
216000,1,0.73,78,57
217000,1,0.73,78,57
218000,1,0.73,78,57
219000,1,0.73,78,57
220000,1,0.73,78,57
221000,1,0.73,78,57
222000,1,0.73,78,57
223000,1,0.73,78,57
224000,1,0.73,78,57
225000,1,0.73,78,57
226000,1,0.73,78,57
227000,1,0.73,78,57
228000,1,0.73,78,57
229000,1,0.73,78,57
230000,1,0.73,78,57
231000,1,0.73,78,57
232000,1,0.73,78,57
233000,1,0.73,78,57
234000,1,0.73,78,57
235000,1,0.73,78,57
236000,1,0.73,78,57
237000,1,0.73,78,57
238000,1,0.73,78,57
239000,1,0.73,78,57
240000,1,0.73,78,57
241000,1,0.73,78,57
242000,1,0.73,78,57
243000,1,0.73,78,57
244000,1,0.73,78,57
245000,1,0.73,78,57
246000,1,0.73,78,57
247000,1,0.73,78,57
248000,1,0.73,78,57
249000,1,0.73,78,57
250000,1,0.73,78,57
251000,1,0.73,78,57
252000,1,0.73,78,57
253000,1,0.73,78,57
254000,1,0.73,78,57
255000,1,0.73,78,57
256000,1,0.73,78,57
257000,1,0.73,78,57
258000,1,0.73,78,57
259000,1,0.73,78,57
260000,1,0.73,78,57
261000,1,0.73,78,57
262000,1,0.73,78,57
263000,1,0.73,78,57
264000,1,0.73,78,57
265000,1,0.73,78,57
266000,1,0.73,78,57
267000,1,0.73,78,57
268000,1,0.73,78,57
269000,1,0.73,78,57
270000,1,0.73,78,57
271000,1,0.73,78,57
272000,1,0.73,78,57
273000,1,0.73,78,57
274000,1,0.73,78,57
275000,1,0.73,78,57
276000,1,0.73,78,57
277000,1,0.73,78,57
278000,1,0.73,78,57
279000,1,0.73,78,57
280000,1,0.73,78,57
281000,1,0.73,78,57
282000,1,0.73,78,57
283000,1,0.73,78,57
284000,1,0.73,78,57
285000,1,0.73,78,57
286000,1,0.73,78,57
287000,1,0.73,78,57
288000,1,0.73,78,57
289000,1,0.73,78,57
290000,1,0.73,78,57
291000,1,0.73,78,57
292000,1,0.73,78,57
293000,1,0.73,78,57
294000,1,0.73,78,57
295000,1,0.73,78,57
296000,1,0.73,78,57
297000,1,0.73,78,57
298000,1,0.73,78,57
299000,1,0.73,78,57
300000,1,0.73,78,57
301000,1,0.73,78,57
302000,1,0.73,78,57
303000,1,0.73,78,57
304000,1,0.73,78,57
305000,1,0.73,78,57
306000,1,0.73,78,57
307000,1,0.73,78,57
308000,1,0.73,78,57
309000,1,0.73,78,57
310000,1,0.73,78,57
311000,1,0.73,78,57
312000,1,0.73,78,57
313000,1,0.73,78,57
314000,1,0.73,78,57
315000,1,0.73,78,57
316000,1,0.73,78,57
317000,1,0.73,78,57
318000,1,0.73,78,57
319000,1,0.73,78,57
320000,1,0.73,78,57
321000,1,0.73,78,57
322000,1,0.73,78,57
323000,1,0.73,78,57
324000,1,0.73,78,57
325000,1,0.73,78,57
326000,1,0.73,78,57
327000,1,0.73,78,57
328000,1,0.73,78,57
329000,1,0.73,78,57
330000,1,0.73,78,57
331000,1,0.73,78,57
332000,1,0.73,78,57
333000,1,0.73,78,57
334000,1,0.73,78,57
335000,1,0.73,78,57
336000,1,0.73,78,57
337000,1,0.73,78,57
338000,1,0.73,78,57
339000,1,0.73,78,57
340000,1,0.73,78,57
341000,1,0.73,78,57
342000,1,0.73,78,57
343000,1,0.73,78,57
344000,1,0.73,78,57
345000,1,0.73,78,57
346000,1,0.73,78,57
347000,1,0.73,78,57
348000,1,0.73,78,57
349000,1,0.73,78,57
350000,1,0.73,78,57
351000,1,0.73,78,57
352000,1,0.73,78,57
353000,1,0.73,78,57
354000,1,0.73,78,57
355000,1,0.73,78,57
356000,1,0.73,78,57
357000,1,0.73,78,57
358000,1,0.73,78,57
359000,1,0.73,78,57
360000,1,0.73,78,57
361000,1,0.73,78,57
362000,1,0.73,78,57
363000,1,0.73,78,57
364000,1,0.73,78,57
365000,1,0.73,78,57
366000,1,0.73,78,57
367000,1,0.73,78,57
368000,1,0.73,78,57
369000,1,0.73,78,57
370000,1,0.73,78,57
371000,1,0.73,78,57
372000,1,0.73,78,57
373000,1,0.73,78,57
374000,1,0.73,78,57
375000,1,0.73,78,57
376000,1,0.73,78,57
377000,1,0.73,78,57
378000,1,0.73,78,57
379000,1,0.73,78,57
380000,1,0.73,78,57
381000,1,0.73,78,57
382000,1,0.73,78,57
383000,1,0.73,78,57
384000,1,0.73,78,57
385000,1,0.73,78,57
386000,1,0.73,78,57
387000,1,0.73,78,57
388000,1,0.73,78,57
389000,1,0.73,78,57
390000,1,0.73,78,57
391000,1,0.73,78,57
392000,1,0.73,78,57
393000,1,0.73,78,57
394000,1,0.73,78,57
395000,1,0.73,78,57
396000,1,0.73,78,57
397000,1,0.73,78,57
398000,1,0.73,78,57
399000,1,0.73,78,57
400000,1,0.73,78,57
401000,1,0.73,78,57
402000,1,0.73,78,57
403000,1,0.73,78,57
404000,1,0.73,78,57
405000,1,0.73,78,57
406000,1,0.73,78,57
407000,1,0.73,78,57
408000,1,0.73,78,57
409000,1,0.73,78,57
410000,1,0.73,78,57
411000,1,0.73,78,57
412000,1,0.73,78,57
413000,1,0.73,78,57
414000,1,0.73,78,57
415000,1,0.73,78,57
416000,1,0.73,78,57
417000,1,0.73,78,57
418000,1,0.73,78,57
419000,1,0.73,78,57
420000,1,0.73,78,57
421000,1,0.73,78,57
422000,1,0.73,78,57
423000,1,0.73,78,57
424000,1,0.73,78,57
425000,1,0.73,78,57
426000,1,0.73,78,57
427000,1,0.73,78,57
428000,1,0.73,78,57
429000,1,0.73,78,57
430000,1,0.73,78,57
431000,1,0.73,78,57
432000,1,0.73,78,57
433000,1,0.73,78,57
434000,1,0.73,78,57
435000,1,0.73,78,57
436000,1,0.73,78,57
437000,1,0.73,78,57
438000,1,0.73,78,57
439000,1,0.73,78,57
440000,1,0.73,78,57
441000,1,0.73,78,57
442000,1,0.73,78,57
443000,1,0.73,78,57
444000,1,0.73,78,57
445000,1,0.73,78,57
446000,1,0.73,78,57
447000,1,0.73,78,57
448000,1,0.73,78,57
449000,1,0.73,78,57
450000,1,0.73,78,57
451000,1,0.73,78,57
452000,1,0.73,78,57
453000,1,0.73,78,57
454000,1,0.73,78,57
455000,1,0.73,78,57
456000,1,0.73,78,57
457000,1,0.73,78,57
458000,1,0.73,78,57
459000,1,0.73,78,57
460000,1,0.73,78,57
461000,1,0.73,78,57
462000,1,0.73,78,57
463000,1,0.73,78,57
464000,1,0.73,78,57
465000,1,0.73,78,57
466000,1,0.73,78,57
467000,1,0.73,78,57
468000,1,0.73,78,57
469000,1,0.73,78,57
470000,1,0.73,78,57
471000,1,0.73,78,57
472000,1,0.73,78,57
473000,1,0.73,78,57
474000,1,0.73,78,57
475000,1,0.73,78,57
476000,1,0.73,78,57
477000,1,0.73,78,57
478000,1,0.73,78,57
479000,1,0.73,78,57
480000,1,0.73,78,57
481000,1,0.73,78,57
482000,1,0.73,78,57
483000,1,0.73,78,57
484000,1,0.73,78,57
485000,1,0.73,78,57
486000,1,0.73,78,57
487000,1,0.73,78,57
488000,1,0.73,78,57
489000,1,0.73,78,57
490000,1,0.73,78,57
491000,1,0.73,78,57
492000,1,0.73,78,57
493000,1,0.73,78,57
494000,1,0.73,78,57
