time,running,percent,total,covered
1000,1,0.19,27,5
2000,1,0.19,27,5
3000,1,0.19,27,5
4000,1,0.19,27,5
5000,1,0.19,27,5
6000,1,0.19,27,5
7000,1,0.19,27,5
8000,1,0.19,27,5
9000,1,0.19,27,5
10000,1,0.19,27,5
11000,1,0.19,27,5
12000,1,0.19,27,5
13000,1,0.19,27,5
14000,1,0.19,27,5
15000,1,0.19,27,5
16000,1,0.19,27,5
17000,1,0.19,27,5
18000,1,0.19,27,5
19000,1,0.19,27,5
20000,1,0.19,27,5
21000,1,0.19,27,5
22000,1,0.19,27,5
23000,1,0.19,27,5
24000,1,0.19,27,5
25000,1,0.19,27,5
26000,1,0.19,27,5
27000,1,0.19,27,5
28000,1,0.19,27,5
29000,1,0.19,27,5
30000,1,0.19,27,5
31000,1,0.19,27,5
32000,1,0.19,27,5
33000,1,0.19,27,5
34000,1,0.19,27,5
35000,1,0.19,27,5
36000,1,0.19,27,5
37000,1,0.19,27,5
38000,1,0.19,27,5
39000,1,0.19,27,5
40000,1,0.19,27,5
41000,1,0.19,27,5
42000,1,0.19,27,5
43000,1,0.19,27,5
44000,1,0.19,27,5
45000,1,0.19,27,5
46000,1,0.19,27,5
47000,1,0.19,27,5
48000,1,0.19,27,5
49000,1,0.19,27,5
50000,1,0.19,27,5
51000,1,0.19,27,5
52000,1,0.19,27,5
53000,1,0.19,27,5
54000,1,0.19,27,5
55000,1,0.19,27,5
56000,1,0.19,27,5
57000,1,0.19,27,5
58000,1,0.19,27,5
59000,1,0.19,27,5
60000,1,0.19,27,5
61000,1,0.19,27,5
62000,1,0.19,27,5
63000,1,0.19,27,5
64000,1,0.19,27,5
65000,1,0.19,27,5
66000,1,0.19,27,5
67000,1,0.19,27,5
68000,1,0.19,27,5
69000,1,0.19,27,5
70000,1,0.19,27,5
71000,1,0.19,27,5
72000,1,0.19,27,5
73000,1,0.19,27,5
74000,1,0.19,27,5
75000,1,0.19,27,5
76000,1,0.19,27,5
77000,1,0.19,27,5
78000,1,0.19,27,5
79000,1,0.19,27,5
80000,1,0.19,27,5
81000,1,0.19,27,5
82000,1,0.19,27,5
83000,1,0.19,27,5
84000,1,0.19,27,5
85000,1,0.19,27,5
86000,1,0.19,27,5
87000,1,0.19,27,5
88000,1,0.19,27,5
89000,1,0.19,27,5
90000,1,0.19,27,5
91000,1,0.19,27,5
92000,1,0.19,27,5
93000,1,0.19,27,5
94000,1,0.19,27,5
95000,1,0.19,27,5
96000,1,0.19,27,5
97000,1,0.19,27,5
98000,1,0.19,27,5
99000,1,0.19,27,5
100000,1,0.19,27,5
101000,1,0.19,27,5
102000,1,0.19,27,5
103000,1,0.19,27,5
104000,1,0.19,27,5
105000,1,0.19,27,5
106000,1,0.19,27,5
107000,1,0.19,27,5
108000,1,0.19,27,5
109000,1,0.19,27,5
110000,1,0.19,27,5
111000,1,0.19,27,5
112000,1,0.19,27,5
113000,1,0.19,27,5
114000,1,0.19,27,5
115000,1,0.19,27,5
116000,1,0.19,27,5
117000,1,0.19,27,5
118000,1,0.19,27,5
119000,1,0.19,27,5
120000,1,0.19,27,5
121000,1,0.19,27,5
122000,1,0.19,27,5
123000,1,0.19,27,5
124000,1,0.19,27,5
125000,1,0.19,27,5
126000,1,0.19,27,5
127000,1,0.19,27,5
128000,1,0.19,27,5
129000,1,0.19,27,5
130000,1,0.19,27,5
131000,1,0.19,27,5
132000,1,0.19,27,5
133000,1,0.19,27,5
