time,running,percent,total,covered
1000,1,0.33,21,7
2000,1,0.33,21,7
3000,1,0.33,21,7
4000,1,0.33,21,7
5000,1,0.33,21,7
6000,1,0.33,21,7
7000,1,0.33,21,7
8000,1,0.33,21,7
9000,1,0.33,21,7
10000,1,0.33,21,7
11000,1,0.33,21,7
12000,1,0.33,21,7
13000,1,0.33,21,7
14000,1,0.33,21,7
15000,1,0.33,21,7
16000,1,0.33,21,7
17000,1,0.33,21,7
18000,1,0.33,21,7
19000,1,0.33,21,7
20000,1,0.33,21,7
21000,1,0.33,21,7
22000,1,0.33,21,7
23000,1,0.33,21,7
24000,1,0.33,21,7
25000,1,0.33,21,7
26000,1,0.33,21,7
27000,1,0.33,21,7
28000,1,0.33,21,7
29000,1,0.33,21,7
30000,1,0.33,21,7
31000,1,0.33,21,7
32000,1,0.33,21,7
33000,1,0.33,21,7
34000,1,0.33,21,7
35000,1,0.33,21,7
36000,1,0.33,21,7
37000,1,0.33,21,7
38000,1,0.33,21,7
39000,1,0.33,21,7
40000,1,0.33,21,7
41000,1,0.33,21,7
42000,1,0.33,21,7
43000,1,0.33,21,7
44000,1,0.33,21,7
45000,1,0.33,21,7
46000,1,0.33,21,7
47000,1,0.33,21,7
48000,1,0.33,21,7
49000,1,0.33,21,7
50000,1,0.33,21,7
51000,1,0.33,21,7
52000,1,0.33,21,7
53000,1,0.33,21,7
54000,1,0.33,21,7
55000,1,0.33,21,7
56000,1,0.33,21,7
57000,1,0.33,21,7
58000,1,0.33,21,7
59000,1,0.33,21,7
60000,1,0.33,21,7
61000,1,0.33,21,7
62000,1,0.33,21,7
63000,1,0.33,21,7
64000,1,0.33,21,7
65000,1,0.33,21,7
66000,1,0.33,21,7
67000,1,0.33,21,7
68000,1,0.33,21,7
69000,1,0.33,21,7
70000,1,0.33,21,7
71000,1,0.33,21,7
72000,1,0.33,21,7
73000,1,0.33,21,7
74000,1,0.33,21,7
75000,1,0.33,21,7
76000,1,0.33,21,7
77000,1,0.33,21,7
78000,1,0.33,21,7
79000,1,0.33,21,7
80000,1,0.33,21,7
81000,1,0.33,21,7
82000,1,0.33,21,7
83000,1,0.33,21,7
84000,1,0.33,21,7
85000,1,0.33,21,7
86000,1,0.33,21,7
87000,1,0.33,21,7
88000,1,0.33,21,7
89000,1,0.33,21,7
90000,1,0.33,21,7
91000,1,0.33,21,7
92000,1,0.33,21,7
93000,1,0.33,21,7
94000,1,0.33,21,7
95000,1,0.33,21,7
96000,1,0.33,21,7
97000,1,0.33,21,7
98000,1,0.33,21,7
99000,1,0.33,21,7
100000,1,0.33,21,7
101000,1,0.33,21,7
102000,1,0.33,21,7
103000,1,0.33,21,7
104000,1,0.33,21,7
105000,1,0.33,21,7
106000,1,0.33,21,7
107000,1,0.33,21,7
108000,1,0.33,21,7
109000,1,0.33,21,7
110000,1,0.33,21,7
111000,1,0.33,21,7
112000,1,0.33,21,7
113000,1,0.33,21,7
114000,1,0.33,21,7
115000,1,0.33,21,7
116000,1,0.33,21,7
117000,1,0.33,21,7
118000,1,0.33,21,7
119000,1,0.33,21,7
120000,1,0.33,21,7
121000,1,0.33,21,7
122000,1,0.33,21,7
123000,1,0.33,21,7
124000,1,0.33,21,7
125000,1,0.33,21,7
126000,1,0.33,21,7
127000,1,0.33,21,7
128000,1,0.33,21,7
129000,1,0.33,21,7
130000,1,0.33,21,7
131000,1,0.33,21,7
132000,1,0.33,21,7
133000,1,0.33,21,7
134000,1,0.33,21,7
135000,1,0.33,21,7
136000,1,0.33,21,7
137000,1,0.33,21,7
138000,1,0.33,21,7
139000,1,0.33,21,7
140000,1,0.33,21,7
141000,1,0.33,21,7
142000,1,0.33,21,7
143000,1,0.33,21,7
144000,1,0.33,21,7
145000,1,0.33,21,7
146000,1,0.33,21,7
147000,1,0.33,21,7
148000,1,0.33,21,7
149000,1,0.33,21,7
150000,1,0.33,21,7
151000,1,0.33,21,7
152000,1,0.33,21,7
153000,1,0.33,21,7
154000,1,0.33,21,7
155000,1,0.33,21,7
156000,1,0.33,21,7
157000,1,0.33,21,7
158000,1,0.33,21,7
159000,1,0.33,21,7
160000,1,0.33,21,7
161000,1,0.33,21,7
162000,1,0.33,21,7
163000,1,0.33,21,7
164000,1,0.33,21,7
165000,1,0.33,21,7
166000,1,0.33,21,7
167000,1,0.33,21,7
168000,1,0.33,21,7
169000,1,0.33,21,7
170000,1,0.33,21,7
171000,1,0.33,21,7
172000,1,0.33,21,7
173000,1,0.33,21,7
174000,1,0.33,21,7
175000,1,0.33,21,7
176000,1,0.33,21,7
177000,1,0.33,21,7
178000,1,0.33,21,7
179000,1,0.33,21,7
180000,1,0.33,21,7
181000,1,0.33,21,7
182000,1,0.33,21,7
183000,1,0.33,21,7
184000,1,0.33,21,7
185000,1,0.33,21,7
186000,1,0.33,21,7
187000,1,0.33,21,7
188000,1,0.33,21,7
189000,1,0.33,21,7
190000,1,0.33,21,7
191000,1,0.33,21,7
192000,1,0.33,21,7
193000,1,0.33,21,7
194000,1,0.33,21,7
195000,1,0.33,21,7
196000,1,0.33,21,7
197000,1,0.33,21,7
198000,1,0.33,21,7
199000,1,0.33,21,7
200000,1,0.33,21,7
201000,1,0.33,21,7
202000,1,0.33,21,7
203000,1,0.33,21,7
204000,1,0.33,21,7
205000,1,0.33,21,7
206000,1,0.33,21,7
207000,1,0.33,21,7
208000,1,0.33,21,7
209000,1,0.33,21,7
210000,1,0.33,21,7
211000,1,0.33,21,7
212000,1,0.33,21,7
213000,1,0.33,21,7
214000,1,0.33,21,7
215000,1,0.33,21,7
216000,1,0.33,21,7
217000,1,0.33,21,7
218000,1,0.33,21,7
219000,1,0.33,21,7
220000,1,0.33,21,7
221000,1,0.33,21,7
222000,1,0.33,21,7
223000,1,0.33,21,7
224000,1,0.33,21,7
225000,1,0.33,21,7
226000,1,0.33,21,7
227000,1,0.33,21,7
228000,1,0.33,21,7
229000,1,0.33,21,7
230000,1,0.33,21,7
231000,1,0.33,21,7
232000,1,0.33,21,7
233000,1,0.33,21,7
234000,1,0.33,21,7
235000,1,0.33,21,7
236000,1,0.33,21,7
237000,1,0.33,21,7
238000,1,0.33,21,7
239000,1,0.33,21,7
240000,1,0.33,21,7
241000,1,0.33,21,7
242000,1,0.33,21,7
243000,1,0.33,21,7
244000,1,0.33,21,7
245000,1,0.33,21,7
246000,1,0.33,21,7
247000,1,0.33,21,7
248000,1,0.33,21,7
249000,1,0.33,21,7
250000,1,0.33,21,7
251000,1,0.33,21,7
252000,1,0.33,21,7
253000,1,0.33,21,7
254000,1,0.33,21,7
255000,1,0.33,21,7
256000,1,0.33,21,7
257000,1,0.33,21,7
258000,1,0.33,21,7
259000,1,0.33,21,7
260000,1,0.33,21,7
261000,1,0.33,21,7
262000,1,0.33,21,7
263000,1,0.33,21,7
264000,1,0.33,21,7
265000,1,0.33,21,7
266000,1,0.33,21,7
267000,1,0.33,21,7
268000,1,0.33,21,7
269000,1,0.33,21,7
270000,1,0.33,21,7
271000,1,0.33,21,7
272000,1,0.33,21,7
273000,1,0.33,21,7
274000,1,0.33,21,7
275000,1,0.33,21,7
276000,1,0.33,21,7
277000,1,0.33,21,7
278000,1,0.33,21,7
279000,1,0.33,21,7
280000,1,0.33,21,7
281000,1,0.33,21,7
282000,1,0.33,21,7
283000,1,0.33,21,7
284000,1,0.33,21,7
285000,1,0.33,21,7
286000,1,0.33,21,7
287000,1,0.33,21,7
288000,1,0.33,21,7
289000,1,0.33,21,7
290000,1,0.33,21,7
291000,1,0.33,21,7
292000,1,0.33,21,7
293000,1,0.33,21,7
294000,1,0.33,21,7
295000,1,0.33,21,7
296000,1,0.33,21,7
297000,1,0.33,21,7
298000,1,0.33,21,7
299000,1,0.33,21,7
300000,1,0.33,21,7
301000,1,0.33,21,7
302000,1,0.33,21,7
303000,1,0.33,21,7
304000,1,0.33,21,7
305000,1,0.33,21,7
306000,1,0.33,21,7
307000,1,0.33,21,7
308000,1,0.33,21,7
309000,1,0.33,21,7
310000,1,0.33,21,7
311000,1,0.33,21,7
312000,1,0.33,21,7
313000,1,0.33,21,7
314000,1,0.33,21,7
315000,1,0.33,21,7
316000,1,0.33,21,7
317000,1,0.33,21,7
318000,1,0.33,21,7
319000,1,0.33,21,7
320000,1,0.33,21,7
321000,1,0.33,21,7
322000,1,0.33,21,7
323000,1,0.33,21,7
324000,1,0.33,21,7
325000,1,0.33,21,7
326000,1,0.33,21,7
327000,1,0.33,21,7
328000,1,0.33,21,7
329000,1,0.33,21,7
330000,1,0.33,21,7
331000,1,0.33,21,7
332000,1,0.33,21,7
333000,1,0.33,21,7
334000,1,0.33,21,7
335000,1,0.33,21,7
336000,1,0.33,21,7
337000,1,0.33,21,7
338000,1,0.33,21,7
339000,1,0.33,21,7
340000,1,0.33,21,7
341000,1,0.33,21,7
342000,1,0.33,21,7
343000,1,0.33,21,7
344000,1,0.33,21,7
345000,1,0.33,21,7
346000,1,0.33,21,7
347000,1,0.33,21,7
348000,1,0.33,21,7
349000,1,0.33,21,7
350000,1,0.33,21,7
351000,1,0.33,21,7
352000,1,0.33,21,7
353000,1,0.33,21,7
354000,1,0.33,21,7
355000,1,0.33,21,7
356000,1,0.33,21,7
357000,1,0.33,21,7
358000,1,0.33,21,7
359000,1,0.33,21,7
360000,1,0.33,21,7
361000,1,0.33,21,7
362000,1,0.33,21,7
363000,1,0.33,21,7
364000,1,0.33,21,7
365000,1,0.33,21,7
366000,1,0.33,21,7
367000,1,0.33,21,7
368000,1,0.33,21,7
369000,1,0.33,21,7
370000,1,0.33,21,7
371000,1,0.33,21,7
372000,1,0.33,21,7
373000,1,0.33,21,7
374000,1,0.33,21,7
375000,1,0.33,21,7
376000,1,0.33,21,7
377000,1,0.33,21,7
378000,1,0.33,21,7
379000,1,0.33,21,7
380000,1,0.33,21,7
381000,1,0.33,21,7
382000,1,0.33,21,7
383000,1,0.33,21,7
384000,1,0.33,21,7
385000,1,0.33,21,7
386000,1,0.33,21,7
387000,1,0.33,21,7
388000,1,0.33,21,7
389000,1,0.33,21,7
390000,1,0.33,21,7
391000,1,0.33,21,7
392000,1,0.33,21,7
393000,1,0.33,21,7
394000,1,0.33,21,7
395000,1,0.33,21,7
396000,1,0.33,21,7
397000,1,0.33,21,7
398000,1,0.33,21,7
399000,1,0.33,21,7
400000,1,0.33,21,7
401000,1,0.33,21,7
402000,1,0.33,21,7
403000,1,0.33,21,7
404000,1,0.33,21,7
405000,1,0.33,21,7
406000,1,0.33,21,7
407000,1,0.33,21,7
408000,1,0.33,21,7
409000,1,0.33,21,7
410000,1,0.33,21,7
411000,1,0.33,21,7
412000,1,0.33,21,7
413000,1,0.33,21,7
414000,1,0.33,21,7
415000,1,0.33,21,7
416000,1,0.33,21,7
417000,1,0.33,21,7
418000,1,0.33,21,7
419000,1,0.33,21,7
420000,1,0.33,21,7
421000,1,0.33,21,7
422000,1,0.33,21,7
423000,1,0.33,21,7
424000,1,0.33,21,7
425000,1,0.33,21,7
426000,1,0.33,21,7
427000,1,0.33,21,7
428000,1,0.33,21,7
429000,1,0.33,21,7
430000,1,0.33,21,7
431000,1,0.33,21,7
432000,1,0.33,21,7
433000,1,0.33,21,7
434000,1,0.33,21,7
435000,1,0.33,21,7
436000,1,0.33,21,7
437000,1,0.33,21,7
438000,1,0.33,21,7
439000,1,0.33,21,7
440000,1,0.33,21,7
441000,1,0.33,21,7
442000,1,0.33,21,7
443000,1,0.33,21,7
444000,1,0.33,21,7
445000,1,0.33,21,7
446000,1,0.33,21,7
447000,1,0.33,21,7
448000,1,0.33,21,7
449000,1,0.33,21,7
450000,1,0.33,21,7
451000,1,0.33,21,7
452000,1,0.33,21,7
453000,1,0.33,21,7
454000,1,0.33,21,7
455000,1,0.33,21,7
456000,1,0.33,21,7
457000,1,0.33,21,7
458000,1,0.33,21,7
459000,1,0.33,21,7
460000,1,0.33,21,7
461000,1,0.33,21,7
462000,1,0.33,21,7
463000,1,0.33,21,7
464000,1,0.33,21,7
465000,1,0.33,21,7
466000,1,0.33,21,7
467000,1,0.33,21,7
468000,1,0.33,21,7
469000,1,0.33,21,7
470000,1,0.33,21,7
471000,1,0.33,21,7
472000,1,0.33,21,7
473000,1,0.33,21,7
474000,1,0.33,21,7
475000,1,0.33,21,7
476000,1,0.33,21,7
477000,1,0.33,21,7
478000,1,0.33,21,7
479000,1,0.33,21,7
480000,1,0.33,21,7
481000,1,0.33,21,7
482000,1,0.33,21,7
483000,1,0.33,21,7
484000,1,0.33,21,7
485000,1,0.33,21,7
486000,1,0.33,21,7
487000,1,0.33,21,7
488000,1,0.33,21,7
489000,1,0.33,21,7
490000,1,0.33,21,7
491000,1,0.33,21,7
492000,1,0.33,21,7
493000,1,0.33,21,7
494000,1,0.33,21,7
495000,1,0.33,21,7
496000,1,0.33,21,7
497000,1,0.33,21,7
498000,1,0.33,21,7
499000,1,0.33,21,7
500000,1,0.33,21,7
501000,1,0.33,21,7
502000,1,0.33,21,7
503000,1,0.33,21,7
504000,1,0.33,21,7
505000,1,0.33,21,7
506000,1,0.33,21,7
507000,1,0.33,21,7
508000,1,0.33,21,7
509000,1,0.33,21,7
510000,1,0.33,21,7
511000,1,0.33,21,7
512000,1,0.33,21,7
513000,1,0.33,21,7
514000,1,0.33,21,7
515000,1,0.33,21,7
516000,1,0.33,21,7
517000,1,0.33,21,7
518000,1,0.33,21,7
519000,1,0.33,21,7
520000,1,0.33,21,7
521000,1,0.33,21,7
522000,1,0.33,21,7
523000,1,0.33,21,7
524000,1,0.33,21,7
525000,1,0.33,21,7
526000,1,0.33,21,7
527000,1,0.33,21,7
528000,1,0.33,21,7
529000,1,0.33,21,7
530000,1,0.33,21,7
531000,1,0.33,21,7
532000,1,0.33,21,7
533000,1,0.33,21,7
534000,1,0.33,21,7
535000,1,0.33,21,7
536000,1,0.33,21,7
537000,1,0.33,21,7
538000,1,0.33,21,7
539000,1,0.33,21,7
540000,1,0.33,21,7
541000,1,0.33,21,7
542000,1,0.33,21,7
543000,1,0.33,21,7
544000,1,0.33,21,7
545000,1,0.33,21,7
546000,1,0.33,21,7
547000,1,0.33,21,7
548000,1,0.33,21,7
549000,1,0.33,21,7
550000,1,0.33,21,7
551000,1,0.33,21,7
552000,1,0.33,21,7
553000,1,0.33,21,7
554000,1,0.33,21,7
555000,1,0.33,21,7
556000,1,0.33,21,7
557000,1,0.33,21,7
558000,1,0.33,21,7
559000,1,0.33,21,7
560000,1,0.33,21,7
561000,1,0.33,21,7
562000,1,0.33,21,7
563000,1,0.33,21,7
564000,1,0.33,21,7
565000,1,0.33,21,7
566000,1,0.33,21,7
567000,1,0.33,21,7
568000,1,0.33,21,7
569000,1,0.33,21,7
570000,1,0.33,21,7
571000,1,0.33,21,7
572000,1,0.33,21,7
573000,1,0.33,21,7
574000,1,0.33,21,7
575000,1,0.33,21,7
576000,1,0.33,21,7
577000,1,0.33,21,7
578000,1,0.33,21,7
579000,1,0.33,21,7
580000,1,0.33,21,7
581000,1,0.33,21,7
582000,1,0.33,21,7
583000,1,0.33,21,7
584000,1,0.33,21,7
585000,1,0.33,21,7
586000,1,0.33,21,7
587000,1,0.33,21,7
588000,1,0.33,21,7
589000,1,0.33,21,7
