time,running,percent,total,covered
1000,1,0.30,82,25
2000,1,0.30,82,25
3000,1,0.41,82,34
4000,1,0.41,82,34
5000,1,0.52,82,43
6000,1,0.52,82,43
7000,1,0.63,82,52
8000,1,0.63,82,52
9000,1,0.63,82,52
10000,1,0.63,82,52
11000,1,0.65,82,53
12000,1,0.65,82,53
13000,1,0.65,82,53
14000,1,0.65,82,53
15000,1,0.65,82,53
16000,1,0.66,82,54
17000,1,0.66,82,54
18000,1,0.66,82,54
19000,1,0.66,82,54
20000,1,0.66,82,54
21000,1,0.66,82,54
22000,1,0.66,82,54
23000,1,0.66,82,54
24000,1,0.66,82,54
25000,1,0.66,82,54
26000,1,0.66,82,54
27000,1,0.66,82,54
28000,1,0.66,82,54
29000,1,0.66,82,54
30000,1,0.66,82,54
31000,1,0.66,82,54
32000,1,0.66,82,54
33000,1,0.66,82,54
34000,1,0.66,82,54
35000,1,0.66,82,54
36000,1,0.66,82,54
37000,1,0.66,82,54
38000,1,0.66,82,54
39000,1,0.66,82,54
40000,1,0.66,82,54
41000,1,0.66,82,54
42000,1,0.66,82,54
43000,1,0.66,82,54
44000,1,0.66,82,54
45000,1,0.66,82,54
46000,1,0.66,82,54
47000,1,0.66,82,54
48000,1,0.66,82,54
49000,1,0.66,82,54
50000,1,0.66,82,54
51000,1,0.66,82,54
52000,1,0.66,82,54
53000,1,0.66,82,54
54000,1,0.66,82,54
55000,1,0.66,82,54
56000,1,0.66,82,54
57000,1,0.66,82,54
58000,1,0.66,82,54
59000,1,0.66,82,54
60000,1,0.66,82,54
61000,1,0.66,82,54
62000,1,0.66,82,54
63000,1,0.66,82,54
64000,1,0.66,82,54
65000,1,0.66,82,54
66000,1,0.66,82,54
67000,1,0.66,82,54
68000,1,0.66,82,54
69000,1,0.66,82,54
70000,1,0.66,82,54
71000,1,0.66,82,54
72000,1,0.66,82,54
73000,1,0.66,82,54
74000,1,0.66,82,54
75000,1,0.66,82,54
76000,1,0.66,82,54
77000,1,0.66,82,54
78000,1,0.66,82,54
79000,1,0.66,82,54
80000,1,0.66,82,54
81000,1,0.66,82,54
82000,1,0.66,82,54
83000,1,0.66,82,54
84000,1,0.66,82,54
85000,1,0.66,82,54
86000,1,0.66,82,54
87000,1,0.66,82,54
88000,1,0.66,82,54
89000,1,0.66,82,54
90000,1,0.66,82,54
91000,1,0.66,82,54
92000,1,0.66,82,54
93000,1,0.66,82,54
94000,1,0.66,82,54
95000,1,0.66,82,54
96000,1,0.66,82,54
97000,1,0.66,82,54
98000,1,0.66,82,54
99000,1,0.66,82,54
100000,1,0.66,82,54
101000,1,0.66,82,54
102000,1,0.72,82,59
103000,1,0.87,82,71
104000,0,0.93,82,76
105000,0,0.93,82,76
106000,0,0.93,82,76
107000,0,0.93,82,76
108000,0,0.93,82,76
109000,0,0.93,82,76
110000,0,0.93,82,76
111000,0,0.93,82,76
112000,0,0.93,82,76
113000,0,0.93,82,76
114000,0,0.93,82,76
115000,0,0.93,82,76
116000,0,0.93,82,76
117000,0,0.93,82,76
118000,0,0.93,82,76
119000,0,0.93,82,76
120000,0,0.93,82,76
121000,0,0.93,82,76
122000,0,0.93,82,76
123000,0,0.93,82,76
124000,0,0.93,82,76
125000,0,0.93,82,76
126000,0,0.93,82,76
127000,0,0.93,82,76
128000,0,0.93,82,76
129000,0,0.93,82,76
130000,0,0.93,82,76
131000,0,0.93,82,76
132000,0,0.93,82,76
133000,0,0.93,82,76
134000,0,0.93,82,76
135000,0,0.93,82,76
136000,0,0.93,82,76
137000,0,0.93,82,76
138000,0,0.93,82,76
139000,0,0.93,82,76
140000,0,0.93,82,76
141000,0,0.93,82,76
142000,0,0.93,82,76
143000,0,0.93,82,76
144000,0,0.93,82,76
145000,0,0.93,82,76
146000,0,0.93,82,76
147000,0,0.93,82,76
148000,0,0.93,82,76
149000,0,0.93,82,76
150000,0,0.93,82,76
151000,0,0.93,82,76
152000,0,0.93,82,76
153000,0,0.93,82,76
154000,0,0.93,82,76
155000,0,0.93,82,76
156000,0,0.93,82,76
157000,0,0.93,82,76
158000,0,0.93,82,76
159000,0,0.93,82,76
160000,0,0.93,82,76
161000,0,0.93,82,76
162000,0,0.93,82,76
163000,0,0.93,82,76
164000,0,0.93,82,76
165000,0,0.93,82,76
166000,0,0.93,82,76
167000,0,0.93,82,76
168000,0,0.93,82,76
169000,0,0.93,82,76
170000,0,0.93,82,76
171000,0,0.93,82,76
172000,0,0.93,82,76
173000,0,0.93,82,76
174000,0,0.93,82,76
175000,0,0.93,82,76
176000,0,0.93,82,76
177000,0,0.93,82,76
178000,0,0.93,82,76
179000,0,0.93,82,76
180000,0,0.93,82,76
181000,0,0.93,82,76
182000,0,0.93,82,76
183000,0,0.93,82,76
184000,0,0.93,82,76
185000,0,0.93,82,76
186000,0,0.93,82,76
187000,0,0.93,82,76
188000,0,0.93,82,76
189000,0,0.93,82,76
190000,0,0.93,82,76
191000,0,0.93,82,76
192000,0,0.93,82,76
193000,0,0.93,82,76
194000,0,0.93,82,76
195000,0,0.93,82,76
196000,0,0.93,82,76
197000,0,0.93,82,76
198000,0,0.93,82,76
199000,0,0.93,82,76
200000,0,0.93,82,76
201000,0,0.93,82,76
202000,0,0.93,82,76
203000,0,0.93,82,76
204000,0,0.93,82,76
205000,0,0.93,82,76
206000,0,0.93,82,76
207000,0,0.93,82,76
208000,0,0.93,82,76
209000,0,0.93,82,76
210000,0,0.93,82,76
211000,0,0.93,82,76
212000,0,0.93,82,76
213000,0,0.93,82,76
214000,0,0.93,82,76
215000,0,0.93,82,76
216000,0,0.93,82,76
217000,0,0.93,82,76
218000,0,0.93,82,76
219000,0,0.93,82,76
220000,0,0.93,82,76
221000,0,0.93,82,76
222000,0,0.93,82,76
223000,0,0.93,82,76
224000,0,0.93,82,76
225000,0,0.93,82,76
226000,0,0.93,82,76
227000,0,0.93,82,76
228000,0,0.93,82,76
229000,0,0.93,82,76
230000,0,0.93,82,76
231000,0,0.93,82,76
232000,0,0.93,82,76
233000,0,0.93,82,76
234000,0,0.93,82,76
235000,0,0.93,82,76
236000,0,0.93,82,76
237000,0,0.93,82,76
238000,0,0.93,82,76
239000,0,0.93,82,76
240000,0,0.93,82,76
241000,0,0.93,82,76
242000,0,0.93,82,76
243000,0,0.93,82,76
244000,0,0.93,82,76
245000,0,0.93,82,76
246000,0,0.93,82,76
247000,0,0.93,82,76
248000,0,0.93,82,76
249000,0,0.93,82,76
250000,0,0.93,82,76
251000,0,0.93,82,76
252000,0,0.93,82,76
253000,0,0.93,82,76
254000,0,0.93,82,76
255000,0,0.93,82,76
256000,0,0.93,82,76
257000,0,0.93,82,76
258000,0,0.93,82,76
259000,0,0.93,82,76
260000,0,0.93,82,76
261000,0,0.93,82,76
262000,0,0.93,82,76
263000,0,0.93,82,76
264000,0,0.93,82,76
265000,0,0.93,82,76
266000,0,0.93,82,76
267000,0,0.93,82,76
268000,0,0.93,82,76
269000,0,0.93,82,76
270000,0,0.93,82,76
271000,0,0.93,82,76
272000,0,0.93,82,76
273000,0,0.93,82,76
274000,0,0.93,82,76
275000,0,0.93,82,76
276000,0,0.93,82,76
277000,0,0.93,82,76
278000,0,0.93,82,76
279000,0,0.93,82,76
280000,0,0.93,82,76
281000,0,0.93,82,76
282000,0,0.93,82,76
283000,0,0.93,82,76
284000,0,0.93,82,76
285000,0,0.93,82,76
286000,0,0.93,82,76
287000,0,0.93,82,76
288000,0,0.93,82,76
289000,0,0.93,82,76
290000,0,0.93,82,76
291000,0,0.93,82,76
292000,0,0.93,82,76
293000,0,0.93,82,76
294000,0,0.93,82,76
295000,0,0.93,82,76
296000,0,0.93,82,76
297000,0,0.93,82,76
298000,0,0.93,82,76
299000,0,0.93,82,76
300000,0,0.93,82,76
301000,0,0.93,82,76
302000,0,0.93,82,76
303000,0,0.93,82,76
304000,0,0.93,82,76
305000,0,0.93,82,76
306000,0,0.93,82,76
307000,0,0.93,82,76
308000,0,0.93,82,76
309000,0,0.93,82,76
310000,0,0.93,82,76
311000,0,0.93,82,76
312000,0,0.93,82,76
313000,0,0.93,82,76
314000,0,0.93,82,76
315000,0,0.93,82,76
316000,0,0.93,82,76
317000,0,0.93,82,76
318000,0,0.93,82,76
319000,0,0.93,82,76
320000,0,0.93,82,76
321000,0,0.93,82,76
322000,0,0.93,82,76
323000,0,0.93,82,76
324000,0,0.93,82,76
325000,0,0.93,82,76
326000,0,0.93,82,76
327000,0,0.93,82,76
328000,0,0.93,82,76
329000,0,0.93,82,76
330000,0,0.93,82,76
331000,0,0.93,82,76
332000,0,0.93,82,76
333000,0,0.93,82,76
334000,0,0.93,82,76
335000,0,0.93,82,76
336000,0,0.93,82,76
337000,0,0.93,82,76
338000,0,0.93,82,76
339000,0,0.93,82,76
340000,0,0.93,82,76
341000,0,0.93,82,76
342000,0,0.93,82,76
343000,0,0.93,82,76
344000,0,0.93,82,76
345000,0,0.93,82,76
346000,0,0.93,82,76
347000,0,0.93,82,76
348000,0,0.93,82,76
349000,0,0.93,82,76
350000,0,0.93,82,76
351000,0,0.93,82,76
352000,0,0.93,82,76
353000,0,0.93,82,76
354000,0,0.93,82,76
355000,0,0.93,82,76
356000,0,0.93,82,76
357000,0,0.93,82,76
358000,0,0.93,82,76
359000,0,0.93,82,76
360000,0,0.93,82,76
361000,0,0.93,82,76
362000,0,0.93,82,76
363000,0,0.93,82,76
364000,0,0.93,82,76
365000,0,0.93,82,76
366000,0,0.93,82,76
367000,0,0.93,82,76
368000,0,0.93,82,76
369000,0,0.93,82,76
370000,0,0.93,82,76
371000,0,0.93,82,76
372000,0,0.93,82,76
373000,0,0.93,82,76
374000,0,0.93,82,76
375000,0,0.93,82,76
376000,0,0.93,82,76
377000,0,0.93,82,76
378000,0,0.93,82,76
379000,0,0.93,82,76
380000,0,0.93,82,76
381000,0,0.93,82,76
382000,0,0.93,82,76
383000,0,0.93,82,76
384000,0,0.93,82,76
385000,0,0.93,82,76
386000,0,0.93,82,76
387000,0,0.93,82,76
388000,0,0.93,82,76
389000,0,0.93,82,76
390000,0,0.93,82,76
391000,0,0.93,82,76
392000,0,0.93,82,76
393000,0,0.93,82,76
394000,0,0.93,82,76
395000,0,0.93,82,76
396000,0,0.93,82,76
397000,0,0.93,82,76
398000,0,0.93,82,76
399000,0,0.93,82,76
400000,0,0.93,82,76
401000,0,0.93,82,76
402000,0,0.93,82,76
403000,0,0.93,82,76
404000,0,0.93,82,76
405000,0,0.93,82,76
406000,0,0.93,82,76
407000,0,0.93,82,76
408000,0,0.93,82,76
409000,0,0.93,82,76
410000,0,0.93,82,76
411000,0,0.93,82,76
412000,0,0.93,82,76
413000,0,0.93,82,76
414000,0,0.93,82,76
415000,0,0.93,82,76
416000,0,0.93,82,76
417000,0,0.93,82,76
418000,0,0.93,82,76
419000,0,0.93,82,76
420000,0,0.93,82,76
421000,0,0.93,82,76
422000,0,0.93,82,76
423000,0,0.93,82,76
424000,0,0.93,82,76
425000,0,0.93,82,76
426000,0,0.93,82,76
427000,0,0.93,82,76
428000,0,0.93,82,76
429000,0,0.93,82,76
430000,0,0.93,82,76
431000,0,0.93,82,76
432000,0,0.93,82,76
433000,0,0.93,82,76
434000,0,0.93,82,76
435000,0,0.93,82,76
436000,0,0.93,82,76
437000,0,0.93,82,76
438000,0,0.93,82,76
439000,0,0.93,82,76
440000,0,0.93,82,76
441000,0,0.93,82,76
442000,0,0.93,82,76
443000,0,0.93,82,76
444000,0,0.93,82,76
445000,0,0.93,82,76
446000,0,0.93,82,76
447000,0,0.93,82,76
448000,0,0.93,82,76
449000,0,0.93,82,76
450000,0,0.93,82,76
451000,0,0.93,82,76
452000,0,0.93,82,76
453000,0,0.93,82,76
454000,0,0.93,82,76
455000,0,0.93,82,76
456000,0,0.93,82,76
457000,0,0.93,82,76
458000,0,0.93,82,76
459000,0,0.93,82,76
460000,0,0.93,82,76
461000,0,0.93,82,76
462000,0,0.93,82,76
463000,0,0.93,82,76
464000,0,0.93,82,76
465000,0,0.93,82,76
466000,0,0.93,82,76
467000,0,0.93,82,76
468000,0,0.93,82,76
469000,0,0.93,82,76
470000,0,0.93,82,76
471000,0,0.93,82,76
472000,0,0.93,82,76
473000,0,0.93,82,76
474000,0,0.93,82,76
475000,0,0.93,82,76
476000,0,0.93,82,76
477000,0,0.93,82,76
478000,0,0.93,82,76
479000,0,0.93,82,76
480000,0,0.93,82,76
481000,0,0.93,82,76
482000,0,0.93,82,76
483000,0,0.93,82,76
484000,0,0.93,82,76
485000,0,0.93,82,76
486000,0,0.93,82,76
487000,0,0.93,82,76
488000,0,0.93,82,76
489000,0,0.93,82,76
490000,0,0.93,82,76
491000,0,0.93,82,76
492000,0,0.93,82,76
493000,0,0.93,82,76
494000,0,0.93,82,76
495000,0,0.93,82,76
496000,0,0.93,82,76
497000,0,0.93,82,76
498000,0,0.93,82,76
499000,0,0.93,82,76
500000,0,0.93,82,76
501000,0,0.93,82,76
502000,0,0.93,82,76
503000,0,0.93,82,76
504000,0,0.93,82,76
505000,0,0.93,82,76
506000,0,0.93,82,76
507000,0,0.93,82,76
508000,0,0.93,82,76
509000,0,0.93,82,76
510000,0,0.93,82,76
511000,0,0.93,82,76
512000,0,0.93,82,76
513000,0,0.93,82,76
514000,0,0.93,82,76
515000,0,0.93,82,76
516000,0,0.93,82,76
517000,0,0.93,82,76
518000,0,0.93,82,76
519000,0,0.93,82,76
520000,0,0.93,82,76
521000,0,0.93,82,76
522000,0,0.93,82,76
523000,0,0.93,82,76
524000,0,0.93,82,76
525000,0,0.93,82,76
526000,0,0.93,82,76
527000,0,0.93,82,76
528000,0,0.93,82,76
529000,0,0.93,82,76
530000,0,0.93,82,76
531000,0,0.93,82,76
532000,0,0.93,82,76
533000,0,0.93,82,76
534000,0,0.93,82,76
535000,0,0.93,82,76
536000,0,0.93,82,76
537000,0,0.93,82,76
538000,0,0.93,82,76
539000,0,0.93,82,76
540000,0,0.93,82,76
541000,0,0.93,82,76
542000,0,0.93,82,76
543000,0,0.93,82,76
544000,0,0.93,82,76
545000,0,0.93,82,76
546000,0,0.93,82,76
547000,0,0.93,82,76
548000,0,0.93,82,76
549000,0,0.93,82,76
550000,0,0.93,82,76
551000,0,0.93,82,76
552000,0,0.93,82,76
553000,0,0.93,82,76
554000,0,0.93,82,76
555000,0,0.93,82,76
556000,0,0.93,82,76
557000,0,0.93,82,76
558000,0,0.93,82,76
559000,0,0.93,82,76
560000,0,0.93,82,76
561000,0,0.93,82,76
562000,0,0.93,82,76
563000,0,0.93,82,76
564000,0,0.93,82,76
565000,0,0.93,82,76
566000,0,0.93,82,76
567000,0,0.93,82,76
568000,0,0.93,82,76
569000,0,0.93,82,76
570000,0,0.93,82,76
571000,0,0.93,82,76
572000,0,0.93,82,76
573000,0,0.93,82,76
574000,0,0.93,82,76
575000,0,0.93,82,76
576000,0,0.93,82,76
577000,0,0.93,82,76
578000,0,0.93,82,76
579000,0,0.93,82,76
580000,0,0.93,82,76
581000,0,0.93,82,76
582000,0,0.93,82,76
583000,0,0.93,82,76
584000,0,0.93,82,76
585000,0,0.93,82,76
586000,0,0.93,82,76
587000,0,0.93,82,76
588000,0,0.93,82,76
589000,0,0.93,82,76
590000,0,0.93,82,76
591000,0,0.93,82,76
592000,0,0.93,82,76
593000,0,0.93,82,76
594000,0,0.93,82,76
595000,0,0.93,82,76
596000,0,0.93,82,76
597000,0,0.93,82,76
598000,0,0.93,82,76
599000,0,0.93,82,76
600000,0,0.93,82,76
