time,running,percent,total,covered
1000,1,0.30,37,11
2000,1,0.46,37,17
3000,1,0.46,37,17
4000,1,0.46,37,17
5000,1,0.46,37,17
6000,1,0.46,37,17
7000,1,0.46,37,17
8000,1,0.46,37,17
9000,1,0.46,37,17
10000,1,0.46,37,17
11000,1,0.46,37,17
12000,1,0.46,37,17
13000,1,0.46,37,17
14000,1,0.46,37,17
15000,1,0.46,37,17
16000,1,0.46,37,17
17000,1,0.46,37,17
18000,1,0.46,37,17
19000,1,0.46,37,17
20000,1,0.46,37,17
21000,1,0.46,37,17
22000,1,0.46,37,17
23000,1,0.46,37,17
24000,1,0.46,37,17
25000,1,0.46,37,17
26000,1,0.46,37,17
27000,1,0.46,37,17
28000,1,0.46,37,17
29000,1,0.46,37,17
30000,1,0.46,37,17
31000,1,0.46,37,17
32000,1,0.46,37,17
33000,1,0.46,37,17
34000,1,0.46,37,17
35000,1,0.46,37,17
36000,1,0.46,37,17
37000,1,0.46,37,17
38000,1,0.46,37,17
39000,1,0.46,37,17
40000,1,0.46,37,17
41000,1,0.46,37,17
42000,1,0.46,37,17
43000,1,0.46,37,17
44000,1,0.46,37,17
45000,1,0.46,37,17
46000,1,0.46,37,17
47000,1,0.46,37,17
48000,1,0.46,37,17
49000,1,0.46,37,17
50000,1,0.46,37,17
51000,1,0.46,37,17
52000,1,0.46,37,17
53000,1,0.46,37,17
54000,1,0.46,37,17
55000,1,0.46,37,17
56000,1,0.46,37,17
57000,1,0.46,37,17
58000,1,0.46,37,17
59000,1,0.46,37,17
60000,1,0.46,37,17
61000,1,0.46,37,17
62000,1,0.46,37,17
63000,1,0.46,37,17
64000,1,0.46,37,17
65000,1,0.46,37,17
66000,1,0.46,37,17
67000,1,0.46,37,17
68000,1,0.46,37,17
69000,1,0.46,37,17
70000,1,0.46,37,17
71000,1,0.46,37,17
72000,1,0.46,37,17
73000,1,0.46,37,17
74000,1,0.46,37,17
75000,1,0.46,37,17
76000,1,0.46,37,17
77000,1,0.46,37,17
78000,1,0.46,37,17
79000,1,0.46,37,17
80000,1,0.46,37,17
81000,1,0.46,37,17
82000,1,0.46,37,17
83000,1,0.46,37,17
84000,1,0.46,37,17
85000,1,0.46,37,17
86000,1,0.46,37,17
87000,1,0.46,37,17
88000,1,0.46,37,17
89000,1,0.46,37,17
90000,1,0.46,37,17
91000,1,0.46,37,17
92000,1,0.46,37,17
93000,1,0.46,37,17
94000,1,0.46,37,17
95000,1,0.46,37,17
96000,1,0.46,37,17
97000,1,0.46,37,17
98000,1,0.46,37,17
99000,1,0.46,37,17
100000,1,0.46,37,17
101000,1,0.46,37,17
102000,1,0.46,37,17
103000,1,0.46,37,17
104000,1,0.46,37,17
105000,1,0.46,37,17
106000,1,0.46,37,17
107000,1,0.46,37,17
108000,1,0.46,37,17
109000,1,0.46,37,17
110000,1,0.46,37,17
111000,1,0.46,37,17
112000,1,0.46,37,17
113000,1,0.46,37,17
114000,1,0.46,37,17
115000,1,0.46,37,17
116000,1,0.46,37,17
117000,1,0.46,37,17
118000,1,0.46,37,17
119000,1,0.46,37,17
120000,1,0.46,37,17
121000,1,0.46,37,17
122000,1,0.46,37,17
123000,1,0.46,37,17
124000,1,0.46,37,17
125000,1,0.46,37,17
126000,1,0.46,37,17
127000,1,0.46,37,17
128000,1,0.46,37,17
129000,1,0.46,37,17
130000,1,0.46,37,17
131000,1,0.46,37,17
132000,1,0.46,37,17
133000,1,0.46,37,17
134000,1,0.46,37,17
135000,1,0.46,37,17
136000,1,0.46,37,17
137000,1,0.46,37,17
138000,1,0.46,37,17
139000,1,0.46,37,17
140000,1,0.46,37,17
141000,1,0.46,37,17
142000,1,0.46,37,17
143000,1,0.46,37,17
144000,1,0.46,37,17
145000,1,0.46,37,17
146000,1,0.46,37,17
147000,1,0.46,37,17
148000,1,0.46,37,17
149000,1,0.46,37,17
150000,1,0.46,37,17
151000,1,0.46,37,17
152000,1,0.46,37,17
153000,1,0.46,37,17
154000,1,0.46,37,17
155000,1,0.46,37,17
156000,1,0.46,37,17
157000,1,0.46,37,17
158000,1,0.46,37,17
159000,1,0.46,37,17
160000,1,0.46,37,17
161000,1,0.46,37,17
162000,1,0.46,37,17
163000,1,0.46,37,17
164000,1,0.46,37,17
165000,1,0.46,37,17
166000,1,0.46,37,17
167000,1,0.46,37,17
168000,1,0.46,37,17
169000,1,0.46,37,17
170000,1,0.46,37,17
171000,1,0.46,37,17
172000,1,0.46,37,17
173000,1,0.46,37,17
174000,1,0.46,37,17
175000,1,0.46,37,17
176000,1,0.46,37,17
177000,1,0.46,37,17
178000,1,0.46,37,17
179000,1,0.46,37,17
180000,1,0.46,37,17
181000,1,0.46,37,17
182000,1,0.46,37,17
183000,1,0.46,37,17
184000,1,0.46,37,17
185000,1,0.46,37,17
186000,1,0.46,37,17
187000,1,0.46,37,17
188000,1,0.46,37,17
189000,1,0.46,37,17
190000,1,0.46,37,17
191000,1,0.46,37,17
192000,1,0.46,37,17
193000,1,0.46,37,17
194000,1,0.46,37,17
195000,1,0.46,37,17
196000,1,0.46,37,17
197000,1,0.46,37,17
198000,1,0.46,37,17
199000,1,0.46,37,17
200000,1,0.46,37,17
201000,1,0.46,37,17
202000,1,0.46,37,17
203000,1,0.46,37,17
204000,1,0.46,37,17
205000,1,0.46,37,17
206000,1,0.46,37,17
207000,1,0.46,37,17
208000,1,0.46,37,17
209000,1,0.46,37,17
210000,1,0.46,37,17
211000,1,0.46,37,17
212000,1,0.46,37,17
213000,1,0.46,37,17
214000,1,0.46,37,17
215000,1,0.46,37,17
216000,1,0.46,37,17
217000,1,0.46,37,17
218000,1,0.46,37,17
219000,1,0.46,37,17
220000,1,0.46,37,17
221000,1,0.46,37,17
222000,1,0.46,37,17
223000,1,0.46,37,17
224000,1,0.46,37,17
225000,1,0.46,37,17
226000,1,0.46,37,17
227000,1,0.46,37,17
228000,1,0.46,37,17
229000,1,0.46,37,17
230000,1,0.46,37,17
231000,1,0.46,37,17
232000,1,0.46,37,17
233000,1,0.46,37,17
234000,1,0.46,37,17
235000,1,0.46,37,17
236000,1,0.46,37,17
237000,1,0.46,37,17
238000,1,0.46,37,17
239000,1,0.46,37,17
240000,1,0.46,37,17
241000,1,0.46,37,17
242000,1,0.46,37,17
243000,1,0.46,37,17
244000,1,0.46,37,17
245000,1,0.46,37,17
246000,1,0.46,37,17
247000,1,0.46,37,17
248000,1,0.46,37,17
249000,1,0.46,37,17
250000,1,0.46,37,17
251000,1,0.46,37,17
252000,1,0.46,37,17
253000,1,0.46,37,17
254000,1,0.46,37,17
255000,1,0.46,37,17
256000,1,0.46,37,17
257000,1,0.46,37,17
258000,1,0.46,37,17
259000,1,0.46,37,17
260000,1,0.46,37,17
261000,1,0.46,37,17
262000,1,0.46,37,17
263000,1,0.46,37,17
264000,1,0.46,37,17
265000,1,0.46,37,17
266000,1,0.46,37,17
267000,1,0.46,37,17
268000,1,0.46,37,17
269000,1,0.46,37,17
270000,1,0.46,37,17
271000,1,0.46,37,17
272000,1,0.46,37,17
273000,1,0.46,37,17
274000,1,0.46,37,17
275000,1,0.46,37,17
276000,1,0.46,37,17
277000,1,0.46,37,17
278000,1,0.46,37,17
279000,1,0.46,37,17
280000,1,0.46,37,17
281000,1,0.46,37,17
282000,1,0.46,37,17
283000,1,0.46,37,17
284000,1,0.46,37,17
285000,1,0.46,37,17
286000,1,0.46,37,17
287000,1,0.46,37,17
288000,1,0.46,37,17
289000,1,0.46,37,17
290000,1,0.46,37,17
291000,1,0.46,37,17
292000,1,0.46,37,17
293000,1,0.46,37,17
294000,1,0.46,37,17
295000,1,0.46,37,17
296000,1,0.46,37,17
297000,1,0.46,37,17
298000,1,0.46,37,17
299000,1,0.46,37,17
300000,1,0.46,37,17
301000,1,0.46,37,17
302000,1,0.46,37,17
303000,1,0.46,37,17
304000,1,0.46,37,17
305000,1,0.46,37,17
306000,1,0.46,37,17
307000,1,0.46,37,17
308000,1,0.46,37,17
309000,1,0.46,37,17
310000,1,0.46,37,17
311000,1,0.46,37,17
312000,1,0.46,37,17
313000,1,0.46,37,17
314000,1,0.46,37,17
315000,1,0.46,37,17
316000,1,0.46,37,17
317000,1,0.46,37,17
318000,1,0.46,37,17
319000,1,0.46,37,17
320000,1,0.46,37,17
321000,1,0.46,37,17
322000,1,0.46,37,17
323000,1,0.46,37,17
324000,1,0.46,37,17
325000,1,0.46,37,17
326000,1,0.46,37,17
327000,1,0.46,37,17
328000,1,0.46,37,17
329000,1,0.46,37,17
330000,1,0.46,37,17
331000,1,0.46,37,17
332000,1,0.46,37,17
333000,1,0.46,37,17
334000,1,0.46,37,17
335000,1,0.46,37,17
336000,1,0.46,37,17
337000,1,0.46,37,17
338000,1,0.46,37,17
339000,1,0.46,37,17
340000,1,0.46,37,17
341000,1,0.46,37,17
342000,1,0.46,37,17
343000,1,0.46,37,17
344000,1,0.46,37,17
345000,1,0.46,37,17
346000,1,0.46,37,17
347000,1,0.46,37,17
348000,1,0.46,37,17
349000,1,0.46,37,17
350000,1,0.46,37,17
351000,1,0.46,37,17
352000,1,0.46,37,17
353000,1,0.46,37,17
354000,1,0.46,37,17
355000,1,0.46,37,17
356000,1,0.46,37,17
357000,1,0.46,37,17
358000,1,0.46,37,17
359000,1,0.46,37,17
360000,1,0.46,37,17
361000,1,0.46,37,17
362000,1,0.46,37,17
363000,1,0.46,37,17
364000,1,0.46,37,17
365000,1,0.46,37,17
366000,1,0.46,37,17
367000,1,0.46,37,17
368000,1,0.46,37,17
369000,1,0.46,37,17
370000,1,0.46,37,17
371000,1,0.46,37,17
372000,1,0.46,37,17
373000,1,0.46,37,17
374000,1,0.46,37,17
375000,1,0.46,37,17
376000,1,0.46,37,17
377000,1,0.46,37,17
378000,1,0.46,37,17
379000,1,0.46,37,17
380000,1,0.46,37,17
381000,1,0.46,37,17
382000,1,0.46,37,17
383000,1,0.46,37,17
384000,1,0.46,37,17
385000,1,0.46,37,17
386000,1,0.46,37,17
387000,1,0.46,37,17
388000,1,0.46,37,17
389000,1,0.46,37,17
390000,1,0.46,37,17
391000,1,0.46,37,17
392000,1,0.46,37,17
393000,1,0.46,37,17
394000,1,0.46,37,17
395000,1,0.46,37,17
396000,1,0.46,37,17
397000,1,0.46,37,17
398000,1,0.46,37,17
399000,1,0.46,37,17
400000,1,0.46,37,17
401000,1,0.46,37,17
402000,1,0.46,37,17
403000,1,0.46,37,17
404000,1,0.46,37,17
405000,1,0.46,37,17
406000,1,0.46,37,17
407000,1,0.46,37,17
408000,1,0.46,37,17
409000,1,0.46,37,17
410000,1,0.46,37,17
411000,1,0.46,37,17
412000,1,0.46,37,17
413000,1,0.46,37,17
414000,1,0.46,37,17
415000,1,0.46,37,17
416000,1,0.46,37,17
417000,1,0.46,37,17
418000,1,0.46,37,17
419000,1,0.46,37,17
420000,1,0.46,37,17
421000,1,0.46,37,17
422000,1,0.46,37,17
423000,1,0.46,37,17
424000,1,0.46,37,17
425000,1,0.46,37,17
426000,1,0.46,37,17
427000,1,0.46,37,17
428000,1,0.46,37,17
429000,1,0.46,37,17
430000,1,0.46,37,17
431000,1,0.46,37,17
432000,1,0.46,37,17
433000,1,0.46,37,17
434000,1,0.46,37,17
435000,1,0.46,37,17
436000,1,0.46,37,17
437000,1,0.46,37,17
438000,1,0.46,37,17
439000,1,0.46,37,17
440000,1,0.46,37,17
441000,1,0.46,37,17
442000,1,0.46,37,17
443000,1,0.46,37,17
444000,1,0.46,37,17
445000,1,0.46,37,17
446000,1,0.46,37,17
447000,1,0.46,37,17
448000,1,0.46,37,17
449000,1,0.46,37,17
450000,1,0.46,37,17
451000,1,0.46,37,17
452000,1,0.46,37,17
453000,1,0.46,37,17
454000,1,0.46,37,17
455000,1,0.46,37,17
456000,1,0.46,37,17
457000,1,0.46,37,17
458000,1,0.46,37,17
459000,1,0.46,37,17
460000,1,0.46,37,17
461000,1,0.46,37,17
462000,1,0.46,37,17
463000,1,0.46,37,17
464000,1,0.46,37,17
465000,1,0.46,37,17
466000,1,0.46,37,17
467000,1,0.46,37,17
468000,1,0.46,37,17
469000,1,0.46,37,17
470000,1,0.46,37,17
471000,1,0.46,37,17
472000,1,0.46,37,17
473000,1,0.46,37,17
474000,1,0.46,37,17
475000,1,0.46,37,17
476000,1,0.46,37,17
477000,1,0.46,37,17
478000,1,0.46,37,17
479000,1,0.46,37,17
480000,1,0.46,37,17
481000,1,0.46,37,17
482000,1,0.46,37,17
483000,1,0.46,37,17
484000,1,0.46,37,17
485000,1,0.46,37,17
486000,1,0.46,37,17
487000,1,0.46,37,17
488000,1,0.46,37,17
489000,1,0.46,37,17
490000,1,0.46,37,17
491000,1,0.46,37,17
492000,1,0.46,37,17
493000,1,0.46,37,17
494000,1,0.46,37,17
495000,1,0.46,37,17
496000,1,0.46,37,17
497000,1,0.46,37,17
498000,1,0.46,37,17
499000,1,0.46,37,17
500000,1,0.46,37,17
501000,1,0.46,37,17
502000,1,0.46,37,17
503000,1,0.46,37,17
504000,1,0.46,37,17
505000,1,0.46,37,17
506000,1,0.46,37,17
507000,1,0.46,37,17
508000,1,0.46,37,17
509000,1,0.46,37,17
510000,1,0.46,37,17
511000,1,0.46,37,17
512000,1,0.46,37,17
513000,1,0.46,37,17
514000,1,0.46,37,17
515000,1,0.46,37,17
516000,1,0.46,37,17
517000,1,0.46,37,17
518000,1,0.46,37,17
519000,1,0.46,37,17
520000,1,0.46,37,17
521000,1,0.46,37,17
522000,1,0.46,37,17
523000,1,0.46,37,17
524000,1,0.46,37,17
525000,1,0.46,37,17
526000,1,0.46,37,17
527000,1,0.46,37,17
528000,1,0.46,37,17
529000,1,0.46,37,17
530000,1,0.46,37,17
531000,1,0.46,37,17
532000,1,0.46,37,17
533000,1,0.46,37,17
534000,1,0.46,37,17
535000,1,0.46,37,17
536000,1,0.46,37,17
537000,1,0.46,37,17
538000,1,0.46,37,17
539000,1,0.46,37,17
540000,1,0.46,37,17
541000,1,0.46,37,17
542000,1,0.46,37,17
543000,1,0.46,37,17
544000,1,0.46,37,17
545000,1,0.46,37,17
546000,1,0.46,37,17
547000,1,0.46,37,17
548000,1,0.46,37,17
549000,1,0.46,37,17
550000,1,0.46,37,17
551000,1,0.46,37,17
552000,1,0.46,37,17
553000,1,0.46,37,17
554000,1,0.46,37,17
555000,1,0.46,37,17
556000,1,0.46,37,17
557000,1,0.46,37,17
558000,1,0.46,37,17
559000,1,0.46,37,17
560000,1,0.46,37,17
561000,1,0.46,37,17
562000,1,0.46,37,17
563000,1,0.46,37,17
564000,1,0.46,37,17
565000,1,0.46,37,17
566000,1,0.46,37,17
567000,1,0.46,37,17
568000,1,0.46,37,17
569000,1,0.46,37,17
570000,1,0.46,37,17
571000,1,0.46,37,17
572000,1,0.46,37,17
573000,1,0.46,37,17
574000,1,0.46,37,17
575000,1,0.46,37,17
576000,1,0.46,37,17
577000,1,0.46,37,17
578000,1,0.46,37,17
579000,1,0.46,37,17
580000,1,0.46,37,17
581000,1,0.46,37,17
582000,1,0.46,37,17
583000,1,0.46,37,17
584000,1,0.46,37,17
585000,1,0.46,37,17
586000,1,0.46,37,17
587000,1,0.46,37,17
588000,1,0.46,37,17
589000,1,0.46,37,17
590000,1,0.46,37,17
591000,1,0.46,37,17
592000,1,0.46,37,17
593000,1,0.46,37,17
594000,1,0.46,37,17
595000,1,0.46,37,17
596000,1,0.46,37,17
597000,1,0.46,37,17
598000,1,0.46,37,17
599000,1,0.46,37,17
600000,1,0.46,37,17
