time,running,percent,total,covered
1000,1,0.75,68,51
2000,1,0.76,68,52
3000,1,0.76,68,52
4000,1,0.76,68,52
5000,1,0.76,68,52
6000,1,0.76,68,52
7000,1,0.76,68,52
8000,1,0.76,68,52
9000,1,0.76,68,52
10000,1,0.76,68,52
11000,1,0.76,68,52
12000,1,0.76,68,52
13000,1,0.76,68,52
14000,1,0.76,68,52
15000,1,0.76,68,52
16000,1,0.76,68,52
17000,1,0.76,68,52
18000,1,0.76,68,52
19000,1,0.76,68,52
20000,1,0.76,68,52
21000,1,0.76,68,52
22000,1,0.76,68,52
23000,1,0.76,68,52
24000,1,0.76,68,52
25000,1,0.76,68,52
26000,1,0.76,68,52
27000,1,0.76,68,52
28000,1,0.76,68,52
29000,1,0.76,68,52
30000,1,0.76,68,52
31000,1,0.76,68,52
32000,1,0.76,68,52
33000,1,0.76,68,52
34000,1,0.76,68,52
35000,1,0.76,68,52
36000,1,0.76,68,52
37000,1,0.76,68,52
38000,1,0.76,68,52
39000,1,0.76,68,52
40000,1,0.76,68,52
41000,1,0.76,68,52
42000,1,0.76,68,52
43000,1,0.76,68,52
44000,1,0.76,68,52
45000,1,0.76,68,52
46000,1,0.76,68,52
47000,1,0.76,68,52
48000,1,0.76,68,52
49000,1,0.76,68,52
50000,1,0.76,68,52
51000,1,0.76,68,52
52000,1,0.76,68,52
53000,1,0.76,68,52
54000,1,0.76,68,52
55000,1,0.76,68,52
56000,1,0.76,68,52
57000,1,0.76,68,52
58000,1,0.76,68,52
59000,1,0.76,68,52
60000,1,0.76,68,52
61000,1,0.76,68,52
62000,1,0.76,68,52
63000,1,0.76,68,52
64000,1,0.76,68,52
65000,1,0.76,68,52
66000,1,0.76,68,52
67000,1,0.76,68,52
68000,1,0.76,68,52
69000,1,0.76,68,52
70000,1,0.76,68,52
71000,1,0.76,68,52
72000,1,0.76,68,52
73000,1,0.76,68,52
74000,1,0.76,68,52
75000,1,0.78,68,53
76000,0,0.78,68,53
77000,0,0.78,68,53
78000,0,0.78,68,53
79000,0,0.78,68,53
80000,0,0.78,68,53
81000,0,0.78,68,53
82000,0,0.78,68,53
83000,0,0.78,68,53
84000,0,0.78,68,53
85000,0,0.78,68,53
86000,0,0.78,68,53
87000,0,0.78,68,53
88000,0,0.78,68,53
89000,0,0.78,68,53
90000,0,0.78,68,53
91000,0,0.78,68,53
92000,0,0.78,68,53
93000,0,0.78,68,53
94000,0,0.78,68,53
95000,0,0.78,68,53
96000,0,0.78,68,53
97000,0,0.78,68,53
98000,0,0.78,68,53
99000,0,0.78,68,53
100000,0,0.78,68,53
101000,0,0.78,68,53
102000,0,0.78,68,53
103000,0,0.78,68,53
104000,0,0.78,68,53
105000,0,0.78,68,53
106000,0,0.78,68,53
107000,0,0.78,68,53
108000,0,0.78,68,53
109000,0,0.78,68,53
110000,0,0.78,68,53
111000,0,0.78,68,53
112000,0,0.78,68,53
113000,0,0.78,68,53
114000,0,0.78,68,53
115000,0,0.78,68,53
116000,0,0.78,68,53
117000,0,0.78,68,53
118000,0,0.78,68,53
119000,0,0.78,68,53
120000,0,0.78,68,53
121000,0,0.78,68,53
122000,0,0.78,68,53
123000,0,0.78,68,53
124000,0,0.78,68,53
125000,0,0.78,68,53
126000,0,0.78,68,53
127000,0,0.78,68,53
128000,0,0.78,68,53
129000,0,0.78,68,53
130000,0,0.78,68,53
131000,0,0.78,68,53
132000,0,0.78,68,53
133000,0,0.78,68,53
134000,0,0.78,68,53
135000,0,0.78,68,53
136000,0,0.78,68,53
137000,0,0.78,68,53
138000,0,0.78,68,53
139000,0,0.78,68,53
140000,0,0.78,68,53
141000,0,0.78,68,53
142000,0,0.78,68,53
143000,0,0.78,68,53
144000,0,0.78,68,53
145000,0,0.78,68,53
146000,0,0.78,68,53
147000,0,0.78,68,53
148000,0,0.78,68,53
149000,0,0.78,68,53
150000,0,0.78,68,53
151000,0,0.78,68,53
152000,0,0.78,68,53
153000,0,0.78,68,53
154000,0,0.78,68,53
155000,0,0.78,68,53
156000,0,0.78,68,53
157000,0,0.78,68,53
158000,0,0.78,68,53
159000,0,0.78,68,53
160000,0,0.78,68,53
161000,0,0.78,68,53
162000,0,0.78,68,53
163000,0,0.78,68,53
164000,0,0.78,68,53
165000,0,0.78,68,53
166000,0,0.78,68,53
167000,0,0.78,68,53
168000,0,0.78,68,53
169000,0,0.78,68,53
