time,running,percent,total,covered
1000,1,0.52,21,11
2000,1,0.52,21,11
3000,1,0.76,21,16
4000,1,0.76,21,16
5000,1,0.81,21,17
6000,1,0.81,21,17
7000,1,0.86,21,18
8000,1,0.86,21,18
9000,1,0.86,21,18
10000,1,0.86,21,18
11000,1,0.86,21,18
12000,1,0.86,21,18
13000,1,0.86,21,18
14000,1,0.86,21,18
15000,1,0.86,21,18
16000,1,0.90,21,19
17000,1,0.90,21,19
18000,1,0.90,21,19
19000,1,0.90,21,19
20000,1,0.90,21,19
21000,1,0.90,21,19
22000,1,0.90,21,19
23000,1,0.90,21,19
24000,1,0.90,21,19
25000,1,0.90,21,19
26000,1,0.90,21,19
27000,1,0.90,21,19
28000,1,0.90,21,19
29000,1,0.90,21,19
30000,1,0.90,21,19
31000,1,0.90,21,19
32000,1,0.90,21,19
33000,1,0.90,21,19
34000,1,0.90,21,19
35000,1,0.90,21,19
36000,1,0.90,21,19
37000,1,0.90,21,19
38000,1,0.90,21,19
39000,1,0.90,21,19
40000,1,0.90,21,19
41000,1,0.90,21,19
42000,1,0.90,21,19
43000,1,0.90,21,19
44000,1,0.90,21,19
45000,1,0.90,21,19
46000,1,0.90,21,19
47000,1,0.90,21,19
48000,1,0.90,21,19
49000,1,0.90,21,19
50000,1,0.90,21,19
51000,1,0.90,21,19
52000,1,0.90,21,19
53000,1,0.90,21,19
54000,1,0.90,21,19
55000,1,0.90,21,19
56000,1,0.90,21,19
57000,1,0.90,21,19
58000,1,0.90,21,19
59000,1,0.90,21,19
60000,1,0.90,21,19
61000,1,0.90,21,19
62000,1,0.90,21,19
63000,1,0.90,21,19
64000,1,0.90,21,19
65000,1,0.90,21,19
66000,1,0.90,21,19
67000,1,0.90,21,19
68000,1,0.90,21,19
69000,1,0.90,21,19
70000,1,0.90,21,19
71000,1,0.90,21,19
72000,1,0.90,21,19
73000,1,0.90,21,19
74000,1,0.90,21,19
75000,1,0.90,21,19
76000,1,0.90,21,19
77000,1,0.90,21,19
78000,1,0.90,21,19
79000,1,0.90,21,19
80000,1,0.90,21,19
81000,1,0.90,21,19
82000,1,0.90,21,19
83000,1,0.90,21,19
84000,1,0.90,21,19
85000,1,0.90,21,19
86000,1,0.90,21,19
87000,1,0.90,21,19
88000,1,0.90,21,19
89000,1,0.90,21,19
90000,1,0.90,21,19
91000,1,0.90,21,19
92000,1,0.90,21,19
93000,1,0.90,21,19
94000,1,0.90,21,19
95000,1,0.90,21,19
96000,1,0.90,21,19
97000,1,0.90,21,19
98000,1,0.90,21,19
99000,1,0.90,21,19
100000,1,0.90,21,19
101000,1,0.90,21,19
102000,1,0.90,21,19
103000,1,0.90,21,19
104000,1,0.90,21,19
105000,1,0.90,21,19
106000,1,0.90,21,19
107000,1,0.90,21,19
108000,1,0.90,21,19
109000,1,0.90,21,19
110000,1,0.90,21,19
111000,1,0.90,21,19
112000,1,0.90,21,19
113000,1,0.90,21,19
114000,1,0.90,21,19
115000,1,0.90,21,19
116000,1,0.90,21,19
117000,1,0.90,21,19
118000,1,0.90,21,19
119000,1,0.90,21,19
120000,1,0.90,21,19
121000,1,0.90,21,19
122000,1,0.90,21,19
123000,1,0.90,21,19
124000,1,0.90,21,19
125000,1,0.90,21,19
126000,1,0.90,21,19
127000,1,0.90,21,19
128000,1,0.90,21,19
129000,1,0.90,21,19
130000,1,0.90,21,19
131000,1,0.90,21,19
132000,1,0.90,21,19
133000,1,0.90,21,19
134000,1,0.90,21,19
135000,1,0.90,21,19
136000,1,0.90,21,19
137000,1,0.90,21,19
138000,1,0.90,21,19
139000,1,0.90,21,19
140000,1,0.90,21,19
141000,1,0.90,21,19
142000,1,0.90,21,19
143000,1,0.90,21,19
144000,1,0.90,21,19
145000,1,0.90,21,19
146000,1,0.90,21,19
147000,1,0.90,21,19
148000,1,0.90,21,19
149000,1,0.90,21,19
150000,1,0.90,21,19
151000,1,0.90,21,19
152000,1,0.90,21,19
153000,1,0.90,21,19
154000,1,0.90,21,19
155000,1,0.90,21,19
156000,1,0.90,21,19
157000,1,0.90,21,19
158000,1,0.90,21,19
159000,1,0.90,21,19
160000,1,0.90,21,19
161000,1,0.90,21,19
162000,1,0.90,21,19
163000,1,0.90,21,19
164000,1,0.90,21,19
