time,running,percent,total,covered
1000,1,0.40,78,31
2000,1,0.54,78,42
3000,1,0.54,78,42
4000,1,0.71,78,55
5000,1,0.74,78,58
6000,1,0.74,78,58
7000,1,0.74,78,58
8000,1,0.74,78,58
9000,1,0.74,78,58
10000,1,0.74,78,58
11000,1,0.77,78,60
12000,1,0.81,78,63
13000,1,0.81,78,63
14000,1,0.81,78,63
15000,1,0.81,78,63
16000,1,0.81,78,63
17000,1,0.81,78,63
18000,1,0.83,78,65
19000,1,0.87,78,68
20000,1,0.87,78,68
21000,1,0.87,78,68
22000,1,0.87,78,68
23000,1,0.87,78,68
24000,1,0.87,78,68
25000,1,0.88,78,69
26000,1,0.88,78,69
27000,1,0.88,78,69
28000,1,0.95,78,74
29000,1,0.95,78,74
30000,1,0.95,78,74
31000,1,0.95,78,74
32000,1,0.95,78,74
33000,1,0.95,78,74
34000,1,0.95,78,74
35000,1,0.95,78,74
36000,1,0.95,78,74
37000,1,0.95,78,74
38000,1,0.95,78,74
39000,1,0.95,78,74
40000,1,0.95,78,74
41000,1,0.95,78,74
42000,1,0.95,78,74
43000,1,0.95,78,74
44000,1,0.95,78,74
45000,1,0.95,78,74
46000,1,0.95,78,74
47000,1,0.95,78,74
48000,1,0.95,78,74
49000,1,0.95,78,74
50000,1,0.95,78,74
51000,1,0.95,78,74
52000,1,0.95,78,74
53000,1,0.95,78,74
54000,1,0.95,78,74
55000,1,0.95,78,74
56000,1,0.95,78,74
57000,1,0.95,78,74
58000,1,0.95,78,74
59000,1,0.95,78,74
60000,1,0.95,78,74
61000,1,0.95,78,74
62000,1,0.95,78,74
63000,1,0.95,78,74
64000,1,0.95,78,74
65000,1,0.95,78,74
66000,1,0.95,78,74
67000,1,0.95,78,74
68000,1,0.95,78,74
69000,1,0.95,78,74
70000,1,0.95,78,74
71000,1,0.95,78,74
72000,1,0.95,78,74
73000,1,0.95,78,74
74000,1,0.95,78,74
75000,1,0.95,78,74
76000,1,0.95,78,74
77000,1,0.95,78,74
78000,1,0.95,78,74
79000,1,0.95,78,74
80000,1,0.95,78,74
81000,1,0.95,78,74
82000,1,0.95,78,74
83000,1,0.95,78,74
84000,1,0.95,78,74
85000,1,0.95,78,74
86000,1,0.95,78,74
87000,1,0.95,78,74
88000,1,0.95,78,74
89000,1,0.95,78,74
90000,1,0.95,78,74
91000,1,0.95,78,74
92000,1,0.95,78,74
93000,1,0.95,78,74
94000,1,0.95,78,74
95000,1,0.95,78,74
96000,1,0.95,78,74
97000,1,0.95,78,74
98000,1,0.95,78,74
99000,1,0.95,78,74
100000,1,0.95,78,74
101000,1,0.95,78,74
102000,1,0.95,78,74
103000,1,0.95,78,74
104000,1,0.95,78,74
105000,1,0.95,78,74
106000,1,0.95,78,74
107000,1,0.95,78,74
108000,1,0.95,78,74
109000,1,0.95,78,74
110000,1,0.95,78,74
111000,1,0.95,78,74
112000,1,0.95,78,74
113000,1,0.95,78,74
114000,1,0.95,78,74
115000,1,0.95,78,74
116000,1,0.95,78,74
117000,1,0.95,78,74
118000,1,0.95,78,74
119000,1,0.95,78,74
120000,1,0.95,78,74
121000,1,0.95,78,74
122000,1,0.95,78,74
123000,1,0.95,78,74
124000,1,0.95,78,74
125000,1,0.95,78,74
126000,1,0.95,78,74
127000,1,0.95,78,74
128000,1,0.95,78,74
129000,1,0.95,78,74
130000,1,0.95,78,74
131000,1,0.95,78,74
132000,1,0.95,78,74
133000,1,0.95,78,74
134000,1,0.95,78,74
135000,1,0.95,78,74
136000,1,0.95,78,74
137000,1,0.95,78,74
138000,1,0.95,78,74
139000,1,0.95,78,74
140000,1,0.95,78,74
141000,1,0.95,78,74
142000,1,0.95,78,74
143000,1,0.95,78,74
144000,1,0.95,78,74
145000,1,0.95,78,74
146000,1,0.95,78,74
147000,1,0.95,78,74
148000,1,0.95,78,74
149000,1,0.95,78,74
150000,1,0.95,78,74
151000,1,0.95,78,74
152000,1,0.95,78,74
153000,1,0.95,78,74
154000,1,0.95,78,74
155000,1,0.95,78,74
156000,1,0.95,78,74
157000,1,0.95,78,74
158000,1,0.95,78,74
159000,1,0.95,78,74
160000,1,0.95,78,74
161000,1,0.95,78,74
162000,1,0.95,78,74
163000,1,0.95,78,74
164000,1,0.95,78,74
165000,1,0.95,78,74
166000,1,0.95,78,74
167000,1,0.95,78,74
168000,1,0.95,78,74
169000,1,0.95,78,74
170000,1,0.95,78,74
171000,1,0.95,78,74
172000,1,0.95,78,74
173000,1,0.95,78,74
174000,1,0.95,78,74
175000,1,0.95,78,74
176000,1,0.95,78,74
177000,1,0.95,78,74
178000,1,0.95,78,74
179000,1,0.95,78,74
180000,1,0.95,78,74
181000,1,0.95,78,74
182000,1,0.95,78,74
183000,1,0.95,78,74
184000,1,0.95,78,74
185000,1,0.95,78,74
186000,1,0.95,78,74
187000,1,0.95,78,74
188000,1,0.95,78,74
189000,1,0.95,78,74
190000,1,0.95,78,74
191000,1,0.95,78,74
192000,1,0.95,78,74
193000,1,0.95,78,74
194000,1,0.95,78,74
195000,1,0.95,78,74
196000,1,0.95,78,74
197000,1,0.95,78,74
198000,1,0.95,78,74
199000,1,0.95,78,74
200000,1,0.95,78,74
201000,1,0.95,78,74
202000,1,0.95,78,74
203000,1,0.95,78,74
204000,1,0.95,78,74
205000,1,0.95,78,74
206000,1,0.95,78,74
207000,1,0.95,78,74
208000,1,0.95,78,74
209000,1,0.95,78,74
210000,1,0.95,78,74
211000,1,0.95,78,74
212000,1,0.95,78,74
213000,1,0.95,78,74
214000,1,0.95,78,74
215000,1,0.95,78,74
216000,1,0.95,78,74
217000,1,0.95,78,74
218000,1,0.95,78,74
219000,1,0.95,78,74
220000,1,0.95,78,74
221000,1,0.95,78,74
222000,1,0.95,78,74
223000,1,0.95,78,74
224000,1,0.95,78,74
225000,1,0.95,78,74
226000,1,0.95,78,74
227000,1,0.95,78,74
228000,1,0.95,78,74
229000,1,0.95,78,74
230000,1,0.95,78,74
231000,1,0.95,78,74
232000,1,0.95,78,74
233000,1,0.95,78,74
234000,1,0.95,78,74
235000,1,0.95,78,74
236000,1,0.95,78,74
237000,1,0.95,78,74
238000,1,0.95,78,74
239000,1,0.95,78,74
240000,1,0.95,78,74
241000,1,0.95,78,74
242000,1,0.95,78,74
243000,1,0.95,78,74
244000,1,0.95,78,74
245000,1,0.95,78,74
246000,1,0.95,78,74
247000,1,0.95,78,74
248000,1,0.95,78,74
249000,1,0.95,78,74
250000,1,0.95,78,74
251000,1,0.95,78,74
252000,1,0.95,78,74
253000,1,0.95,78,74
254000,1,0.95,78,74
255000,1,0.95,78,74
256000,1,0.95,78,74
257000,1,0.95,78,74
258000,1,0.95,78,74
259000,1,0.95,78,74
260000,1,0.95,78,74
261000,1,0.95,78,74
262000,1,0.95,78,74
263000,1,0.95,78,74
264000,1,0.95,78,74
265000,1,0.95,78,74
266000,1,0.95,78,74
267000,1,0.95,78,74
268000,1,0.95,78,74
269000,1,0.95,78,74
270000,1,0.95,78,74
271000,1,0.95,78,74
272000,1,0.95,78,74
273000,1,0.95,78,74
274000,1,0.95,78,74
275000,1,0.95,78,74
276000,1,0.95,78,74
277000,1,0.95,78,74
278000,1,0.95,78,74
279000,1,0.95,78,74
280000,1,0.95,78,74
281000,1,0.95,78,74
282000,1,0.95,78,74
283000,1,0.95,78,74
284000,1,0.95,78,74
285000,1,0.95,78,74
286000,1,0.95,78,74
287000,1,0.95,78,74
288000,1,0.95,78,74
289000,1,0.95,78,74
290000,1,0.95,78,74
291000,1,0.95,78,74
292000,1,0.95,78,74
293000,1,0.95,78,74
294000,1,0.95,78,74
295000,1,0.95,78,74
296000,1,0.95,78,74
297000,1,0.95,78,74
298000,1,0.95,78,74
299000,1,0.95,78,74
300000,1,0.95,78,74
301000,1,0.95,78,74
302000,1,0.95,78,74
303000,1,0.95,78,74
304000,1,0.95,78,74
305000,1,0.95,78,74
306000,1,0.95,78,74
307000,1,0.95,78,74
308000,1,0.95,78,74
309000,1,0.95,78,74
310000,1,0.95,78,74
311000,1,0.95,78,74
312000,1,0.95,78,74
313000,1,0.95,78,74
314000,1,0.95,78,74
315000,1,0.95,78,74
316000,1,0.95,78,74
317000,1,0.95,78,74
318000,1,0.95,78,74
319000,1,0.95,78,74
320000,1,0.95,78,74
321000,1,0.95,78,74
322000,1,0.95,78,74
323000,1,0.95,78,74
324000,1,0.95,78,74
325000,1,0.95,78,74
326000,1,0.95,78,74
327000,1,0.95,78,74
328000,1,0.95,78,74
329000,1,0.95,78,74
330000,1,0.95,78,74
331000,1,0.95,78,74
332000,1,0.95,78,74
333000,1,0.95,78,74
334000,1,0.95,78,74
335000,1,0.95,78,74
336000,1,0.95,78,74
337000,1,0.95,78,74
338000,1,0.95,78,74
339000,1,0.95,78,74
340000,1,0.95,78,74
341000,1,0.95,78,74
342000,1,0.95,78,74
343000,1,0.95,78,74
344000,1,0.95,78,74
345000,1,0.95,78,74
346000,1,0.95,78,74
347000,1,0.95,78,74
348000,1,0.95,78,74
349000,1,0.95,78,74
350000,1,0.95,78,74
351000,1,0.95,78,74
352000,1,0.95,78,74
353000,1,0.95,78,74
354000,1,0.95,78,74
355000,1,0.95,78,74
356000,1,0.95,78,74
357000,1,0.95,78,74
358000,1,0.95,78,74
359000,1,0.95,78,74
360000,1,0.95,78,74
361000,1,0.95,78,74
362000,1,0.95,78,74
363000,1,0.95,78,74
364000,1,0.95,78,74
365000,1,0.95,78,74
366000,1,0.95,78,74
367000,1,0.95,78,74
368000,1,0.95,78,74
369000,1,0.95,78,74
370000,1,0.95,78,74
371000,1,0.95,78,74
372000,1,0.95,78,74
373000,1,0.95,78,74
374000,1,0.95,78,74
375000,1,0.95,78,74
376000,1,0.95,78,74
377000,1,0.95,78,74
378000,1,0.95,78,74
379000,1,0.95,78,74
380000,1,0.95,78,74
381000,1,0.95,78,74
382000,1,0.95,78,74
383000,1,0.95,78,74
384000,1,0.95,78,74
385000,1,0.95,78,74
386000,1,0.95,78,74
387000,1,0.95,78,74
388000,1,0.95,78,74
389000,1,0.95,78,74
390000,1,0.95,78,74
391000,1,0.95,78,74
392000,1,0.95,78,74
393000,1,0.95,78,74
394000,1,0.95,78,74
395000,1,0.95,78,74
396000,1,0.95,78,74
397000,1,0.95,78,74
398000,1,0.95,78,74
399000,1,0.95,78,74
400000,1,0.95,78,74
401000,1,0.95,78,74
402000,1,0.95,78,74
403000,1,0.95,78,74
404000,1,0.95,78,74
405000,1,0.95,78,74
406000,1,0.95,78,74
407000,1,0.95,78,74
408000,1,0.95,78,74
409000,1,0.95,78,74
410000,1,0.95,78,74
411000,1,0.95,78,74
412000,1,0.95,78,74
413000,1,0.95,78,74
414000,1,0.95,78,74
415000,1,0.95,78,74
416000,1,0.95,78,74
417000,1,0.95,78,74
418000,1,0.95,78,74
419000,1,0.95,78,74
420000,1,0.95,78,74
421000,1,0.95,78,74
422000,1,0.95,78,74
423000,1,0.95,78,74
424000,1,0.95,78,74
425000,1,0.95,78,74
426000,1,0.95,78,74
427000,1,0.95,78,74
428000,1,0.95,78,74
429000,1,0.95,78,74
430000,1,0.95,78,74
431000,1,0.95,78,74
432000,1,0.95,78,74
433000,1,0.95,78,74
434000,1,0.95,78,74
435000,1,0.95,78,74
436000,1,0.95,78,74
437000,1,0.95,78,74
438000,1,0.95,78,74
439000,1,0.95,78,74
440000,1,0.95,78,74
441000,1,0.95,78,74
442000,1,0.95,78,74
443000,1,0.95,78,74
444000,1,0.95,78,74
445000,1,0.95,78,74
446000,1,0.95,78,74
447000,1,0.95,78,74
448000,1,0.95,78,74
449000,1,0.95,78,74
450000,1,0.95,78,74
451000,1,0.95,78,74
452000,1,0.95,78,74
453000,1,0.95,78,74
454000,1,0.95,78,74
455000,1,0.95,78,74
456000,1,0.95,78,74
457000,1,0.95,78,74
458000,1,0.95,78,74
459000,1,0.95,78,74
460000,1,0.95,78,74
461000,1,0.95,78,74
462000,1,0.95,78,74
463000,1,0.95,78,74
464000,1,0.95,78,74
465000,1,0.95,78,74
466000,1,0.95,78,74
467000,1,0.95,78,74
468000,1,0.95,78,74
469000,1,0.95,78,74
470000,1,0.95,78,74
471000,1,0.95,78,74
472000,1,0.95,78,74
473000,1,0.95,78,74
474000,1,0.95,78,74
475000,1,0.95,78,74
476000,1,0.95,78,74
477000,1,0.95,78,74
478000,1,0.95,78,74
479000,1,0.95,78,74
480000,1,0.95,78,74
481000,1,0.95,78,74
482000,1,0.95,78,74
483000,1,0.95,78,74
484000,1,0.95,78,74
485000,1,0.95,78,74
486000,1,0.95,78,74
487000,1,0.95,78,74
488000,1,0.95,78,74
489000,1,0.95,78,74
490000,1,0.95,78,74
491000,1,0.95,78,74
492000,1,0.95,78,74
493000,1,0.95,78,74
494000,1,0.95,78,74
495000,1,0.95,78,74
496000,1,0.95,78,74
497000,1,0.95,78,74
498000,1,0.95,78,74
499000,1,0.95,78,74
500000,1,0.95,78,74
501000,1,0.95,78,74
502000,1,0.95,78,74
503000,1,0.95,78,74
504000,1,0.95,78,74
505000,1,0.95,78,74
506000,1,0.95,78,74
507000,1,0.95,78,74
508000,1,0.95,78,74
509000,1,0.95,78,74
510000,1,0.95,78,74
511000,1,0.95,78,74
512000,1,0.95,78,74
513000,1,0.95,78,74
514000,1,0.95,78,74
515000,1,0.95,78,74
516000,1,0.95,78,74
517000,1,0.95,78,74
518000,1,0.95,78,74
519000,1,0.95,78,74
520000,1,0.95,78,74
521000,1,0.95,78,74
522000,1,0.95,78,74
523000,1,0.95,78,74
524000,1,0.95,78,74
525000,1,0.95,78,74
526000,1,0.95,78,74
527000,1,0.95,78,74
528000,1,0.95,78,74
529000,1,0.95,78,74
530000,1,0.95,78,74
531000,1,0.95,78,74
532000,1,0.95,78,74
533000,1,0.95,78,74
534000,1,0.95,78,74
535000,1,0.95,78,74
536000,1,0.95,78,74
537000,1,0.95,78,74
538000,1,0.95,78,74
539000,1,0.95,78,74
540000,1,0.95,78,74
541000,1,0.95,78,74
542000,1,0.95,78,74
543000,1,0.95,78,74
544000,1,0.95,78,74
545000,1,0.95,78,74
546000,1,0.95,78,74
547000,1,0.95,78,74
548000,1,0.95,78,74
549000,1,0.95,78,74
550000,1,0.95,78,74
551000,1,0.95,78,74
552000,1,0.95,78,74
553000,1,0.95,78,74
554000,1,0.95,78,74
555000,1,0.95,78,74
556000,1,0.95,78,74
557000,1,0.95,78,74
558000,1,0.95,78,74
559000,1,0.95,78,74
560000,1,0.95,78,74
561000,1,0.95,78,74
562000,1,0.95,78,74
563000,1,0.95,78,74
564000,1,0.95,78,74
565000,1,0.95,78,74
566000,1,0.95,78,74
567000,1,0.95,78,74
568000,1,0.95,78,74
569000,1,0.95,78,74
570000,1,0.95,78,74
571000,1,0.95,78,74
572000,1,0.95,78,74
573000,1,0.95,78,74
574000,1,0.95,78,74
575000,1,0.95,78,74
576000,1,0.95,78,74
577000,1,0.95,78,74
578000,1,0.95,78,74
579000,1,0.95,78,74
580000,1,0.95,78,74
581000,1,0.95,78,74
582000,1,0.95,78,74
583000,1,0.95,78,74
584000,1,0.95,78,74
585000,1,0.95,78,74
586000,1,0.95,78,74
587000,1,0.95,78,74
588000,1,0.95,78,74
589000,1,0.95,78,74
590000,1,0.95,78,74
591000,1,0.95,78,74
592000,1,0.95,78,74
593000,1,0.95,78,74
594000,1,0.95,78,74
595000,1,0.95,78,74
596000,1,0.95,78,74
597000,1,0.95,78,74
598000,1,0.95,78,74
599000,1,0.95,78,74
600000,1,0.95,78,74
