time,running,percent,total,covered
1000,1,0.73,52,38
2000,1,0.73,52,38
3000,1,0.73,52,38
4000,1,0.79,52,41
5000,1,0.81,52,42
6000,1,0.87,52,45
7000,1,0.87,52,45
8000,1,0.87,52,45
9000,1,0.87,52,45
10000,1,0.87,52,45
11000,1,0.87,52,45
12000,1,0.87,52,45
13000,1,0.87,52,45
14000,1,0.87,52,45
15000,1,0.87,52,45
16000,1,0.87,52,45
17000,1,0.87,52,45
18000,1,0.87,52,45
19000,1,0.87,52,45
20000,1,0.87,52,45
21000,1,0.92,52,48
22000,1,0.92,52,48
23000,1,0.92,52,48
24000,1,0.92,52,48
25000,1,0.92,52,48
26000,1,0.92,52,48
27000,1,0.92,52,48
28000,1,0.92,52,48
29000,1,0.92,52,48
30000,1,0.92,52,48
31000,1,0.92,52,48
32000,1,0.92,52,48
33000,1,0.92,52,48
34000,1,0.92,52,48
35000,1,0.92,52,48
36000,1,0.92,52,48
37000,1,0.92,52,48
38000,1,0.92,52,48
39000,1,0.92,52,48
40000,1,0.92,52,48
41000,1,0.92,52,48
42000,1,0.92,52,48
43000,1,0.92,52,48
44000,1,0.92,52,48
45000,1,0.92,52,48
46000,1,0.92,52,48
47000,1,0.92,52,48
48000,1,0.92,52,48
49000,1,0.92,52,48
50000,1,0.92,52,48
51000,1,0.92,52,48
52000,1,0.92,52,48
53000,1,0.92,52,48
54000,1,0.94,52,49
55000,1,0.94,52,49
56000,1,0.94,52,49
57000,1,0.94,52,49
58000,1,0.94,52,49
59000,1,0.94,52,49
60000,1,0.94,52,49
61000,1,0.94,52,49
62000,1,0.94,52,49
63000,1,0.94,52,49
64000,1,0.94,52,49
65000,1,0.94,52,49
66000,1,0.94,52,49
67000,1,0.94,52,49
68000,1,0.94,52,49
69000,1,0.94,52,49
70000,1,0.94,52,49
71000,1,0.94,52,49
72000,1,0.94,52,49
73000,1,0.94,52,49
74000,1,0.94,52,49
75000,1,0.94,52,49
76000,1,0.94,52,49
77000,1,0.94,52,49
78000,1,0.94,52,49
79000,1,0.94,52,49
80000,1,0.94,52,49
81000,1,0.94,52,49
82000,1,0.94,52,49
83000,1,0.94,52,49
84000,1,0.94,52,49
85000,1,0.94,52,49
86000,1,0.94,52,49
87000,1,0.94,52,49
88000,1,0.94,52,49
89000,1,0.94,52,49
90000,1,0.94,52,49
91000,1,0.94,52,49
92000,1,0.94,52,49
93000,1,0.94,52,49
94000,1,0.94,52,49
95000,1,0.94,52,49
96000,1,0.94,52,49
97000,1,0.94,52,49
98000,1,0.94,52,49
99000,1,0.94,52,49
100000,1,0.94,52,49
101000,1,0.94,52,49
102000,1,0.94,52,49
103000,1,0.94,52,49
104000,1,0.94,52,49
105000,1,0.94,52,49
106000,1,0.94,52,49
107000,1,0.94,52,49
108000,1,0.94,52,49
109000,1,0.94,52,49
110000,1,0.94,52,49
111000,1,0.94,52,49
112000,1,0.94,52,49
113000,1,0.94,52,49
114000,1,0.94,52,49
115000,1,0.94,52,49
116000,1,0.94,52,49
117000,1,0.94,52,49
118000,1,0.94,52,49
119000,1,0.94,52,49
120000,1,0.94,52,49
121000,1,0.94,52,49
122000,1,0.94,52,49
123000,1,0.94,52,49
124000,1,0.94,52,49
125000,1,0.94,52,49
126000,1,0.94,52,49
127000,1,0.94,52,49
128000,1,0.94,52,49
129000,1,0.94,52,49
130000,1,0.94,52,49
131000,1,0.94,52,49
132000,1,0.94,52,49
133000,1,0.94,52,49
134000,1,0.94,52,49
135000,1,0.94,52,49
136000,1,0.94,52,49
137000,1,0.94,52,49
138000,1,0.94,52,49
139000,1,0.94,52,49
140000,1,0.94,52,49
141000,1,0.94,52,49
142000,1,0.94,52,49
143000,1,0.94,52,49
144000,1,0.94,52,49
145000,1,0.94,52,49
146000,1,0.94,52,49
147000,1,0.94,52,49
148000,1,0.94,52,49
149000,1,0.94,52,49
150000,1,0.94,52,49
151000,1,0.94,52,49
152000,1,0.94,52,49
153000,1,0.94,52,49
154000,1,0.94,52,49
155000,1,0.94,52,49
156000,1,0.94,52,49
157000,1,0.94,52,49
158000,1,0.94,52,49
159000,1,0.94,52,49
160000,1,0.94,52,49
161000,1,0.94,52,49
162000,1,0.94,52,49
163000,1,0.94,52,49
164000,1,0.94,52,49
165000,1,0.94,52,49
166000,1,0.94,52,49
167000,1,0.94,52,49
168000,1,0.94,52,49
169000,1,0.94,52,49
170000,1,0.94,52,49
171000,1,0.94,52,49
172000,1,0.94,52,49
173000,1,0.94,52,49
174000,1,0.94,52,49
175000,1,0.94,52,49
176000,1,0.94,52,49
177000,1,0.94,52,49
178000,1,0.94,52,49
179000,1,0.94,52,49
180000,1,0.94,52,49
181000,1,0.94,52,49
182000,1,0.94,52,49
183000,1,0.94,52,49
184000,1,0.94,52,49
185000,1,0.94,52,49
186000,1,0.94,52,49
187000,1,0.94,52,49
188000,1,0.94,52,49
189000,1,0.94,52,49
190000,1,0.94,52,49
191000,1,0.94,52,49
192000,1,0.94,52,49
193000,1,0.94,52,49
194000,1,0.94,52,49
195000,1,0.94,52,49
196000,1,0.94,52,49
197000,1,0.94,52,49
198000,1,0.94,52,49
199000,1,0.94,52,49
200000,1,0.94,52,49
201000,1,0.94,52,49
202000,1,0.94,52,49
203000,1,0.94,52,49
204000,1,0.94,52,49
205000,1,0.94,52,49
206000,1,0.94,52,49
207000,1,0.94,52,49
208000,1,0.94,52,49
209000,1,0.94,52,49
210000,1,0.94,52,49
211000,1,0.94,52,49
212000,1,0.94,52,49
213000,1,0.94,52,49
214000,1,0.94,52,49
215000,1,0.94,52,49
216000,1,0.94,52,49
217000,1,0.94,52,49
218000,1,0.94,52,49
219000,1,0.94,52,49
220000,1,0.94,52,49
221000,1,0.94,52,49
222000,1,0.94,52,49
223000,1,0.94,52,49
224000,1,0.94,52,49
225000,1,0.94,52,49
226000,1,0.94,52,49
227000,1,0.94,52,49
228000,1,0.94,52,49
229000,1,0.94,52,49
230000,1,0.94,52,49
231000,1,0.94,52,49
232000,1,0.94,52,49
233000,1,0.94,52,49
234000,1,0.94,52,49
235000,1,0.94,52,49
236000,1,0.94,52,49
237000,1,0.94,52,49
238000,1,0.94,52,49
239000,1,0.94,52,49
240000,1,0.94,52,49
241000,1,0.94,52,49
242000,1,0.94,52,49
243000,1,0.94,52,49
244000,1,0.94,52,49
245000,1,0.94,52,49
246000,1,0.94,52,49
247000,1,0.94,52,49
248000,1,0.94,52,49
249000,1,0.94,52,49
250000,1,0.94,52,49
251000,1,0.94,52,49
252000,1,0.94,52,49
253000,1,0.94,52,49
254000,1,0.94,52,49
255000,1,0.94,52,49
256000,1,0.94,52,49
257000,1,0.94,52,49
258000,1,0.94,52,49
259000,1,0.94,52,49
260000,1,0.94,52,49
261000,1,0.94,52,49
262000,1,0.94,52,49
263000,1,0.94,52,49
264000,1,0.94,52,49
265000,1,0.94,52,49
266000,1,0.94,52,49
267000,1,0.94,52,49
268000,1,0.94,52,49
269000,1,0.94,52,49
270000,1,0.94,52,49
271000,1,0.94,52,49
272000,1,0.94,52,49
273000,1,0.94,52,49
274000,1,0.94,52,49
275000,1,0.94,52,49
276000,1,0.94,52,49
277000,1,0.94,52,49
278000,1,0.94,52,49
279000,1,0.94,52,49
280000,1,0.94,52,49
281000,1,0.94,52,49
282000,1,0.94,52,49
283000,1,0.94,52,49
284000,1,0.94,52,49
285000,1,0.94,52,49
286000,1,0.94,52,49
287000,1,0.94,52,49
288000,1,0.94,52,49
289000,1,0.94,52,49
290000,1,0.94,52,49
291000,1,0.94,52,49
292000,1,0.94,52,49
293000,1,0.94,52,49
294000,1,0.94,52,49
295000,1,0.94,52,49
296000,1,0.94,52,49
297000,1,0.94,52,49
298000,1,0.94,52,49
299000,1,0.94,52,49
300000,1,0.94,52,49
301000,1,0.94,52,49
302000,1,0.94,52,49
303000,1,0.94,52,49
304000,1,0.94,52,49
305000,1,0.94,52,49
306000,1,0.94,52,49
307000,1,0.94,52,49
308000,1,0.94,52,49
309000,1,0.94,52,49
310000,1,0.94,52,49
311000,1,0.94,52,49
312000,1,0.94,52,49
313000,1,0.94,52,49
314000,1,0.94,52,49
315000,1,0.94,52,49
316000,1,0.94,52,49
317000,1,0.94,52,49
318000,1,0.94,52,49
319000,1,0.94,52,49
320000,1,0.94,52,49
321000,1,0.94,52,49
322000,1,0.94,52,49
323000,1,0.94,52,49
324000,1,0.94,52,49
325000,1,0.94,52,49
326000,1,0.94,52,49
327000,1,0.94,52,49
328000,1,0.94,52,49
329000,1,0.94,52,49
330000,1,0.94,52,49
331000,1,0.94,52,49
332000,1,0.94,52,49
333000,1,0.94,52,49
334000,1,0.94,52,49
335000,1,0.94,52,49
336000,1,0.94,52,49
337000,1,0.94,52,49
338000,1,0.94,52,49
339000,1,0.94,52,49
340000,1,0.94,52,49
341000,1,0.94,52,49
342000,1,0.94,52,49
343000,1,0.94,52,49
344000,1,0.94,52,49
345000,1,0.94,52,49
346000,1,0.94,52,49
347000,1,0.94,52,49
348000,1,0.94,52,49
349000,1,0.94,52,49
350000,1,0.94,52,49
351000,1,0.94,52,49
352000,1,0.94,52,49
353000,1,0.94,52,49
354000,1,0.94,52,49
355000,1,0.94,52,49
356000,1,0.94,52,49
357000,1,0.94,52,49
358000,1,0.94,52,49
359000,1,0.94,52,49
360000,1,0.94,52,49
361000,1,0.94,52,49
362000,1,0.94,52,49
363000,1,0.94,52,49
364000,1,0.94,52,49
365000,1,0.94,52,49
366000,1,0.94,52,49
367000,1,0.94,52,49
368000,1,0.94,52,49
369000,1,0.94,52,49
370000,1,0.94,52,49
371000,1,0.94,52,49
372000,1,0.94,52,49
373000,1,0.94,52,49
374000,1,0.94,52,49
375000,1,0.94,52,49
376000,1,0.94,52,49
377000,1,0.94,52,49
378000,1,0.94,52,49
379000,1,0.94,52,49
380000,1,0.94,52,49
381000,1,0.94,52,49
382000,1,0.94,52,49
383000,1,0.94,52,49
384000,1,0.94,52,49
385000,1,0.94,52,49
386000,1,0.94,52,49
387000,1,0.94,52,49
388000,1,0.94,52,49
389000,1,0.94,52,49
390000,1,0.94,52,49
391000,1,0.94,52,49
392000,1,0.94,52,49
393000,1,0.94,52,49
394000,1,0.94,52,49
395000,1,0.94,52,49
396000,1,0.94,52,49
397000,1,0.94,52,49
398000,1,0.94,52,49
399000,1,0.94,52,49
400000,1,0.94,52,49
401000,1,0.94,52,49
402000,1,0.94,52,49
403000,1,0.94,52,49
404000,1,0.94,52,49
405000,1,0.94,52,49
406000,1,0.94,52,49
407000,1,0.94,52,49
408000,1,0.94,52,49
409000,1,0.94,52,49
410000,1,0.94,52,49
411000,1,0.94,52,49
412000,1,0.94,52,49
413000,1,0.94,52,49
414000,1,0.94,52,49
415000,1,0.94,52,49
416000,1,0.94,52,49
417000,1,0.94,52,49
418000,1,0.94,52,49
419000,1,0.94,52,49
420000,1,0.94,52,49
421000,1,0.94,52,49
422000,1,0.94,52,49
423000,1,0.94,52,49
424000,1,0.94,52,49
425000,1,0.94,52,49
426000,1,0.94,52,49
427000,1,0.94,52,49
428000,1,0.94,52,49
429000,1,0.94,52,49
430000,1,0.94,52,49
431000,1,0.94,52,49
432000,1,0.94,52,49
433000,1,0.94,52,49
434000,1,0.94,52,49
435000,1,0.94,52,49
436000,1,0.94,52,49
437000,1,0.94,52,49
438000,1,0.94,52,49
439000,1,0.94,52,49
440000,1,0.94,52,49
441000,1,0.94,52,49
442000,1,0.94,52,49
443000,1,0.94,52,49
444000,1,0.94,52,49
445000,1,0.94,52,49
446000,1,0.94,52,49
447000,1,0.94,52,49
448000,1,0.94,52,49
449000,1,0.94,52,49
450000,1,0.94,52,49
451000,1,0.94,52,49
452000,1,0.94,52,49
453000,1,0.94,52,49
454000,1,0.94,52,49
455000,1,0.94,52,49
456000,1,0.94,52,49
457000,1,0.94,52,49
458000,1,0.94,52,49
459000,1,0.94,52,49
460000,1,0.94,52,49
461000,1,0.94,52,49
462000,1,0.94,52,49
463000,1,0.94,52,49
464000,1,0.94,52,49
465000,1,0.94,52,49
466000,1,0.94,52,49
467000,1,0.94,52,49
468000,1,0.94,52,49
469000,1,0.94,52,49
470000,1,0.94,52,49
471000,1,0.94,52,49
472000,1,0.94,52,49
473000,1,0.94,52,49
474000,1,0.94,52,49
475000,1,0.94,52,49
476000,1,0.94,52,49
477000,1,0.94,52,49
478000,1,0.94,52,49
479000,1,0.94,52,49
480000,1,0.94,52,49
481000,1,0.94,52,49
482000,1,0.94,52,49
483000,1,0.94,52,49
484000,1,0.94,52,49
485000,1,0.94,52,49
486000,1,0.94,52,49
487000,1,0.94,52,49
488000,1,0.94,52,49
489000,1,0.94,52,49
490000,1,0.94,52,49
491000,1,0.94,52,49
492000,1,0.94,52,49
493000,1,0.94,52,49
494000,1,0.94,52,49
495000,1,0.94,52,49
496000,1,0.94,52,49
497000,1,0.94,52,49
498000,1,0.94,52,49
499000,1,0.94,52,49
500000,1,0.94,52,49
501000,1,0.94,52,49
502000,1,0.94,52,49
503000,1,0.94,52,49
504000,1,0.94,52,49
505000,1,0.94,52,49
506000,1,0.94,52,49
507000,1,0.94,52,49
508000,1,0.94,52,49
509000,1,0.94,52,49
510000,1,0.94,52,49
511000,1,0.94,52,49
512000,1,0.94,52,49
513000,1,0.94,52,49
514000,1,0.94,52,49
515000,1,0.94,52,49
516000,1,0.94,52,49
517000,1,0.94,52,49
518000,1,0.94,52,49
519000,1,0.94,52,49
520000,1,0.94,52,49
521000,1,0.94,52,49
522000,1,0.94,52,49
523000,1,0.94,52,49
524000,1,0.94,52,49
525000,1,0.94,52,49
526000,1,0.94,52,49
527000,1,0.94,52,49
528000,1,0.94,52,49
529000,1,0.94,52,49
530000,1,0.94,52,49
531000,1,0.94,52,49
532000,1,0.94,52,49
533000,1,0.94,52,49
534000,1,0.94,52,49
535000,1,0.94,52,49
536000,1,0.94,52,49
537000,1,0.94,52,49
538000,1,0.94,52,49
539000,1,0.94,52,49
540000,1,0.94,52,49
541000,1,0.94,52,49
542000,1,0.94,52,49
543000,1,0.94,52,49
544000,1,0.94,52,49
545000,1,0.94,52,49
546000,1,0.94,52,49
547000,1,0.94,52,49
548000,1,0.94,52,49
549000,1,0.94,52,49
550000,1,0.94,52,49
551000,1,0.94,52,49
552000,1,0.94,52,49
553000,1,0.94,52,49
554000,1,0.94,52,49
555000,1,0.94,52,49
556000,1,0.94,52,49
557000,1,0.94,52,49
558000,1,0.94,52,49
559000,1,0.94,52,49
560000,1,0.94,52,49
561000,1,0.94,52,49
562000,1,0.94,52,49
563000,1,0.94,52,49
564000,1,0.94,52,49
565000,1,0.94,52,49
566000,1,0.94,52,49
567000,1,0.94,52,49
568000,1,0.94,52,49
569000,1,0.94,52,49
570000,1,0.94,52,49
571000,1,0.94,52,49
572000,1,0.94,52,49
573000,1,0.94,52,49
574000,1,0.94,52,49
575000,1,0.94,52,49
576000,1,0.94,52,49
577000,1,0.94,52,49
578000,1,0.94,52,49
579000,1,0.94,52,49
580000,1,0.94,52,49
581000,1,0.94,52,49
582000,1,0.94,52,49
583000,1,0.94,52,49
584000,1,0.94,52,49
585000,1,0.94,52,49
586000,1,0.94,52,49
587000,1,0.94,52,49
588000,1,0.94,52,49
589000,1,0.94,52,49
590000,1,0.94,52,49
591000,1,0.94,52,49
592000,1,0.94,52,49
593000,1,0.94,52,49
594000,1,0.94,52,49
595000,1,0.94,52,49
596000,1,0.94,52,49
597000,1,0.94,52,49
598000,1,0.94,52,49
599000,1,0.94,52,49
600000,1,0.94,52,49
