time,running,percent,total,covered
1000,1,0.24,78,19
2000,1,0.24,78,19
3000,1,0.27,78,21
4000,1,0.81,78,63
5000,1,0.96,78,75
6000,1,0.96,78,75
7000,1,0.96,78,75
8000,1,0.96,78,75
9000,1,0.96,78,75
10000,1,0.96,78,75
11000,1,0.96,78,75
12000,1,0.96,78,75
13000,1,0.96,78,75
14000,1,0.96,78,75
15000,1,0.96,78,75
16000,1,0.96,78,75
17000,1,0.96,78,75
18000,1,0.96,78,75
19000,1,0.96,78,75
20000,1,0.96,78,75
21000,1,0.96,78,75
22000,1,0.96,78,75
23000,1,0.96,78,75
24000,1,0.96,78,75
25000,1,0.96,78,75
26000,1,0.96,78,75
27000,1,0.96,78,75
28000,1,0.96,78,75
29000,1,0.96,78,75
30000,1,0.96,78,75
31000,1,0.96,78,75
32000,1,0.96,78,75
33000,1,0.96,78,75
34000,1,0.96,78,75
35000,1,0.96,78,75
36000,1,0.96,78,75
37000,1,0.96,78,75
38000,1,0.96,78,75
39000,1,0.96,78,75
40000,1,0.96,78,75
41000,1,0.96,78,75
42000,1,0.96,78,75
43000,1,0.96,78,75
44000,1,0.96,78,75
45000,1,0.96,78,75
46000,1,0.96,78,75
47000,1,0.96,78,75
48000,1,0.96,78,75
49000,1,0.96,78,75
50000,1,0.96,78,75
51000,1,0.96,78,75
52000,1,0.96,78,75
53000,1,0.96,78,75
54000,1,0.96,78,75
55000,1,0.96,78,75
56000,1,0.96,78,75
57000,1,0.96,78,75
58000,1,0.96,78,75
59000,1,0.96,78,75
60000,1,0.96,78,75
61000,1,0.96,78,75
62000,1,0.96,78,75
63000,0,1.00,78,78
64000,0,1.00,78,78
65000,0,1.00,78,78
66000,0,1.00,78,78
67000,0,1.00,78,78
68000,0,1.00,78,78
69000,0,1.00,78,78
70000,0,1.00,78,78
71000,0,1.00,78,78
72000,0,1.00,78,78
73000,0,1.00,78,78
74000,0,1.00,78,78
75000,0,1.00,78,78
76000,0,1.00,78,78
77000,0,1.00,78,78
78000,0,1.00,78,78
79000,0,1.00,78,78
80000,0,1.00,78,78
81000,0,1.00,78,78
82000,0,1.00,78,78
83000,0,1.00,78,78
84000,0,1.00,78,78
85000,0,1.00,78,78
86000,0,1.00,78,78
87000,0,1.00,78,78
88000,0,1.00,78,78
89000,0,1.00,78,78
90000,0,1.00,78,78
91000,0,1.00,78,78
92000,0,1.00,78,78
93000,0,1.00,78,78
94000,0,1.00,78,78
95000,0,1.00,78,78
96000,0,1.00,78,78
97000,0,1.00,78,78
98000,0,1.00,78,78
99000,0,1.00,78,78
100000,0,1.00,78,78
101000,0,1.00,78,78
102000,0,1.00,78,78
103000,0,1.00,78,78
104000,0,1.00,78,78
105000,0,1.00,78,78
106000,0,1.00,78,78
107000,0,1.00,78,78
108000,0,1.00,78,78
109000,0,1.00,78,78
110000,0,1.00,78,78
111000,0,1.00,78,78
112000,0,1.00,78,78
113000,0,1.00,78,78
114000,0,1.00,78,78
115000,0,1.00,78,78
116000,0,1.00,78,78
117000,0,1.00,78,78
118000,0,1.00,78,78
119000,0,1.00,78,78
120000,0,1.00,78,78
121000,0,1.00,78,78
122000,0,1.00,78,78
123000,0,1.00,78,78
124000,0,1.00,78,78
125000,0,1.00,78,78
126000,0,1.00,78,78
127000,0,1.00,78,78
128000,0,1.00,78,78
129000,0,1.00,78,78
130000,0,1.00,78,78
131000,0,1.00,78,78
132000,0,1.00,78,78
133000,0,1.00,78,78
134000,0,1.00,78,78
135000,0,1.00,78,78
136000,0,1.00,78,78
137000,0,1.00,78,78
138000,0,1.00,78,78
139000,0,1.00,78,78
140000,0,1.00,78,78
141000,0,1.00,78,78
142000,0,1.00,78,78
143000,0,1.00,78,78
144000,0,1.00,78,78
145000,0,1.00,78,78
146000,0,1.00,78,78
147000,0,1.00,78,78
148000,0,1.00,78,78
149000,0,1.00,78,78
150000,0,1.00,78,78
151000,0,1.00,78,78
152000,0,1.00,78,78
153000,0,1.00,78,78
154000,0,1.00,78,78
155000,0,1.00,78,78
156000,0,1.00,78,78
157000,0,1.00,78,78
158000,0,1.00,78,78
159000,0,1.00,78,78
160000,0,1.00,78,78
161000,0,1.00,78,78
162000,0,1.00,78,78
163000,0,1.00,78,78
164000,0,1.00,78,78
165000,0,1.00,78,78
166000,0,1.00,78,78
167000,0,1.00,78,78
168000,0,1.00,78,78
169000,0,1.00,78,78
170000,0,1.00,78,78
171000,0,1.00,78,78
172000,0,1.00,78,78
173000,0,1.00,78,78
174000,0,1.00,78,78
175000,0,1.00,78,78
176000,0,1.00,78,78
177000,0,1.00,78,78
178000,0,1.00,78,78
179000,0,1.00,78,78
180000,0,1.00,78,78
181000,0,1.00,78,78
182000,0,1.00,78,78
183000,0,1.00,78,78
184000,0,1.00,78,78
185000,0,1.00,78,78
186000,0,1.00,78,78
187000,0,1.00,78,78
188000,0,1.00,78,78
189000,0,1.00,78,78
190000,0,1.00,78,78
191000,0,1.00,78,78
192000,0,1.00,78,78
193000,0,1.00,78,78
194000,0,1.00,78,78
195000,0,1.00,78,78
196000,0,1.00,78,78
197000,0,1.00,78,78
198000,0,1.00,78,78
199000,0,1.00,78,78
200000,0,1.00,78,78
201000,0,1.00,78,78
202000,0,1.00,78,78
203000,0,1.00,78,78
204000,0,1.00,78,78
205000,0,1.00,78,78
206000,0,1.00,78,78
207000,0,1.00,78,78
208000,0,1.00,78,78
209000,0,1.00,78,78
210000,0,1.00,78,78
211000,0,1.00,78,78
212000,0,1.00,78,78
213000,0,1.00,78,78
214000,0,1.00,78,78
215000,0,1.00,78,78
216000,0,1.00,78,78
217000,0,1.00,78,78
218000,0,1.00,78,78
219000,0,1.00,78,78
220000,0,1.00,78,78
221000,0,1.00,78,78
222000,0,1.00,78,78
223000,0,1.00,78,78
224000,0,1.00,78,78
225000,0,1.00,78,78
226000,0,1.00,78,78
227000,0,1.00,78,78
228000,0,1.00,78,78
229000,0,1.00,78,78
230000,0,1.00,78,78
231000,0,1.00,78,78
232000,0,1.00,78,78
233000,0,1.00,78,78
234000,0,1.00,78,78
235000,0,1.00,78,78
236000,0,1.00,78,78
237000,0,1.00,78,78
238000,0,1.00,78,78
239000,0,1.00,78,78
240000,0,1.00,78,78
241000,0,1.00,78,78
242000,0,1.00,78,78
243000,0,1.00,78,78
244000,0,1.00,78,78
245000,0,1.00,78,78
246000,0,1.00,78,78
247000,0,1.00,78,78
248000,0,1.00,78,78
249000,0,1.00,78,78
250000,0,1.00,78,78
251000,0,1.00,78,78
252000,0,1.00,78,78
253000,0,1.00,78,78
254000,0,1.00,78,78
255000,0,1.00,78,78
256000,0,1.00,78,78
257000,0,1.00,78,78
258000,0,1.00,78,78
259000,0,1.00,78,78
260000,0,1.00,78,78
261000,0,1.00,78,78
262000,0,1.00,78,78
263000,0,1.00,78,78
264000,0,1.00,78,78
265000,0,1.00,78,78
266000,0,1.00,78,78
267000,0,1.00,78,78
268000,0,1.00,78,78
269000,0,1.00,78,78
270000,0,1.00,78,78
271000,0,1.00,78,78
272000,0,1.00,78,78
273000,0,1.00,78,78
274000,0,1.00,78,78
275000,0,1.00,78,78
276000,0,1.00,78,78
277000,0,1.00,78,78
278000,0,1.00,78,78
279000,0,1.00,78,78
280000,0,1.00,78,78
281000,0,1.00,78,78
282000,0,1.00,78,78
283000,0,1.00,78,78
284000,0,1.00,78,78
285000,0,1.00,78,78
286000,0,1.00,78,78
287000,0,1.00,78,78
288000,0,1.00,78,78
289000,0,1.00,78,78
290000,0,1.00,78,78
291000,0,1.00,78,78
292000,0,1.00,78,78
293000,0,1.00,78,78
294000,0,1.00,78,78
295000,0,1.00,78,78
296000,0,1.00,78,78
297000,0,1.00,78,78
298000,0,1.00,78,78
299000,0,1.00,78,78
300000,0,1.00,78,78
301000,0,1.00,78,78
302000,0,1.00,78,78
303000,0,1.00,78,78
304000,0,1.00,78,78
305000,0,1.00,78,78
306000,0,1.00,78,78
307000,0,1.00,78,78
308000,0,1.00,78,78
309000,0,1.00,78,78
310000,0,1.00,78,78
311000,0,1.00,78,78
312000,0,1.00,78,78
313000,0,1.00,78,78
314000,0,1.00,78,78
315000,0,1.00,78,78
316000,0,1.00,78,78
317000,0,1.00,78,78
318000,0,1.00,78,78
319000,0,1.00,78,78
320000,0,1.00,78,78
321000,0,1.00,78,78
322000,0,1.00,78,78
323000,0,1.00,78,78
324000,0,1.00,78,78
325000,0,1.00,78,78
326000,0,1.00,78,78
327000,0,1.00,78,78
328000,0,1.00,78,78
329000,0,1.00,78,78
330000,0,1.00,78,78
331000,0,1.00,78,78
332000,0,1.00,78,78
333000,0,1.00,78,78
334000,0,1.00,78,78
335000,0,1.00,78,78
