time,running,percent,total,covered
1000,1,0.24,42,10
2000,1,0.29,42,12
3000,1,0.40,42,17
4000,1,0.64,42,27
5000,1,0.64,42,27
6000,1,0.76,42,32
7000,1,0.88,42,37
8000,1,1.00,42,42
9000,1,1.00,42,42
10000,1,1.00,42,42
11000,1,1.00,42,42
12000,1,1.00,42,42
13000,1,1.00,42,42
14000,1,1.00,42,42
15000,1,1.00,42,42
16000,1,1.00,42,42
17000,1,1.00,42,42
18000,1,1.00,42,42
19000,1,1.00,42,42
20000,1,1.00,42,42
21000,1,1.00,42,42
22000,1,1.00,42,42
23000,1,1.00,42,42
24000,1,1.00,42,42
25000,1,1.00,42,42
26000,1,1.00,42,42
27000,1,1.00,42,42
28000,1,1.00,42,42
29000,1,1.00,42,42
30000,1,1.00,42,42
31000,1,1.00,42,42
32000,1,1.00,42,42
33000,1,1.00,42,42
34000,1,1.00,42,42
35000,1,1.00,42,42
36000,1,1.00,42,42
37000,1,1.00,42,42
38000,1,1.00,42,42
39000,1,1.00,42,42
40000,1,1.00,42,42
41000,1,1.00,42,42
42000,1,1.00,42,42
43000,1,1.00,42,42
44000,1,1.00,42,42
45000,1,1.00,42,42
46000,1,1.00,42,42
47000,1,1.00,42,42
48000,1,1.00,42,42
49000,1,1.00,42,42
50000,1,1.00,42,42
51000,1,1.00,42,42
52000,1,1.00,42,42
53000,1,1.00,42,42
54000,1,1.00,42,42
55000,1,1.00,42,42
56000,1,1.00,42,42
57000,1,1.00,42,42
58000,1,1.00,42,42
59000,1,1.00,42,42
60000,1,1.00,42,42
61000,1,1.00,42,42
62000,1,1.00,42,42
63000,1,1.00,42,42
64000,1,1.00,42,42
65000,1,1.00,42,42
66000,1,1.00,42,42
67000,1,1.00,42,42
68000,1,1.00,42,42
69000,1,1.00,42,42
70000,1,1.00,42,42
71000,1,1.00,42,42
72000,1,1.00,42,42
73000,1,1.00,42,42
74000,1,1.00,42,42
75000,1,1.00,42,42
76000,1,1.00,42,42
77000,1,1.00,42,42
78000,1,1.00,42,42
79000,1,1.00,42,42
80000,1,1.00,42,42
81000,1,1.00,42,42
82000,1,1.00,42,42
83000,1,1.00,42,42
84000,1,1.00,42,42
85000,1,1.00,42,42
86000,1,1.00,42,42
87000,1,1.00,42,42
88000,1,1.00,42,42
89000,1,1.00,42,42
90000,1,1.00,42,42
91000,1,1.00,42,42
92000,1,1.00,42,42
93000,1,1.00,42,42
94000,1,1.00,42,42
95000,1,1.00,42,42
96000,1,1.00,42,42
97000,1,1.00,42,42
98000,1,1.00,42,42
99000,1,1.00,42,42
100000,1,1.00,42,42
101000,1,1.00,42,42
102000,1,1.00,42,42
103000,1,1.00,42,42
104000,1,1.00,42,42
105000,1,1.00,42,42
106000,1,1.00,42,42
107000,1,1.00,42,42
108000,1,1.00,42,42
109000,1,1.00,42,42
110000,1,1.00,42,42
111000,1,1.00,42,42
112000,1,1.00,42,42
113000,1,1.00,42,42
114000,1,1.00,42,42
115000,1,1.00,42,42
116000,1,1.00,42,42
117000,1,1.00,42,42
118000,1,1.00,42,42
119000,1,1.00,42,42
120000,1,1.00,42,42
121000,1,1.00,42,42
122000,1,1.00,42,42
123000,1,1.00,42,42
124000,1,1.00,42,42
125000,1,1.00,42,42
126000,1,1.00,42,42
127000,1,1.00,42,42
128000,1,1.00,42,42
129000,1,1.00,42,42
130000,1,1.00,42,42
131000,1,1.00,42,42
132000,1,1.00,42,42
133000,1,1.00,42,42
134000,1,1.00,42,42
135000,1,1.00,42,42
136000,1,1.00,42,42
137000,1,1.00,42,42
138000,1,1.00,42,42
139000,1,1.00,42,42
140000,1,1.00,42,42
141000,1,1.00,42,42
142000,1,1.00,42,42
143000,1,1.00,42,42
144000,1,1.00,42,42
145000,1,1.00,42,42
146000,1,1.00,42,42
147000,1,1.00,42,42
148000,1,1.00,42,42
149000,1,1.00,42,42
150000,1,1.00,42,42
151000,1,1.00,42,42
152000,1,1.00,42,42
153000,1,1.00,42,42
154000,1,1.00,42,42
155000,1,1.00,42,42
156000,1,1.00,42,42
157000,1,1.00,42,42
158000,1,1.00,42,42
159000,1,1.00,42,42
160000,1,1.00,42,42
161000,1,1.00,42,42
162000,1,1.00,42,42
163000,1,1.00,42,42
164000,1,1.00,42,42
165000,1,1.00,42,42
166000,1,1.00,42,42
167000,1,1.00,42,42
168000,1,1.00,42,42
169000,1,1.00,42,42
170000,1,1.00,42,42
171000,1,1.00,42,42
172000,1,1.00,42,42
173000,1,1.00,42,42
174000,1,1.00,42,42
