time,running,percent,total,covered
1000,1,0.19,27,5
2000,1,0.74,27,20
3000,1,0.74,27,20
4000,1,0.74,27,20
5000,1,0.74,27,20
6000,1,0.74,27,20
7000,1,0.74,27,20
8000,1,0.74,27,20
9000,1,0.74,27,20
10000,1,0.74,27,20
11000,1,0.74,27,20
12000,1,0.74,27,20
13000,1,0.74,27,20
14000,1,0.74,27,20
15000,1,0.74,27,20
16000,1,0.74,27,20
17000,1,0.89,27,24
18000,1,1.00,27,27
19000,1,1.00,27,27
20000,1,1.00,27,27
21000,1,1.00,27,27
22000,1,1.00,27,27
23000,1,1.00,27,27
24000,1,1.00,27,27
25000,1,1.00,27,27
26000,1,1.00,27,27
27000,1,1.00,27,27
28000,1,1.00,27,27
29000,1,1.00,27,27
30000,1,1.00,27,27
31000,1,1.00,27,27
32000,1,1.00,27,27
33000,1,1.00,27,27
34000,1,1.00,27,27
35000,1,1.00,27,27
36000,1,1.00,27,27
37000,1,1.00,27,27
38000,1,1.00,27,27
39000,1,1.00,27,27
40000,1,1.00,27,27
41000,1,1.00,27,27
42000,1,1.00,27,27
43000,1,1.00,27,27
44000,1,1.00,27,27
45000,1,1.00,27,27
46000,1,1.00,27,27
47000,1,1.00,27,27
48000,1,1.00,27,27
49000,1,1.00,27,27
50000,1,1.00,27,27
51000,1,1.00,27,27
52000,1,1.00,27,27
53000,1,1.00,27,27
54000,1,1.00,27,27
55000,1,1.00,27,27
56000,1,1.00,27,27
57000,1,1.00,27,27
58000,1,1.00,27,27
59000,1,1.00,27,27
60000,1,1.00,27,27
61000,1,1.00,27,27
62000,1,1.00,27,27
63000,1,1.00,27,27
64000,1,1.00,27,27
65000,1,1.00,27,27
66000,1,1.00,27,27
67000,1,1.00,27,27
68000,1,1.00,27,27
69000,1,1.00,27,27
70000,1,1.00,27,27
71000,1,1.00,27,27
72000,1,1.00,27,27
73000,1,1.00,27,27
74000,1,1.00,27,27
75000,1,1.00,27,27
76000,1,1.00,27,27
77000,1,1.00,27,27
78000,1,1.00,27,27
79000,1,1.00,27,27
80000,1,1.00,27,27
81000,1,1.00,27,27
82000,1,1.00,27,27
83000,1,1.00,27,27
84000,1,1.00,27,27
85000,1,1.00,27,27
86000,1,1.00,27,27
87000,1,1.00,27,27
88000,1,1.00,27,27
89000,1,1.00,27,27
90000,1,1.00,27,27
91000,1,1.00,27,27
92000,1,1.00,27,27
93000,1,1.00,27,27
94000,1,1.00,27,27
95000,1,1.00,27,27
96000,1,1.00,27,27
97000,1,1.00,27,27
98000,1,1.00,27,27
99000,1,1.00,27,27
100000,1,1.00,27,27
101000,1,1.00,27,27
102000,1,1.00,27,27
103000,1,1.00,27,27
104000,1,1.00,27,27
105000,1,1.00,27,27
106000,1,1.00,27,27
107000,1,1.00,27,27
108000,1,1.00,27,27
109000,1,1.00,27,27
110000,1,1.00,27,27
111000,1,1.00,27,27
112000,1,1.00,27,27
113000,1,1.00,27,27
114000,1,1.00,27,27
115000,1,1.00,27,27
116000,1,1.00,27,27
117000,1,1.00,27,27
118000,1,1.00,27,27
119000,1,1.00,27,27
120000,1,1.00,27,27
121000,1,1.00,27,27
122000,1,1.00,27,27
123000,1,1.00,27,27
124000,1,1.00,27,27
125000,1,1.00,27,27
126000,1,1.00,27,27
127000,1,1.00,27,27
128000,1,1.00,27,27
129000,1,1.00,27,27
130000,1,1.00,27,27
131000,1,1.00,27,27
132000,1,1.00,27,27
133000,1,1.00,27,27
134000,1,1.00,27,27
135000,1,1.00,27,27
136000,1,1.00,27,27
137000,1,1.00,27,27
138000,1,1.00,27,27
139000,1,1.00,27,27
140000,1,1.00,27,27
141000,1,1.00,27,27
142000,1,1.00,27,27
143000,1,1.00,27,27
144000,1,1.00,27,27
145000,1,1.00,27,27
146000,1,1.00,27,27
147000,1,1.00,27,27
148000,1,1.00,27,27
149000,1,1.00,27,27
150000,1,1.00,27,27
151000,1,1.00,27,27
152000,1,1.00,27,27
153000,1,1.00,27,27
154000,1,1.00,27,27
155000,1,1.00,27,27
156000,1,1.00,27,27
157000,1,1.00,27,27
158000,1,1.00,27,27
159000,1,1.00,27,27
