time,running,percent,total,covered
1000,1,0.73,26,19
2000,1,0.73,26,19
3000,1,0.96,26,25
4000,1,0.96,26,25
5000,1,0.96,26,25
6000,1,0.96,26,25
7000,1,0.96,26,25
8000,1,0.96,26,25
9000,1,0.96,26,25
10000,1,0.96,26,25
11000,0,1.00,26,26
12000,0,1.00,26,26
13000,0,1.00,26,26
14000,0,1.00,26,26
15000,0,1.00,26,26
16000,0,1.00,26,26
17000,0,1.00,26,26
18000,0,1.00,26,26
19000,0,1.00,26,26
20000,0,1.00,26,26
21000,0,1.00,26,26
22000,0,1.00,26,26
23000,0,1.00,26,26
24000,0,1.00,26,26
25000,0,1.00,26,26
26000,0,1.00,26,26
27000,0,1.00,26,26
28000,0,1.00,26,26
29000,0,1.00,26,26
30000,0,1.00,26,26
31000,0,1.00,26,26
32000,0,1.00,26,26
33000,0,1.00,26,26
34000,0,1.00,26,26
35000,0,1.00,26,26
36000,0,1.00,26,26
37000,0,1.00,26,26
38000,0,1.00,26,26
39000,0,1.00,26,26
40000,0,1.00,26,26
41000,0,1.00,26,26
42000,0,1.00,26,26
43000,0,1.00,26,26
44000,0,1.00,26,26
45000,0,1.00,26,26
46000,0,1.00,26,26
47000,0,1.00,26,26
48000,0,1.00,26,26
49000,0,1.00,26,26
50000,0,1.00,26,26
51000,0,1.00,26,26
52000,0,1.00,26,26
53000,0,1.00,26,26
54000,0,1.00,26,26
55000,0,1.00,26,26
56000,0,1.00,26,26
57000,0,1.00,26,26
58000,0,1.00,26,26
59000,0,1.00,26,26
60000,0,1.00,26,26
61000,0,1.00,26,26
62000,0,1.00,26,26
63000,0,1.00,26,26
64000,0,1.00,26,26
65000,0,1.00,26,26
66000,0,1.00,26,26
67000,0,1.00,26,26
68000,0,1.00,26,26
69000,0,1.00,26,26
70000,0,1.00,26,26
71000,0,1.00,26,26
72000,0,1.00,26,26
73000,0,1.00,26,26
74000,0,1.00,26,26
75000,0,1.00,26,26
76000,0,1.00,26,26
77000,0,1.00,26,26
78000,0,1.00,26,26
79000,0,1.00,26,26
80000,0,1.00,26,26
81000,0,1.00,26,26
82000,0,1.00,26,26
83000,0,1.00,26,26
84000,0,1.00,26,26
85000,0,1.00,26,26
86000,0,1.00,26,26
87000,0,1.00,26,26
88000,0,1.00,26,26
89000,0,1.00,26,26
90000,0,1.00,26,26
91000,0,1.00,26,26
92000,0,1.00,26,26
93000,0,1.00,26,26
94000,0,1.00,26,26
95000,0,1.00,26,26
96000,0,1.00,26,26
97000,0,1.00,26,26
98000,0,1.00,26,26
99000,0,1.00,26,26
100000,0,1.00,26,26
101000,0,1.00,26,26
102000,0,1.00,26,26
103000,0,1.00,26,26
104000,0,1.00,26,26
105000,0,1.00,26,26
106000,0,1.00,26,26
107000,0,1.00,26,26
108000,0,1.00,26,26
109000,0,1.00,26,26
110000,0,1.00,26,26
111000,0,1.00,26,26
112000,0,1.00,26,26
113000,0,1.00,26,26
114000,0,1.00,26,26
115000,0,1.00,26,26
116000,0,1.00,26,26
117000,0,1.00,26,26
118000,0,1.00,26,26
119000,0,1.00,26,26
120000,0,1.00,26,26
121000,0,1.00,26,26
122000,0,1.00,26,26
123000,0,1.00,26,26
124000,0,1.00,26,26
125000,0,1.00,26,26
126000,0,1.00,26,26
127000,0,1.00,26,26
128000,0,1.00,26,26
129000,0,1.00,26,26
130000,0,1.00,26,26
131000,0,1.00,26,26
132000,0,1.00,26,26
133000,0,1.00,26,26
134000,0,1.00,26,26
135000,0,1.00,26,26
136000,0,1.00,26,26
137000,0,1.00,26,26
138000,0,1.00,26,26
139000,0,1.00,26,26
140000,0,1.00,26,26
141000,0,1.00,26,26
142000,0,1.00,26,26
143000,0,1.00,26,26
144000,0,1.00,26,26
145000,0,1.00,26,26
146000,0,1.00,26,26
147000,0,1.00,26,26
148000,0,1.00,26,26
149000,0,1.00,26,26
150000,0,1.00,26,26
151000,0,1.00,26,26
152000,0,1.00,26,26
153000,0,1.00,26,26
154000,0,1.00,26,26
155000,0,1.00,26,26
156000,0,1.00,26,26
157000,0,1.00,26,26
158000,0,1.00,26,26
159000,0,1.00,26,26
160000,0,1.00,26,26
161000,0,1.00,26,26
162000,0,1.00,26,26
163000,0,1.00,26,26
164000,0,1.00,26,26
165000,0,1.00,26,26
166000,0,1.00,26,26
167000,0,1.00,26,26
168000,0,1.00,26,26
169000,0,1.00,26,26
170000,0,1.00,26,26
171000,0,1.00,26,26
172000,0,1.00,26,26
173000,0,1.00,26,26
174000,0,1.00,26,26
175000,0,1.00,26,26
