time,running,percent,total,covered
1000,1,0.57,23,13
2000,1,1.00,23,23
3000,1,1.00,23,23
4000,1,1.00,23,23
5000,1,1.00,23,23
6000,1,1.00,23,23
7000,1,1.00,23,23
8000,1,1.00,23,23
9000,1,1.00,23,23
10000,1,1.00,23,23
11000,1,1.00,23,23
12000,1,1.00,23,23
13000,1,1.00,23,23
14000,1,1.00,23,23
15000,1,1.00,23,23
16000,1,1.00,23,23
17000,1,1.00,23,23
18000,1,1.00,23,23
19000,1,1.00,23,23
20000,1,1.00,23,23
21000,1,1.00,23,23
22000,1,1.00,23,23
23000,1,1.00,23,23
24000,1,1.00,23,23
25000,1,1.00,23,23
26000,1,1.00,23,23
27000,1,1.00,23,23
28000,1,1.00,23,23
29000,1,1.00,23,23
30000,1,1.00,23,23
31000,1,1.00,23,23
32000,1,1.00,23,23
33000,1,1.00,23,23
34000,1,1.00,23,23
35000,1,1.00,23,23
36000,1,1.00,23,23
37000,1,1.00,23,23
38000,1,1.00,23,23
39000,1,1.00,23,23
40000,1,1.00,23,23
41000,1,1.00,23,23
42000,1,1.00,23,23
43000,1,1.00,23,23
44000,1,1.00,23,23
45000,1,1.00,23,23
46000,1,1.00,23,23
47000,1,1.00,23,23
48000,1,1.00,23,23
49000,1,1.00,23,23
50000,1,1.00,23,23
51000,1,1.00,23,23
52000,1,1.00,23,23
53000,1,1.00,23,23
54000,1,1.00,23,23
55000,1,1.00,23,23
56000,1,1.00,23,23
57000,1,1.00,23,23
58000,1,1.00,23,23
59000,1,1.00,23,23
60000,1,1.00,23,23
61000,1,1.00,23,23
62000,1,1.00,23,23
63000,1,1.00,23,23
64000,1,1.00,23,23
65000,1,1.00,23,23
66000,1,1.00,23,23
67000,1,1.00,23,23
68000,1,1.00,23,23
69000,1,1.00,23,23
70000,1,1.00,23,23
71000,1,1.00,23,23
72000,1,1.00,23,23
73000,1,1.00,23,23
74000,1,1.00,23,23
75000,1,1.00,23,23
76000,1,1.00,23,23
77000,1,1.00,23,23
78000,1,1.00,23,23
79000,1,1.00,23,23
80000,1,1.00,23,23
81000,1,1.00,23,23
82000,1,1.00,23,23
83000,1,1.00,23,23
84000,1,1.00,23,23
85000,1,1.00,23,23
86000,1,1.00,23,23
87000,1,1.00,23,23
88000,1,1.00,23,23
89000,1,1.00,23,23
90000,1,1.00,23,23
91000,1,1.00,23,23
92000,1,1.00,23,23
93000,1,1.00,23,23
94000,1,1.00,23,23
95000,1,1.00,23,23
96000,1,1.00,23,23
97000,1,1.00,23,23
98000,1,1.00,23,23
99000,1,1.00,23,23
100000,1,1.00,23,23
101000,1,1.00,23,23
102000,1,1.00,23,23
103000,1,1.00,23,23
104000,1,1.00,23,23
105000,1,1.00,23,23
106000,1,1.00,23,23
107000,1,1.00,23,23
108000,1,1.00,23,23
109000,1,1.00,23,23
110000,1,1.00,23,23
111000,1,1.00,23,23
112000,1,1.00,23,23
113000,1,1.00,23,23
114000,1,1.00,23,23
115000,1,1.00,23,23
116000,1,1.00,23,23
117000,1,1.00,23,23
118000,1,1.00,23,23
119000,1,1.00,23,23
120000,1,1.00,23,23
121000,1,1.00,23,23
122000,1,1.00,23,23
123000,1,1.00,23,23
124000,1,1.00,23,23
125000,1,1.00,23,23
126000,1,1.00,23,23
127000,1,1.00,23,23
128000,1,1.00,23,23
129000,1,1.00,23,23
130000,1,1.00,23,23
131000,1,1.00,23,23
132000,1,1.00,23,23
133000,1,1.00,23,23
134000,1,1.00,23,23
135000,1,1.00,23,23
136000,1,1.00,23,23
137000,1,1.00,23,23
138000,1,1.00,23,23
139000,1,1.00,23,23
140000,1,1.00,23,23
141000,1,1.00,23,23
142000,1,1.00,23,23
143000,1,1.00,23,23
144000,1,1.00,23,23
145000,1,1.00,23,23
146000,1,1.00,23,23
147000,1,1.00,23,23
148000,1,1.00,23,23
149000,1,1.00,23,23
150000,1,1.00,23,23
151000,1,1.00,23,23
152000,1,1.00,23,23
153000,1,1.00,23,23
154000,1,1.00,23,23
155000,1,1.00,23,23
156000,1,1.00,23,23
157000,1,1.00,23,23
158000,1,1.00,23,23
159000,1,1.00,23,23
160000,1,1.00,23,23
161000,1,1.00,23,23
162000,1,1.00,23,23
163000,1,1.00,23,23
164000,1,1.00,23,23
165000,1,1.00,23,23
166000,1,1.00,23,23
167000,1,1.00,23,23
168000,1,1.00,23,23
169000,1,1.00,23,23
170000,1,1.00,23,23
171000,1,1.00,23,23
172000,1,1.00,23,23
173000,1,1.00,23,23
174000,1,1.00,23,23
175000,1,1.00,23,23
176000,1,1.00,23,23
177000,1,1.00,23,23
178000,1,1.00,23,23
179000,1,1.00,23,23
180000,1,1.00,23,23
181000,1,1.00,23,23
182000,1,1.00,23,23
183000,1,1.00,23,23
184000,1,1.00,23,23
185000,1,1.00,23,23
186000,1,1.00,23,23
187000,1,1.00,23,23
188000,1,1.00,23,23
189000,1,1.00,23,23
190000,1,1.00,23,23
191000,1,1.00,23,23
192000,1,1.00,23,23
193000,1,1.00,23,23
194000,1,1.00,23,23
195000,1,1.00,23,23
196000,1,1.00,23,23
197000,1,1.00,23,23
198000,1,1.00,23,23
199000,1,1.00,23,23
200000,1,1.00,23,23
201000,1,1.00,23,23
202000,1,1.00,23,23
203000,1,1.00,23,23
204000,1,1.00,23,23
205000,1,1.00,23,23
206000,1,1.00,23,23
207000,1,1.00,23,23
208000,1,1.00,23,23
209000,1,1.00,23,23
210000,1,1.00,23,23
211000,1,1.00,23,23
212000,1,1.00,23,23
213000,1,1.00,23,23
214000,1,1.00,23,23
215000,1,1.00,23,23
216000,1,1.00,23,23
217000,1,1.00,23,23
218000,1,1.00,23,23
219000,1,1.00,23,23
220000,1,1.00,23,23
221000,1,1.00,23,23
222000,1,1.00,23,23
223000,1,1.00,23,23
224000,1,1.00,23,23
225000,1,1.00,23,23
226000,1,1.00,23,23
227000,1,1.00,23,23
228000,1,1.00,23,23
229000,1,1.00,23,23
230000,1,1.00,23,23
231000,1,1.00,23,23
232000,1,1.00,23,23
233000,1,1.00,23,23
234000,1,1.00,23,23
235000,1,1.00,23,23
236000,1,1.00,23,23
237000,1,1.00,23,23
238000,1,1.00,23,23
239000,1,1.00,23,23
240000,1,1.00,23,23
241000,1,1.00,23,23
242000,1,1.00,23,23
243000,1,1.00,23,23
244000,1,1.00,23,23
245000,1,1.00,23,23
246000,1,1.00,23,23
247000,1,1.00,23,23
248000,1,1.00,23,23
249000,1,1.00,23,23
250000,1,1.00,23,23
251000,1,1.00,23,23
252000,1,1.00,23,23
253000,1,1.00,23,23
254000,1,1.00,23,23
255000,1,1.00,23,23
256000,1,1.00,23,23
257000,1,1.00,23,23
258000,1,1.00,23,23
259000,1,1.00,23,23
260000,1,1.00,23,23
261000,1,1.00,23,23
262000,1,1.00,23,23
263000,1,1.00,23,23
264000,1,1.00,23,23
265000,1,1.00,23,23
266000,1,1.00,23,23
267000,1,1.00,23,23
268000,1,1.00,23,23
269000,1,1.00,23,23
270000,1,1.00,23,23
271000,1,1.00,23,23
272000,1,1.00,23,23
273000,1,1.00,23,23
274000,1,1.00,23,23
275000,1,1.00,23,23
276000,1,1.00,23,23
277000,1,1.00,23,23
278000,1,1.00,23,23
279000,1,1.00,23,23
280000,1,1.00,23,23
281000,1,1.00,23,23
282000,1,1.00,23,23
283000,1,1.00,23,23
284000,1,1.00,23,23
285000,1,1.00,23,23
286000,1,1.00,23,23
287000,1,1.00,23,23
288000,1,1.00,23,23
289000,1,1.00,23,23
290000,1,1.00,23,23
291000,1,1.00,23,23
292000,1,1.00,23,23
293000,1,1.00,23,23
294000,1,1.00,23,23
295000,1,1.00,23,23
296000,1,1.00,23,23
297000,1,1.00,23,23
298000,1,1.00,23,23
299000,1,1.00,23,23
300000,1,1.00,23,23
301000,1,1.00,23,23
302000,1,1.00,23,23
303000,1,1.00,23,23
304000,1,1.00,23,23
305000,1,1.00,23,23
306000,1,1.00,23,23
307000,1,1.00,23,23
308000,1,1.00,23,23
309000,1,1.00,23,23
310000,1,1.00,23,23
311000,1,1.00,23,23
312000,1,1.00,23,23
313000,1,1.00,23,23
314000,1,1.00,23,23
315000,1,1.00,23,23
316000,1,1.00,23,23
317000,1,1.00,23,23
318000,1,1.00,23,23
319000,1,1.00,23,23
320000,1,1.00,23,23
321000,1,1.00,23,23
322000,1,1.00,23,23
323000,1,1.00,23,23
324000,1,1.00,23,23
325000,1,1.00,23,23
326000,1,1.00,23,23
327000,1,1.00,23,23
328000,1,1.00,23,23
329000,1,1.00,23,23
330000,1,1.00,23,23
331000,1,1.00,23,23
332000,1,1.00,23,23
333000,1,1.00,23,23
334000,1,1.00,23,23
335000,1,1.00,23,23
336000,1,1.00,23,23
337000,1,1.00,23,23
338000,1,1.00,23,23
339000,1,1.00,23,23
340000,1,1.00,23,23
341000,1,1.00,23,23
342000,1,1.00,23,23
343000,1,1.00,23,23
344000,1,1.00,23,23
345000,1,1.00,23,23
346000,1,1.00,23,23
347000,1,1.00,23,23
348000,1,1.00,23,23
349000,1,1.00,23,23
350000,1,1.00,23,23
351000,1,1.00,23,23
352000,1,1.00,23,23
353000,1,1.00,23,23
354000,1,1.00,23,23
355000,1,1.00,23,23
356000,1,1.00,23,23
357000,1,1.00,23,23
358000,1,1.00,23,23
359000,1,1.00,23,23
360000,1,1.00,23,23
361000,1,1.00,23,23
362000,1,1.00,23,23
363000,1,1.00,23,23
364000,1,1.00,23,23
365000,1,1.00,23,23
366000,1,1.00,23,23
367000,1,1.00,23,23
368000,1,1.00,23,23
369000,1,1.00,23,23
370000,1,1.00,23,23
371000,1,1.00,23,23
372000,1,1.00,23,23
373000,1,1.00,23,23
374000,1,1.00,23,23
375000,1,1.00,23,23
376000,1,1.00,23,23
377000,1,1.00,23,23
378000,1,1.00,23,23
379000,1,1.00,23,23
380000,1,1.00,23,23
381000,1,1.00,23,23
382000,1,1.00,23,23
383000,1,1.00,23,23
384000,1,1.00,23,23
385000,1,1.00,23,23
386000,1,1.00,23,23
387000,1,1.00,23,23
388000,1,1.00,23,23
389000,1,1.00,23,23
390000,1,1.00,23,23
391000,1,1.00,23,23
392000,1,1.00,23,23
393000,1,1.00,23,23
394000,1,1.00,23,23
395000,1,1.00,23,23
396000,1,1.00,23,23
397000,1,1.00,23,23
398000,1,1.00,23,23
399000,1,1.00,23,23
400000,1,1.00,23,23
401000,1,1.00,23,23
402000,1,1.00,23,23
403000,1,1.00,23,23
404000,1,1.00,23,23
405000,1,1.00,23,23
406000,1,1.00,23,23
407000,1,1.00,23,23
408000,1,1.00,23,23
409000,1,1.00,23,23
410000,1,1.00,23,23
411000,1,1.00,23,23
412000,1,1.00,23,23
413000,1,1.00,23,23
414000,1,1.00,23,23
415000,1,1.00,23,23
416000,1,1.00,23,23
417000,1,1.00,23,23
418000,1,1.00,23,23
419000,1,1.00,23,23
420000,1,1.00,23,23
421000,1,1.00,23,23
422000,1,1.00,23,23
423000,1,1.00,23,23
424000,1,1.00,23,23
425000,1,1.00,23,23
426000,1,1.00,23,23
427000,1,1.00,23,23
428000,1,1.00,23,23
429000,1,1.00,23,23
430000,1,1.00,23,23
431000,1,1.00,23,23
432000,1,1.00,23,23
433000,1,1.00,23,23
434000,1,1.00,23,23
435000,1,1.00,23,23
436000,1,1.00,23,23
437000,1,1.00,23,23
438000,1,1.00,23,23
439000,1,1.00,23,23
440000,1,1.00,23,23
441000,1,1.00,23,23
442000,1,1.00,23,23
443000,1,1.00,23,23
444000,1,1.00,23,23
445000,1,1.00,23,23
446000,1,1.00,23,23
447000,1,1.00,23,23
448000,1,1.00,23,23
449000,1,1.00,23,23
450000,1,1.00,23,23
451000,1,1.00,23,23
452000,1,1.00,23,23
453000,1,1.00,23,23
454000,1,1.00,23,23
455000,1,1.00,23,23
456000,1,1.00,23,23
457000,1,1.00,23,23
458000,1,1.00,23,23
459000,1,1.00,23,23
460000,1,1.00,23,23
461000,1,1.00,23,23
462000,1,1.00,23,23
463000,1,1.00,23,23
464000,1,1.00,23,23
465000,1,1.00,23,23
466000,1,1.00,23,23
467000,1,1.00,23,23
468000,1,1.00,23,23
469000,1,1.00,23,23
470000,1,1.00,23,23
471000,1,1.00,23,23
472000,1,1.00,23,23
473000,1,1.00,23,23
474000,1,1.00,23,23
475000,1,1.00,23,23
476000,1,1.00,23,23
477000,1,1.00,23,23
478000,1,1.00,23,23
479000,1,1.00,23,23
480000,1,1.00,23,23
481000,1,1.00,23,23
482000,1,1.00,23,23
483000,1,1.00,23,23
484000,1,1.00,23,23
485000,1,1.00,23,23
486000,1,1.00,23,23
487000,1,1.00,23,23
488000,1,1.00,23,23
489000,1,1.00,23,23
490000,1,1.00,23,23
491000,1,1.00,23,23
492000,1,1.00,23,23
493000,1,1.00,23,23
494000,1,1.00,23,23
495000,1,1.00,23,23
496000,1,1.00,23,23
497000,1,1.00,23,23
498000,1,1.00,23,23
499000,1,1.00,23,23
500000,1,1.00,23,23
501000,1,1.00,23,23
502000,1,1.00,23,23
503000,1,1.00,23,23
504000,1,1.00,23,23
505000,1,1.00,23,23
506000,1,1.00,23,23
507000,1,1.00,23,23
508000,1,1.00,23,23
509000,1,1.00,23,23
510000,1,1.00,23,23
511000,1,1.00,23,23
512000,1,1.00,23,23
513000,1,1.00,23,23
514000,1,1.00,23,23
515000,1,1.00,23,23
516000,1,1.00,23,23
517000,1,1.00,23,23
518000,1,1.00,23,23
519000,1,1.00,23,23
520000,1,1.00,23,23
521000,1,1.00,23,23
522000,1,1.00,23,23
523000,1,1.00,23,23
524000,1,1.00,23,23
525000,1,1.00,23,23
526000,1,1.00,23,23
527000,1,1.00,23,23
528000,1,1.00,23,23
529000,1,1.00,23,23
530000,1,1.00,23,23
531000,1,1.00,23,23
532000,1,1.00,23,23
533000,1,1.00,23,23
534000,1,1.00,23,23
535000,1,1.00,23,23
536000,1,1.00,23,23
537000,1,1.00,23,23
538000,1,1.00,23,23
539000,1,1.00,23,23
540000,1,1.00,23,23
541000,1,1.00,23,23
542000,1,1.00,23,23
543000,1,1.00,23,23
544000,1,1.00,23,23
545000,1,1.00,23,23
546000,1,1.00,23,23
547000,1,1.00,23,23
548000,1,1.00,23,23
549000,1,1.00,23,23
550000,1,1.00,23,23
551000,1,1.00,23,23
552000,1,1.00,23,23
553000,1,1.00,23,23
554000,1,1.00,23,23
555000,1,1.00,23,23
556000,1,1.00,23,23
557000,1,1.00,23,23
558000,1,1.00,23,23
559000,1,1.00,23,23
560000,1,1.00,23,23
561000,1,1.00,23,23
562000,1,1.00,23,23
563000,1,1.00,23,23
564000,1,1.00,23,23
565000,1,1.00,23,23
566000,1,1.00,23,23
567000,1,1.00,23,23
568000,1,1.00,23,23
569000,1,1.00,23,23
570000,1,1.00,23,23
571000,1,1.00,23,23
572000,1,1.00,23,23
573000,1,1.00,23,23
574000,1,1.00,23,23
575000,1,1.00,23,23
576000,1,1.00,23,23
577000,1,1.00,23,23
578000,1,1.00,23,23
579000,1,1.00,23,23
580000,1,1.00,23,23
581000,1,1.00,23,23
582000,1,1.00,23,23
583000,1,1.00,23,23
584000,1,1.00,23,23
585000,1,1.00,23,23
586000,1,1.00,23,23
587000,1,1.00,23,23
588000,1,1.00,23,23
589000,1,1.00,23,23
590000,1,1.00,23,23
591000,1,1.00,23,23
592000,1,1.00,23,23
593000,1,1.00,23,23
594000,1,1.00,23,23
595000,1,1.00,23,23
596000,1,1.00,23,23
597000,1,1.00,23,23
598000,1,1.00,23,23
599000,1,1.00,23,23
600000,1,1.00,23,23
