time,running,percent,total,covered
1000,0,0.00,25,0
2000,1,0.16,25,4
3000,1,0.64,25,16
4000,1,0.64,25,16
5000,1,0.68,25,17
6000,1,0.68,25,17
7000,1,0.68,25,17
8000,1,0.72,25,18
9000,1,0.72,25,18
10000,1,0.72,25,18
11000,1,0.72,25,18
12000,1,0.72,25,18
13000,1,0.72,25,18
14000,1,0.72,25,18
15000,1,0.72,25,18
16000,1,0.72,25,18
17000,1,0.72,25,18
18000,1,0.72,25,18
19000,1,0.72,25,18
20000,1,0.72,25,18
21000,1,0.72,25,18
22000,1,0.72,25,18
23000,1,0.72,25,18
24000,1,0.84,25,21
25000,1,0.84,25,21
26000,1,0.84,25,21
27000,1,0.84,25,21
28000,1,0.84,25,21
29000,1,0.84,25,21
30000,1,0.84,25,21
31000,1,0.84,25,21
32000,1,0.84,25,21
33000,1,0.84,25,21
34000,1,0.84,25,21
35000,1,0.84,25,21
36000,1,0.84,25,21
37000,1,0.84,25,21
38000,1,0.84,25,21
39000,1,0.84,25,21
40000,1,0.84,25,21
41000,1,0.84,25,21
42000,1,0.84,25,21
43000,1,0.84,25,21
44000,1,0.84,25,21
45000,1,0.84,25,21
46000,1,0.84,25,21
47000,1,0.84,25,21
48000,1,0.84,25,21
49000,1,0.84,25,21
50000,1,0.84,25,21
51000,1,0.84,25,21
52000,1,0.84,25,21
53000,1,0.84,25,21
54000,1,0.84,25,21
55000,1,0.84,25,21
56000,1,0.84,25,21
57000,1,0.84,25,21
58000,1,0.84,25,21
59000,1,0.84,25,21
60000,1,0.84,25,21
61000,1,0.84,25,21
62000,1,0.84,25,21
63000,1,0.84,25,21
64000,1,0.84,25,21
65000,1,0.84,25,21
66000,1,0.84,25,21
67000,1,1.00,25,25
68000,1,1.00,25,25
69000,1,1.00,25,25
70000,1,1.00,25,25
71000,1,1.00,25,25
72000,1,1.00,25,25
73000,1,1.00,25,25
74000,1,1.00,25,25
75000,1,1.00,25,25
76000,1,1.00,25,25
77000,1,1.00,25,25
78000,1,1.00,25,25
79000,1,1.00,25,25
80000,1,1.00,25,25
81000,1,1.00,25,25
82000,1,1.00,25,25
83000,1,1.00,25,25
84000,1,1.00,25,25
85000,1,1.00,25,25
86000,1,1.00,25,25
87000,1,1.00,25,25
88000,1,1.00,25,25
89000,1,1.00,25,25
90000,1,1.00,25,25
91000,1,1.00,25,25
92000,1,1.00,25,25
93000,1,1.00,25,25
94000,1,1.00,25,25
95000,1,1.00,25,25
96000,1,1.00,25,25
97000,1,1.00,25,25
98000,1,1.00,25,25
99000,1,1.00,25,25
100000,1,1.00,25,25
101000,1,1.00,25,25
102000,1,1.00,25,25
103000,1,1.00,25,25
104000,1,1.00,25,25
105000,1,1.00,25,25
106000,1,1.00,25,25
107000,1,1.00,25,25
108000,1,1.00,25,25
109000,1,1.00,25,25
110000,1,1.00,25,25
111000,1,1.00,25,25
112000,1,1.00,25,25
113000,1,1.00,25,25
114000,1,1.00,25,25
115000,1,1.00,25,25
116000,1,1.00,25,25
117000,1,1.00,25,25
118000,1,1.00,25,25
119000,1,1.00,25,25
120000,1,1.00,25,25
121000,1,1.00,25,25
122000,1,1.00,25,25
123000,1,1.00,25,25
124000,1,1.00,25,25
125000,1,1.00,25,25
126000,1,1.00,25,25
127000,1,1.00,25,25
