time,running,percent,total,covered
1000,1,0.64,165,106
2000,1,0.68,165,112
3000,1,0.69,165,114
4000,1,0.69,165,114
5000,1,0.70,165,116
6000,1,0.70,165,116
7000,1,0.71,165,117
8000,1,0.71,165,117
9000,1,0.71,165,117
10000,1,0.71,165,117
11000,1,0.71,165,117
12000,1,0.71,165,117
13000,1,0.71,165,117
14000,1,0.71,165,117
15000,1,0.71,165,117
16000,1,0.71,165,117
17000,1,0.71,165,117
18000,1,0.71,165,117
19000,1,0.71,165,117
20000,1,0.71,165,117
21000,1,0.71,165,117
22000,1,0.71,165,117
23000,1,0.71,165,117
24000,1,0.71,165,117
25000,1,0.71,165,117
26000,1,0.71,165,117
27000,1,0.71,165,117
28000,1,0.71,165,117
29000,1,0.71,165,117
30000,1,0.71,165,117
31000,1,0.71,165,117
32000,1,0.71,165,117
33000,1,0.71,165,117
34000,1,0.71,165,117
35000,1,0.71,165,117
36000,1,0.71,165,117
37000,1,0.71,165,117
38000,1,0.71,165,117
39000,1,0.71,165,117
40000,1,0.71,165,117
41000,1,0.71,165,117
42000,1,0.71,165,117
43000,1,0.71,165,117
44000,1,0.71,165,117
45000,1,0.71,165,117
46000,1,0.71,165,117
47000,1,0.71,165,117
48000,1,0.71,165,117
49000,1,0.71,165,117
50000,1,0.71,165,117
51000,1,0.71,165,117
52000,1,0.71,165,117
53000,1,0.71,165,117
54000,1,0.71,165,117
55000,1,0.71,165,117
56000,1,0.71,165,117
57000,1,0.71,165,117
58000,1,0.71,165,117
59000,1,0.71,165,117
60000,1,0.71,165,117
61000,1,0.71,165,117
62000,1,0.71,165,117
63000,1,0.71,165,117
64000,1,0.71,165,117
65000,1,0.71,165,117
66000,1,0.71,165,117
67000,1,0.71,165,117
68000,1,0.71,165,117
69000,1,0.71,165,117
70000,1,0.71,165,117
71000,1,0.71,165,117
72000,1,0.71,165,117
73000,1,0.71,165,117
74000,1,0.71,165,117
75000,1,0.71,165,117
76000,1,0.71,165,117
77000,1,0.71,165,117
78000,1,0.71,165,117
79000,1,0.71,165,117
80000,1,0.71,165,117
81000,1,0.71,165,117
82000,1,0.71,165,117
83000,1,0.71,165,117
84000,1,0.71,165,117
85000,1,0.71,165,117
86000,1,0.71,165,117
87000,1,0.71,165,117
88000,1,0.71,165,117
89000,1,0.71,165,117
90000,1,0.71,165,117
91000,1,0.71,165,117
92000,1,0.71,165,117
93000,1,0.71,165,117
94000,1,0.71,165,117
95000,1,0.71,165,117
96000,1,0.71,165,117
97000,1,0.71,165,117
98000,1,0.71,165,117
99000,1,0.71,165,117
100000,1,0.71,165,117
101000,1,0.71,165,117
102000,1,0.71,165,117
103000,1,0.71,165,117
104000,1,0.71,165,117
105000,1,0.71,165,117
106000,1,0.71,165,117
107000,1,0.71,165,117
108000,1,0.71,165,117
109000,1,0.71,165,117
110000,1,0.71,165,117
111000,1,0.71,165,117
112000,1,0.71,165,117
113000,1,0.71,165,117
114000,1,0.71,165,117
115000,1,0.71,165,117
116000,1,0.71,165,117
117000,1,0.71,165,117
118000,1,0.71,165,117
119000,1,0.71,165,117
120000,1,0.71,165,117
121000,1,0.71,165,117
122000,1,0.71,165,117
123000,1,0.71,165,117
124000,1,0.71,165,117
125000,1,0.71,165,117
126000,1,0.71,165,117
127000,1,0.71,165,117
128000,1,0.71,165,117
129000,1,0.71,165,117
130000,1,0.71,165,117
131000,1,0.71,165,117
132000,1,0.71,165,117
133000,1,0.71,165,117
134000,1,0.71,165,117
135000,1,0.71,165,117
136000,1,0.71,165,117
137000,1,0.71,165,117
138000,1,0.71,165,117
139000,1,0.72,165,118
140000,1,0.72,165,118
141000,1,0.72,165,118
142000,1,0.72,165,118
143000,1,0.72,165,118
144000,1,0.72,165,118
145000,1,0.72,165,118
146000,1,0.72,165,118
147000,1,0.72,165,118
148000,1,0.72,165,118
149000,1,0.72,165,118
150000,1,0.72,165,118
151000,1,0.72,165,118
152000,1,0.72,165,118
153000,1,0.72,165,118
154000,1,0.72,165,118
155000,1,0.72,165,118
156000,1,0.72,165,118
157000,1,0.72,165,118
158000,1,0.72,165,118
159000,1,0.72,165,118
160000,1,0.72,165,118
161000,1,0.72,165,118
162000,1,0.72,165,118
163000,1,0.72,165,118
164000,1,0.72,165,118
165000,1,0.72,165,118
166000,1,0.72,165,118
167000,1,0.72,165,118
168000,1,0.72,165,118
169000,1,0.72,165,118
170000,1,0.72,165,118
171000,1,0.72,165,118
172000,1,0.72,165,118
173000,1,0.72,165,118
