time,running,percent,total,covered
1000,0,0.00,18,0
2000,0,0.00,18,0
3000,1,0.11,18,2
4000,1,0.22,18,4
5000,1,0.28,18,5
6000,1,0.33,18,6
7000,1,0.33,18,6
8000,1,0.33,18,6
9000,1,0.33,18,6
10000,1,0.33,18,6
11000,1,0.50,18,9
12000,1,0.61,18,11
13000,1,0.61,18,11
14000,1,0.67,18,12
15000,1,0.67,18,12
16000,1,0.72,18,13
17000,1,0.72,18,13
18000,1,0.78,18,14
19000,1,0.78,18,14
20000,1,0.83,18,15
21000,1,0.94,18,17
22000,1,0.94,18,17
23000,1,1.00,18,18
24000,1,1.00,18,18
25000,1,1.00,18,18
26000,1,1.00,18,18
27000,1,1.00,18,18
28000,1,1.00,18,18
29000,1,1.00,18,18
30000,1,1.00,18,18
31000,1,1.00,18,18
32000,1,1.00,18,18
33000,1,1.00,18,18
34000,1,1.00,18,18
35000,1,1.00,18,18
36000,1,1.00,18,18
37000,1,1.00,18,18
38000,1,1.00,18,18
39000,1,1.00,18,18
40000,1,1.00,18,18
41000,1,1.00,18,18
42000,1,1.00,18,18
43000,1,1.00,18,18
44000,1,1.00,18,18
45000,1,1.00,18,18
46000,1,1.00,18,18
47000,1,1.00,18,18
48000,1,1.00,18,18
49000,1,1.00,18,18
50000,1,1.00,18,18
51000,1,1.00,18,18
52000,1,1.00,18,18
53000,1,1.00,18,18
54000,1,1.00,18,18
55000,1,1.00,18,18
56000,1,1.00,18,18
57000,1,1.00,18,18
58000,1,1.00,18,18
59000,1,1.00,18,18
60000,1,1.00,18,18
61000,1,1.00,18,18
62000,1,1.00,18,18
63000,1,1.00,18,18
64000,1,1.00,18,18
65000,1,1.00,18,18
66000,1,1.00,18,18
67000,1,1.00,18,18
68000,1,1.00,18,18
69000,1,1.00,18,18
70000,1,1.00,18,18
71000,1,1.00,18,18
72000,1,1.00,18,18
73000,1,1.00,18,18
74000,1,1.00,18,18
75000,1,1.00,18,18
76000,1,1.00,18,18
77000,1,1.00,18,18
78000,1,1.00,18,18
79000,1,1.00,18,18
80000,1,1.00,18,18
81000,1,1.00,18,18
82000,1,1.00,18,18
83000,1,1.00,18,18
84000,1,1.00,18,18
85000,1,1.00,18,18
86000,1,1.00,18,18
87000,1,1.00,18,18
88000,1,1.00,18,18
89000,1,1.00,18,18
90000,1,1.00,18,18
91000,1,1.00,18,18
92000,1,1.00,18,18
93000,1,1.00,18,18
94000,1,1.00,18,18
95000,1,1.00,18,18
96000,1,1.00,18,18
97000,1,1.00,18,18
98000,1,1.00,18,18
99000,1,1.00,18,18
100000,1,1.00,18,18
101000,1,1.00,18,18
102000,1,1.00,18,18
103000,1,1.00,18,18
104000,1,1.00,18,18
105000,1,1.00,18,18
106000,1,1.00,18,18
107000,1,1.00,18,18
108000,1,1.00,18,18
109000,1,1.00,18,18
110000,1,1.00,18,18
111000,1,1.00,18,18
112000,1,1.00,18,18
113000,1,1.00,18,18
114000,1,1.00,18,18
115000,1,1.00,18,18
116000,1,1.00,18,18
117000,1,1.00,18,18
118000,1,1.00,18,18
119000,1,1.00,18,18
120000,1,1.00,18,18
121000,1,1.00,18,18
122000,1,1.00,18,18
123000,1,1.00,18,18
124000,1,1.00,18,18
125000,1,1.00,18,18
126000,1,1.00,18,18
127000,1,1.00,18,18
128000,1,1.00,18,18
129000,1,1.00,18,18
130000,1,1.00,18,18
131000,1,1.00,18,18
132000,1,1.00,18,18
133000,1,1.00,18,18
134000,1,1.00,18,18
135000,1,1.00,18,18
