time,running,percent,total,covered
1000,0,0.12,26,3
2000,0,0.12,26,3
3000,0,0.12,26,3
4000,1,0.27,26,7
5000,1,0.35,26,9
6000,1,0.35,26,9
7000,1,0.50,26,13
8000,1,0.50,26,13
9000,1,0.54,26,14
10000,1,0.54,26,14
11000,1,0.54,26,14
12000,1,0.54,26,14
13000,1,0.54,26,14
14000,1,0.54,26,14
15000,1,0.54,26,14
16000,1,0.54,26,14
17000,1,0.54,26,14
18000,1,0.54,26,14
19000,1,0.62,26,16
20000,1,0.62,26,16
21000,1,0.62,26,16
22000,1,0.62,26,16
23000,1,0.62,26,16
24000,1,0.65,26,17
25000,1,0.73,26,19
26000,1,0.73,26,19
27000,0,0.73,26,19
28000,0,0.73,26,19
29000,0,0.73,26,19
30000,0,0.73,26,19
31000,0,0.73,26,19
32000,1,0.73,26,19
33000,1,0.73,26,19
34000,1,0.73,26,19
35000,1,0.73,26,19
36000,1,0.73,26,19
37000,1,0.73,26,19
38000,1,0.73,26,19
39000,1,0.73,26,19
40000,1,0.73,26,19
41000,1,0.73,26,19
42000,1,0.73,26,19
43000,1,0.73,26,19
44000,1,0.73,26,19
45000,1,0.73,26,19
46000,1,0.73,26,19
47000,1,0.73,26,19
48000,1,0.73,26,19
49000,1,0.73,26,19
50000,1,0.73,26,19
51000,1,0.73,26,19
52000,1,0.73,26,19
53000,1,0.73,26,19
54000,1,0.73,26,19
55000,1,0.73,26,19
56000,1,0.73,26,19
57000,1,0.73,26,19
58000,1,0.73,26,19
59000,1,0.73,26,19
60000,1,0.73,26,19
61000,1,0.73,26,19
62000,1,0.73,26,19
63000,1,0.73,26,19
64000,1,0.73,26,19
65000,1,0.73,26,19
66000,1,0.73,26,19
67000,1,0.73,26,19
68000,1,0.73,26,19
69000,1,0.73,26,19
70000,1,0.73,26,19
71000,1,0.73,26,19
72000,1,0.73,26,19
73000,1,0.73,26,19
74000,1,0.73,26,19
75000,1,0.73,26,19
76000,1,0.73,26,19
77000,1,0.73,26,19
78000,1,0.73,26,19
79000,1,0.73,26,19
80000,1,0.73,26,19
81000,1,1.00,26,26
82000,0,1.00,26,26
83000,0,1.00,26,26
84000,0,1.00,26,26
85000,1,1.00,26,26
86000,1,1.00,26,26
87000,1,1.00,26,26
88000,1,1.00,26,26
89000,1,1.00,26,26
90000,1,1.00,26,26
91000,1,1.00,26,26
92000,1,1.00,26,26
93000,1,1.00,26,26
94000,1,1.00,26,26
95000,1,1.00,26,26
96000,1,1.00,26,26
97000,1,1.00,26,26
98000,1,1.00,26,26
99000,1,1.00,26,26
100000,1,1.00,26,26
101000,1,1.00,26,26
102000,1,1.00,26,26
103000,1,1.00,26,26
104000,1,1.00,26,26
105000,1,1.00,26,26
106000,1,1.00,26,26
107000,1,1.00,26,26
108000,1,1.00,26,26
109000,0,1.00,26,26
110000,1,1.00,26,26
111000,1,1.00,26,26
112000,1,1.00,26,26
113000,1,1.00,26,26
114000,1,1.00,26,26
115000,1,1.00,26,26
116000,1,1.00,26,26
117000,1,1.00,26,26
118000,0,1.00,26,26
119000,1,1.00,26,26
120000,1,1.00,26,26
121000,1,1.00,26,26
122000,1,1.00,26,26
123000,1,1.00,26,26
124000,1,1.00,26,26
125000,1,1.00,26,26
126000,1,1.00,26,26
127000,1,1.00,26,26
128000,1,1.00,26,26
129000,1,1.00,26,26
130000,1,1.00,26,26
131000,1,1.00,26,26
132000,1,1.00,26,26
133000,1,1.00,26,26
134000,1,1.00,26,26
135000,1,1.00,26,26
136000,1,1.00,26,26
137000,1,1.00,26,26
138000,1,1.00,26,26
139000,1,1.00,26,26
140000,1,1.00,26,26
141000,1,1.00,26,26
142000,1,1.00,26,26
143000,1,1.00,26,26
144000,1,1.00,26,26
145000,1,1.00,26,26
146000,1,1.00,26,26
147000,1,1.00,26,26
148000,1,1.00,26,26
149000,1,1.00,26,26
150000,1,1.00,26,26
151000,1,1.00,26,26
152000,1,1.00,26,26
153000,1,1.00,26,26
154000,0,1.00,26,26
155000,0,1.00,26,26
156000,0,1.00,26,26
157000,0,1.00,26,26
158000,0,1.00,26,26
159000,0,1.00,26,26
160000,0,1.00,26,26
161000,1,1.00,26,26
162000,1,1.00,26,26
163000,1,1.00,26,26
164000,1,1.00,26,26
165000,1,1.00,26,26
166000,1,1.00,26,26
167000,1,1.00,26,26
168000,1,1.00,26,26
169000,1,1.00,26,26
170000,1,1.00,26,26
171000,1,1.00,26,26
172000,1,1.00,26,26
173000,1,1.00,26,26
174000,1,1.00,26,26
175000,1,1.00,26,26
176000,1,1.00,26,26
177000,1,1.00,26,26
178000,1,1.00,26,26
179000,1,1.00,26,26
180000,1,1.00,26,26
181000,1,1.00,26,26
182000,1,1.00,26,26
183000,1,1.00,26,26
184000,1,1.00,26,26
185000,1,1.00,26,26
186000,0,1.00,26,26
187000,0,1.00,26,26
188000,0,1.00,26,26
189000,0,1.00,26,26
190000,1,1.00,26,26
191000,1,1.00,26,26
192000,1,1.00,26,26
193000,1,1.00,26,26
194000,1,1.00,26,26
195000,1,1.00,26,26
196000,1,1.00,26,26
197000,1,1.00,26,26
198000,1,1.00,26,26
199000,1,1.00,26,26
200000,1,1.00,26,26
201000,1,1.00,26,26
202000,1,1.00,26,26
203000,1,1.00,26,26
204000,1,1.00,26,26
205000,1,1.00,26,26
206000,1,1.00,26,26
207000,1,1.00,26,26
208000,1,1.00,26,26
209000,1,1.00,26,26
210000,1,1.00,26,26
211000,1,1.00,26,26
212000,1,1.00,26,26
213000,1,1.00,26,26
214000,1,1.00,26,26
215000,1,1.00,26,26
216000,1,1.00,26,26
217000,1,1.00,26,26
218000,1,1.00,26,26
219000,1,1.00,26,26
220000,1,1.00,26,26
221000,1,1.00,26,26
222000,1,1.00,26,26
223000,1,1.00,26,26
224000,1,1.00,26,26
225000,1,1.00,26,26
226000,1,1.00,26,26
227000,1,1.00,26,26
228000,1,1.00,26,26
229000,1,1.00,26,26
230000,1,1.00,26,26
231000,1,1.00,26,26
232000,1,1.00,26,26
233000,1,1.00,26,26
234000,1,1.00,26,26
235000,1,1.00,26,26
236000,0,1.00,26,26
237000,1,1.00,26,26
238000,1,1.00,26,26
239000,1,1.00,26,26
240000,1,1.00,26,26
241000,1,1.00,26,26
242000,1,1.00,26,26
243000,1,1.00,26,26
244000,1,1.00,26,26
245000,1,1.00,26,26
246000,1,1.00,26,26
247000,1,1.00,26,26
248000,1,1.00,26,26
249000,1,1.00,26,26
250000,1,1.00,26,26
251000,1,1.00,26,26
252000,1,1.00,26,26
253000,1,1.00,26,26
254000,1,1.00,26,26
255000,1,1.00,26,26
256000,1,1.00,26,26
257000,1,1.00,26,26
258000,1,1.00,26,26
259000,1,1.00,26,26
260000,1,1.00,26,26
261000,1,1.00,26,26
262000,1,1.00,26,26
263000,1,1.00,26,26
264000,1,1.00,26,26
265000,1,1.00,26,26
266000,1,1.00,26,26
267000,1,1.00,26,26
268000,1,1.00,26,26
269000,1,1.00,26,26
270000,1,1.00,26,26
271000,1,1.00,26,26
272000,1,1.00,26,26
273000,1,1.00,26,26
274000,1,1.00,26,26
275000,1,1.00,26,26
276000,1,1.00,26,26
277000,1,1.00,26,26
278000,1,1.00,26,26
279000,1,1.00,26,26
280000,1,1.00,26,26
281000,1,1.00,26,26
282000,1,1.00,26,26
283000,1,1.00,26,26
284000,1,1.00,26,26
285000,1,1.00,26,26
286000,1,1.00,26,26
287000,1,1.00,26,26
288000,1,1.00,26,26
289000,1,1.00,26,26
290000,1,1.00,26,26
291000,1,1.00,26,26
292000,1,1.00,26,26
293000,1,1.00,26,26
294000,1,1.00,26,26
295000,0,1.00,26,26
296000,0,1.00,26,26
297000,0,1.00,26,26
298000,0,1.00,26,26
299000,0,1.00,26,26
300000,0,1.00,26,26
301000,0,1.00,26,26
302000,0,1.00,26,26
303000,0,1.00,26,26
304000,0,1.00,26,26
305000,0,1.00,26,26
306000,0,1.00,26,26
307000,0,1.00,26,26
308000,0,1.00,26,26
309000,0,1.00,26,26
310000,0,1.00,26,26
311000,1,1.00,26,26
312000,1,1.00,26,26
313000,1,1.00,26,26
314000,1,1.00,26,26
315000,1,1.00,26,26
316000,1,1.00,26,26
317000,1,1.00,26,26
318000,1,1.00,26,26
319000,1,1.00,26,26
320000,1,1.00,26,26
321000,1,1.00,26,26
322000,1,1.00,26,26
323000,1,1.00,26,26
324000,1,1.00,26,26
325000,1,1.00,26,26
326000,1,1.00,26,26
327000,1,1.00,26,26
328000,0,1.00,26,26
329000,1,1.00,26,26
330000,1,1.00,26,26
331000,1,1.00,26,26
332000,1,1.00,26,26
333000,1,1.00,26,26
334000,1,1.00,26,26
335000,1,1.00,26,26
336000,1,1.00,26,26
337000,1,1.00,26,26
338000,0,1.00,26,26
339000,0,1.00,26,26
340000,0,1.00,26,26
341000,1,1.00,26,26
342000,1,1.00,26,26
343000,1,1.00,26,26
344000,1,1.00,26,26
345000,1,1.00,26,26
346000,1,1.00,26,26
347000,1,1.00,26,26
348000,1,1.00,26,26
349000,1,1.00,26,26
