time,running,percent,total,covered
1000,1,0.49,76,37
2000,1,0.61,76,46
3000,1,0.72,76,55
4000,1,0.72,76,55
5000,1,0.80,76,61
6000,1,0.83,76,63
7000,1,0.83,76,63
8000,1,0.84,76,64
9000,1,0.84,76,64
10000,1,0.84,76,64
11000,1,0.84,76,64
12000,1,0.84,76,64
13000,1,0.95,76,72
14000,1,0.95,76,72
15000,1,0.95,76,72
16000,1,0.95,76,72
17000,1,0.95,76,72
18000,1,0.95,76,72
19000,1,0.95,76,72
20000,1,0.95,76,72
21000,1,0.95,76,72
22000,1,0.95,76,72
23000,1,0.95,76,72
24000,1,0.95,76,72
25000,1,0.95,76,72
26000,1,0.95,76,72
27000,1,0.95,76,72
28000,1,0.95,76,72
29000,1,0.95,76,72
30000,1,0.95,76,72
31000,1,0.95,76,72
32000,1,0.95,76,72
33000,1,0.95,76,72
34000,1,0.95,76,72
35000,1,0.95,76,72
36000,1,0.95,76,72
37000,1,0.95,76,72
38000,1,0.95,76,72
39000,1,0.95,76,72
40000,1,0.95,76,72
41000,1,0.95,76,72
42000,1,0.95,76,72
43000,1,0.95,76,72
44000,1,0.95,76,72
45000,1,0.95,76,72
46000,1,0.95,76,72
47000,1,0.95,76,72
48000,1,0.95,76,72
49000,1,0.95,76,72
50000,1,0.95,76,72
51000,1,0.95,76,72
52000,1,0.95,76,72
53000,1,0.95,76,72
54000,1,0.95,76,72
55000,1,0.95,76,72
56000,1,0.95,76,72
57000,0,1.00,76,76
58000,0,1.00,76,76
59000,0,1.00,76,76
60000,0,1.00,76,76
61000,0,1.00,76,76
62000,0,1.00,76,76
63000,0,1.00,76,76
64000,0,1.00,76,76
65000,0,1.00,76,76
66000,0,1.00,76,76
67000,0,1.00,76,76
68000,0,1.00,76,76
69000,0,1.00,76,76
70000,0,1.00,76,76
71000,0,1.00,76,76
72000,0,1.00,76,76
73000,0,1.00,76,76
74000,0,1.00,76,76
75000,0,1.00,76,76
76000,0,1.00,76,76
77000,0,1.00,76,76
78000,0,1.00,76,76
79000,0,1.00,76,76
80000,0,1.00,76,76
81000,0,1.00,76,76
82000,0,1.00,76,76
83000,0,1.00,76,76
84000,0,1.00,76,76
85000,0,1.00,76,76
86000,0,1.00,76,76
87000,0,1.00,76,76
88000,0,1.00,76,76
89000,0,1.00,76,76
90000,0,1.00,76,76
91000,0,1.00,76,76
92000,0,1.00,76,76
93000,0,1.00,76,76
94000,0,1.00,76,76
95000,0,1.00,76,76
96000,0,1.00,76,76
97000,0,1.00,76,76
98000,0,1.00,76,76
99000,0,1.00,76,76
100000,0,1.00,76,76
101000,0,1.00,76,76
102000,0,1.00,76,76
103000,0,1.00,76,76
104000,0,1.00,76,76
105000,0,1.00,76,76
106000,0,1.00,76,76
107000,0,1.00,76,76
108000,0,1.00,76,76
109000,0,1.00,76,76
110000,0,1.00,76,76
111000,0,1.00,76,76
112000,0,1.00,76,76
113000,0,1.00,76,76
114000,0,1.00,76,76
115000,0,1.00,76,76
116000,0,1.00,76,76
117000,0,1.00,76,76
118000,0,1.00,76,76
119000,0,1.00,76,76
120000,0,1.00,76,76
121000,0,1.00,76,76
