time,running,percent,total,covered
1000,1,0.30,37,11
2000,1,0.57,37,21
3000,1,0.57,37,21
4000,1,0.57,37,21
5000,1,0.57,37,21
6000,1,0.57,37,21
7000,1,0.57,37,21
8000,1,0.57,37,21
9000,1,0.57,37,21
10000,1,0.57,37,21
11000,1,0.57,37,21
12000,1,0.57,37,21
13000,1,0.57,37,21
14000,1,0.57,37,21
15000,1,0.57,37,21
16000,1,0.57,37,21
17000,1,0.57,37,21
18000,1,0.57,37,21
19000,1,0.57,37,21
20000,1,0.57,37,21
21000,1,0.57,37,21
22000,1,0.57,37,21
23000,1,0.57,37,21
24000,1,0.57,37,21
25000,1,0.57,37,21
26000,1,0.57,37,21
27000,1,0.57,37,21
28000,1,0.57,37,21
29000,1,0.57,37,21
30000,1,0.57,37,21
31000,1,0.57,37,21
32000,1,0.57,37,21
33000,1,0.57,37,21
34000,1,0.57,37,21
35000,1,0.57,37,21
36000,1,0.57,37,21
37000,1,0.57,37,21
38000,1,0.57,37,21
39000,1,0.57,37,21
40000,1,0.57,37,21
41000,1,0.57,37,21
42000,1,0.57,37,21
43000,1,0.57,37,21
44000,1,0.57,37,21
45000,1,0.57,37,21
46000,1,0.57,37,21
47000,1,0.57,37,21
48000,1,0.57,37,21
49000,1,0.57,37,21
50000,1,0.57,37,21
51000,1,0.57,37,21
52000,1,0.57,37,21
53000,1,0.57,37,21
54000,1,0.57,37,21
55000,1,0.57,37,21
56000,1,0.57,37,21
57000,1,0.57,37,21
58000,1,0.57,37,21
59000,1,0.57,37,21
60000,1,0.57,37,21
61000,1,0.57,37,21
62000,1,0.57,37,21
63000,1,0.57,37,21
64000,1,0.57,37,21
65000,1,0.57,37,21
66000,1,0.57,37,21
67000,1,0.57,37,21
68000,1,0.57,37,21
69000,1,0.57,37,21
70000,1,0.57,37,21
71000,1,0.57,37,21
72000,1,0.57,37,21
73000,1,0.57,37,21
74000,1,0.57,37,21
75000,1,0.57,37,21
76000,1,0.57,37,21
77000,1,0.57,37,21
78000,1,0.57,37,21
79000,1,0.57,37,21
