time,running,percent,total,covered
1000,1,0.79,68,54
2000,1,0.85,68,58
3000,0,0.90,68,61
4000,0,0.90,68,61
5000,0,0.90,68,61
6000,0,0.90,68,61
7000,0,0.90,68,61
8000,0,0.90,68,61
9000,0,0.90,68,61
10000,0,0.90,68,61
11000,0,0.90,68,61
12000,1,0.90,68,61
13000,0,0.90,68,61
14000,0,0.90,68,61
15000,0,0.90,68,61
16000,0,0.90,68,61
17000,0,0.90,68,61
18000,0,0.90,68,61
19000,0,0.90,68,61
20000,0,0.90,68,61
21000,0,0.90,68,61
22000,1,0.90,68,61
23000,1,0.90,68,61
24000,0,0.90,68,61
25000,0,0.90,68,61
26000,0,0.90,68,61
27000,1,0.90,68,61
28000,0,0.90,68,61
29000,0,0.90,68,61
30000,0,0.90,68,61
31000,0,0.90,68,61
32000,0,0.90,68,61
33000,0,0.90,68,61
34000,0,0.90,68,61
35000,1,0.90,68,61
36000,0,0.90,68,61
37000,0,0.90,68,61
38000,0,0.90,68,61
39000,0,0.90,68,61
40000,0,0.90,68,61
41000,1,0.90,68,61
42000,0,0.90,68,61
43000,0,0.90,68,61
44000,0,0.90,68,61
45000,1,0.90,68,61
46000,1,0.90,68,61
47000,0,0.90,68,61
48000,0,0.90,68,61
49000,0,0.90,68,61
50000,0,0.90,68,61
51000,0,0.90,68,61
52000,0,0.90,68,61
53000,1,0.90,68,61
54000,0,0.90,68,61
55000,1,0.90,68,61
56000,1,0.90,68,61
57000,0,0.90,68,61
58000,0,0.90,68,61
59000,0,0.90,68,61
60000,1,0.90,68,61
61000,0,0.90,68,61
62000,0,0.90,68,61
63000,1,0.90,68,61
64000,0,0.90,68,61
65000,0,0.90,68,61
66000,0,0.90,68,61
67000,1,0.90,68,61
68000,0,0.90,68,61
69000,1,0.90,68,61
70000,1,0.90,68,61
71000,0,0.90,68,61
72000,1,0.90,68,61
73000,1,0.90,68,61
74000,1,0.90,68,61
75000,1,0.90,68,61
76000,0,0.90,68,61
77000,0,0.90,68,61
78000,0,0.90,68,61
79000,1,0.90,68,61
80000,0,0.90,68,61
81000,0,0.90,68,61
82000,0,0.90,68,61
83000,0,0.90,68,61
84000,0,0.90,68,61
85000,0,0.90,68,61
86000,1,0.90,68,61
87000,0,0.90,68,61
88000,0,0.90,68,61
89000,0,0.90,68,61
90000,0,0.90,68,61
91000,0,0.90,68,61
92000,0,0.90,68,61
93000,0,0.90,68,61
94000,0,0.90,68,61
95000,0,0.90,68,61
96000,1,0.90,68,61
97000,1,0.90,68,61
98000,0,0.90,68,61
99000,0,0.90,68,61
100000,1,0.90,68,61
101000,0,0.90,68,61
102000,0,0.90,68,61
103000,0,0.90,68,61
104000,0,0.90,68,61
105000,0,0.90,68,61
106000,0,0.90,68,61
107000,1,0.90,68,61
108000,0,0.90,68,61
109000,1,0.90,68,61
110000,1,0.90,68,61
111000,0,0.90,68,61
112000,0,0.90,68,61
113000,0,0.90,68,61
114000,1,0.90,68,61
115000,0,0.90,68,61
116000,0,0.90,68,61
117000,0,0.90,68,61
118000,0,0.90,68,61
119000,1,0.90,68,61
120000,0,0.90,68,61
121000,0,0.90,68,61
122000,0,0.90,68,61
123000,0,0.90,68,61
124000,1,0.90,68,61
125000,0,0.90,68,61
126000,0,0.90,68,61
127000,0,0.90,68,61
128000,0,0.90,68,61
129000,0,0.90,68,61
130000,1,0.90,68,61
131000,0,0.90,68,61
132000,1,0.90,68,61
133000,1,0.90,68,61
134000,0,0.90,68,61
135000,1,0.90,68,61
136000,0,0.90,68,61
137000,1,0.90,68,61
138000,0,0.90,68,61
139000,1,0.90,68,61
140000,0,0.90,68,61
141000,0,0.90,68,61
142000,0,0.90,68,61
143000,1,0.90,68,61
144000,0,0.90,68,61
145000,0,0.90,68,61
146000,1,0.90,68,61
147000,0,0.90,68,61
148000,0,0.90,68,61
149000,0,0.90,68,61
150000,0,0.90,68,61
151000,1,0.90,68,61
152000,0,0.90,68,61
153000,1,0.90,68,61
154000,0,0.90,68,61
155000,0,0.90,68,61
156000,0,0.90,68,61
157000,0,0.90,68,61
158000,1,0.90,68,61
159000,0,0.90,68,61
160000,0,0.90,68,61
161000,0,0.90,68,61
162000,0,0.90,68,61
163000,0,0.90,68,61
164000,0,0.90,68,61
165000,0,0.90,68,61
166000,0,0.90,68,61
167000,0,0.90,68,61
168000,0,0.90,68,61
169000,0,0.90,68,61
170000,0,0.90,68,61
171000,0,0.90,68,61
172000,0,0.90,68,61
173000,1,0.90,68,61
174000,0,0.90,68,61
175000,0,0.90,68,61
176000,0,0.90,68,61
177000,0,0.90,68,61
178000,0,0.90,68,61
179000,0,0.90,68,61
180000,0,0.90,68,61
181000,0,0.90,68,61
182000,1,0.90,68,61
183000,1,0.90,68,61
184000,0,0.90,68,61
185000,1,0.90,68,61
186000,0,0.90,68,61
187000,1,0.90,68,61
188000,0,0.90,68,61
189000,0,0.90,68,61
190000,1,0.90,68,61
191000,0,0.90,68,61
192000,0,0.90,68,61
193000,1,0.90,68,61
194000,0,0.90,68,61
195000,0,0.90,68,61
196000,0,0.90,68,61
197000,1,0.90,68,61
198000,0,0.90,68,61
199000,1,0.90,68,61
200000,0,0.90,68,61
201000,0,0.90,68,61
202000,0,0.90,68,61
203000,0,0.90,68,61
204000,0,0.90,68,61
205000,0,0.90,68,61
206000,0,0.90,68,61
207000,0,0.90,68,61
208000,0,0.90,68,61
209000,0,0.90,68,61
210000,0,0.90,68,61
211000,0,0.90,68,61
212000,0,0.90,68,61
213000,0,0.90,68,61
214000,0,0.90,68,61
215000,0,0.90,68,61
216000,1,0.90,68,61
217000,1,0.90,68,61
218000,0,0.90,68,61
219000,0,0.90,68,61
220000,0,0.90,68,61
221000,0,0.90,68,61
222000,0,0.90,68,61
223000,0,0.90,68,61
224000,0,0.90,68,61
225000,0,0.90,68,61
226000,0,0.90,68,61
227000,0,0.90,68,61
228000,1,0.90,68,61
229000,0,0.90,68,61
230000,0,0.90,68,61
231000,0,0.90,68,61
232000,0,0.90,68,61
233000,0,0.90,68,61
234000,0,0.90,68,61
235000,0,0.90,68,61
236000,0,0.90,68,61
237000,0,0.90,68,61
238000,0,0.90,68,61
239000,1,0.90,68,61
240000,0,0.90,68,61
241000,0,0.90,68,61
242000,1,0.90,68,61
243000,0,0.90,68,61
244000,0,0.90,68,61
245000,0,0.90,68,61
246000,1,0.90,68,61
247000,1,0.90,68,61
248000,1,0.90,68,61
249000,0,0.90,68,61
250000,0,0.90,68,61
251000,0,0.90,68,61
252000,0,0.90,68,61
253000,0,0.90,68,61
254000,0,0.90,68,61
255000,1,0.90,68,61
256000,0,0.90,68,61
257000,0,0.90,68,61
258000,0,0.90,68,61
259000,0,0.90,68,61
260000,0,0.90,68,61
261000,0,0.90,68,61
262000,0,0.90,68,61
263000,0,0.90,68,61
264000,0,0.90,68,61
265000,0,0.90,68,61
266000,1,0.90,68,61
267000,1,0.90,68,61
268000,0,0.90,68,61
269000,0,0.90,68,61
270000,1,0.90,68,61
271000,0,0.90,68,61
272000,0,0.90,68,61
273000,0,0.90,68,61
274000,0,0.90,68,61
275000,0,0.90,68,61
276000,1,0.90,68,61
277000,0,0.90,68,61
278000,1,0.90,68,61
279000,0,0.90,68,61
280000,1,0.90,68,61
281000,0,0.90,68,61
282000,0,0.90,68,61
283000,0,0.90,68,61
284000,0,0.90,68,61
285000,1,0.90,68,61
286000,0,0.90,68,61
287000,0,0.90,68,61
288000,1,0.90,68,61
289000,1,0.90,68,61
290000,1,0.90,68,61
291000,0,0.90,68,61
292000,0,0.90,68,61
293000,0,0.90,68,61
294000,0,0.90,68,61
295000,0,0.90,68,61
296000,0,0.90,68,61
297000,0,0.90,68,61
298000,1,0.90,68,61
299000,0,0.90,68,61
300000,0,0.90,68,61
301000,1,0.90,68,61
302000,0,0.90,68,61
303000,0,0.90,68,61
304000,0,0.90,68,61
305000,0,0.90,68,61
306000,0,0.90,68,61
307000,0,0.90,68,61
308000,0,0.90,68,61
309000,0,0.90,68,61
310000,0,0.90,68,61
311000,0,0.90,68,61
312000,0,0.90,68,61
313000,0,0.90,68,61
314000,0,0.90,68,61
315000,0,0.90,68,61
316000,0,0.90,68,61
317000,0,0.90,68,61
318000,0,0.90,68,61
319000,1,0.90,68,61
320000,0,0.90,68,61
321000,1,0.90,68,61
322000,0,0.90,68,61
323000,0,0.90,68,61
324000,0,0.90,68,61
325000,0,0.90,68,61
326000,0,0.90,68,61
327000,0,0.90,68,61
328000,0,0.90,68,61
329000,1,0.90,68,61
330000,0,0.90,68,61
331000,0,0.90,68,61
332000,0,0.90,68,61
333000,1,0.90,68,61
334000,1,0.90,68,61
335000,1,0.90,68,61
336000,0,0.90,68,61
337000,0,0.90,68,61
338000,0,0.90,68,61
339000,0,0.90,68,61
340000,0,0.90,68,61
341000,0,0.90,68,61
342000,0,0.90,68,61
343000,0,0.90,68,61
344000,0,0.90,68,61
345000,0,0.90,68,61
346000,0,0.90,68,61
347000,0,0.90,68,61
348000,0,0.90,68,61
349000,0,0.90,68,61
350000,1,0.90,68,61
351000,0,0.90,68,61
352000,0,0.90,68,61
353000,0,0.90,68,61
354000,0,0.90,68,61
355000,0,0.90,68,61
356000,0,0.90,68,61
357000,0,0.90,68,61
358000,0,0.90,68,61
359000,1,0.90,68,61
360000,1,0.90,68,61
361000,0,0.90,68,61
362000,0,0.90,68,61
363000,0,0.90,68,61
364000,1,0.90,68,61
365000,0,0.90,68,61
366000,0,0.90,68,61
367000,0,0.90,68,61
368000,1,0.90,68,61
369000,0,0.90,68,61
370000,0,0.90,68,61
371000,0,0.90,68,61
372000,0,0.90,68,61
373000,0,0.90,68,61
374000,0,0.90,68,61
375000,0,0.90,68,61
376000,0,0.90,68,61
377000,0,0.90,68,61
378000,0,0.90,68,61
379000,0,0.90,68,61
380000,0,0.90,68,61
381000,1,0.90,68,61
382000,1,0.90,68,61
383000,0,0.90,68,61
384000,0,0.90,68,61
385000,1,0.90,68,61
386000,0,0.90,68,61
387000,0,0.90,68,61
388000,0,0.90,68,61
389000,0,0.90,68,61
390000,1,0.90,68,61
391000,0,0.90,68,61
392000,0,0.90,68,61
393000,0,0.90,68,61
394000,0,0.90,68,61
395000,0,0.90,68,61
396000,0,0.90,68,61
397000,1,0.90,68,61
398000,0,0.90,68,61
399000,0,0.90,68,61
400000,0,0.90,68,61
401000,0,0.90,68,61
402000,1,0.90,68,61
403000,0,0.90,68,61
404000,0,0.90,68,61
405000,1,0.90,68,61
406000,0,0.90,68,61
407000,0,0.90,68,61
408000,0,0.90,68,61
409000,0,0.90,68,61
410000,0,0.90,68,61
411000,0,0.90,68,61
412000,0,0.90,68,61
413000,0,0.90,68,61
414000,0,0.90,68,61
415000,0,0.90,68,61
416000,0,0.90,68,61
417000,1,0.90,68,61
418000,1,0.90,68,61
419000,0,0.90,68,61
420000,0,0.90,68,61
421000,1,0.90,68,61
422000,0,0.90,68,61
423000,0,0.90,68,61
424000,0,0.90,68,61
425000,0,0.90,68,61
426000,0,0.90,68,61
427000,0,0.90,68,61
428000,0,0.90,68,61
429000,0,0.90,68,61
430000,0,0.90,68,61
431000,0,0.90,68,61
432000,0,0.90,68,61
433000,0,0.90,68,61
434000,0,0.90,68,61
435000,1,0.90,68,61
436000,1,0.90,68,61
437000,0,0.90,68,61
438000,0,0.90,68,61
439000,0,0.90,68,61
440000,0,0.90,68,61
441000,0,0.90,68,61
442000,0,0.90,68,61
443000,0,0.90,68,61
444000,0,0.90,68,61
445000,0,0.90,68,61
446000,1,0.90,68,61
447000,0,0.90,68,61
448000,0,0.90,68,61
449000,1,0.90,68,61
450000,0,0.90,68,61
451000,0,0.90,68,61
452000,0,0.90,68,61
453000,0,0.90,68,61
454000,0,0.90,68,61
455000,0,0.90,68,61
456000,1,0.90,68,61
457000,0,0.90,68,61
458000,0,0.90,68,61
459000,0,0.90,68,61
460000,0,0.90,68,61
461000,1,0.90,68,61
462000,1,0.90,68,61
463000,1,0.90,68,61
