"Student","Group","Gender","Points","Planing","Time","Experience","ExperienceExact","DrScratch","Fun","Completed","CompletedExact","Eval","EvalExact","EarlyCompl","Class","TimeInPercent"
"K6_S01",1,3,30,0,71,0,2,12,10,1,4,1,3,1,0,79
"K6_S02",1,3,15,0,64,1,4,11,10,1,4,1,3,1,0,71
"K6_S03",1,4,11,0,90,0,1,12,9,1,3,1,3,0,0,100
"K6_S05",1,3,23,0,80,0,2,12,9,1,4,1,3,1,0,89
"K6_S06",1,3,30,0,74,0,2,13,10,1,4,1,3,1,0,82
"K6_S11",1,4,8,0,90,1,3,9,2,0,2,1,3,0,0,100
"K6_S12",1,3,6,0,90,0,2,12,8,1,3,1,3,0,0,100
"K6_S13",1,3,8,0,90,1,4,11,5,0,2,1,3,0,0,100
"K6_S14",1,4,4,0,90,0,1,7,3,0,1,0,1,0,0,100
"K6_S16",1,3,2,0,90,0,1,7,3,0,2,0,2,0,0,100
"K6_S27",1,3,4,0,90,0,2,7,1,0,2,1,3,0,0,100
"K6_S10",2,3,22,10,79,0,2,14,10,1,4,1,3,1,0,88
"K6_S15",2,4,10,15,90,0,2,7,1,0,2,0,2,0,0,100
"K6_S17",2,4,2,15,90,0,1,6,1,0,1,0,1,0,0,100
"K6_S18",2,3,27,5,87,1,4,12,10,1,4,1,4,1,0,97
"K6_S19",2,3,25,19,90,1,3,13,9,0,2,0,2,0,0,100
"K6_S20",2,3,30,10,52,1,3,14,10,1,4,1,4,1,0,58
"K6_S29",2,3,12,8,90,0,2,10,4,1,3,1,3,0,0,100
"K6_S30",2,4,20,8,90,0,1,11,9,1,3,1,3,0,0,100
"K6_S31",2,4,16,10,90,0,2,11,5,1,3,1,3,0,0,100
"K6_S33",2,4,20,15,90,0,2,12,10,1,3,1,3,0,0,100
"K7_S02",2,3,19,0,70,1,3,11,4,0,2,1,3,0,1,100
"K7_S03",2,3,14,0,70,1,4,10,5,1,3,0,2,0,1,100
"K7_S04",2,4,12,0,70,1,4,10,10,1,3,1,4,0,1,100
"K7_S05",2,3,22,0,70,1,3,14,10,1,4,1,4,0,1,100
"K7_S06",2,3,20,0,50,1,4,11,10,1,4,1,4,1,1,71
"K7_S07",2,3,20,0,50,1,4,12,10,1,4,1,4,1,1,71
"K7_S08",2,3,21,0,70,1,3,12,7,1,3,1,4,0,1,100
"K7_S10",2,4,25,0,36,1,3,12,10,1,4,1,4,1,1,51
"K7_S11",2,3,8,0,70,1,3,9,2,0,2,0,2,0,1,100
"K7_S12",2,4,27,0,48,1,4,11,10,1,4,1,3,1,1,69
"K7_S14",2,4,24,0,66,1,4,12,9,1,4,1,4,1,1,94
"K7_S15",1,3,25,0,36,1,4,14,9,1,4,1,3,1,1,51
"K7_S16",1,4,19,0,64,1,3,14,9,1,3,1,3,1,1,91
"K7_S17",1,3,29,0,36,1,4,12,10,1,4,1,4,1,1,51
"K7_S18",1,3,19,0,70,1,3,11,6,1,3,1,3,0,1,100
"K7_S19",1,3,22,0,70,1,4,11,10,1,3,1,3,0,1,100
"K7_S20",1,4,9,0,70,1,3,10,5,1,3,1,3,0,1,100
"K7_S24",1,3,2,0,70,1,3,11,4,1,3,1,3,0,1,100
"K7_S26",1,3,22,0,65,1,3,12,8,1,4,1,3,1,1,93
"K7_S27",1,4,8,0,70,1,3,10,5,0,2,0,2,0,1,100
