K7_S02,K7_S03,K7_S04,K7_S05,K7_S06,K7_S07,K7_S08,K7_S10,K7_S11,K7_S12,K7_S14,K7_S15,K7_S16,K7_S17,K7_S18,K7_S19,K7_S20,K7_S24,K7_S26,K7_S27
1,1,2,2,2,2,2,2,0,2,2,1,2,2,2,2,0,0,2,1
1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,0,0,2,1
2,0,0,2,3,3,3,2,1,3,3,3,3,2,3,3,0,0,2,0
2,1,1,2,2,1,2,3,0,3,3,3,1,2,0,3,0,0,3,0
1,1,0,2,2,1,2,1,0,0,2,2,2,2,1,2,2,0,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,0,1,1,0,1,2,1,2,2,1,2,1,2,1,2,1,2,1
2,1,1,2,1,2,2,2,2,2,1,1,1,2,0,0,2,0,0,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2
0,0,0,2,2,2,0,2,0,2,2,3,0,3,0,1,0,0,2,0
3,1,2,3,2,3,3,3,0,3,2,2,2,3,3,3,1,0,3,1
2,3,2,1,1,2,2,3,0,3,2,1,1,3,3,1,1,0,1,1
0,0,0,0,0,0,0,0,0,2,0,3,0,4,0,2,0,0,0,0
